case_id,expected_output_path,attempt_count,retry_count,final_status,runtime_s,error_identifier,error_message,checksum_valid,scientific_hash,source_tree_hash
cal_G007_001,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_001.mat,1,0,completed,1.199812,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_002,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_002.mat,1,0,completed,1.064334,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_003,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_003.mat,1,0,completed,1.064281,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_004,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_004.mat,1,0,completed,1.088041,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_005,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_005.mat,1,0,completed,1.083818,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_006,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_006.mat,1,0,completed,1.091966,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_007,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_007.mat,1,0,completed,1.284812,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_008,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_008.mat,1,0,completed,1.15867,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_009,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_009.mat,1,0,completed,1.182414,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
cal_G007_010,results/data/stage4a6_3/runs/calibration_a2a3b909089ebf82/shards/cal_G007_010.mat,1,0,completed,1.041005,,,1,a2a3b909089ebf82a0d440350ce1d9e61e50f0175147b9bd11e45df7ba0cffe2,ef5e6aa1245fff5f77ba99e89b225c1d1064e1a8ad8d4f653763e161a5ac3af3
