sample_id,accepted_topology_id,accepted_member_count,evaluated_member_count,profile_status,profile_reliable,in_distance,ext_distance,parameter_domain_status,compatibility_hash,topology_calibration_hash,parameter_calibration_hash
r_pilot_G001_boundary_01,G001,1,1,reliable,1,6.73993178342099e-05,1.8847932970626e-06,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G001_main_length_scale_near_lower_01,G001,1,1,reliable,1,0.118347700125996,3.1120463498046e-05,parameter_out_suspected,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G001_source_impedance_ohm_medium_upper_02,G001,1,1,reliable,1,0.00213789324671061,0.000120732382805699,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_interior_01,G002,2,2,reliable,1,0.000253047100714258,5.50896827245308e-06,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_interior_01,G005,2,2,reliable,1,0.000723292120652304,0.000723292120652383,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_boundary_01,G002,2,2,not_reliable,0,3.24272506874102e-05,3.24272507053097e-05,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_boundary_01,G005,2,2,not_reliable,0,9.22069777040633e-05,9.22069777126484e-05,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_branch_load_scale_medium_lower_02,G002,2,2,reliable,1,0.00636794146254989,4.59150023695229e-05,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_branch_load_scale_medium_lower_02,G005,2,2,reliable,1,0.00602669085502064,0.000604322393516994,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_source_impedance_ohm_far_upper_03,G002,2,2,not_reliable,0,0.00355522460329995,0.00143887194887758,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G002_source_impedance_ohm_far_upper_03,G005,2,2,reliable,1,0.00384234035058102,0.00383082773062578,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G003_interior_01,G003,1,1,not_reliable,0,0.000259021941006633,0.000259021941004219,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G003_boundary_01,G003,1,1,reliable,1,2.04350778940827e-05,2.04350778941529e-05,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G003_source_impedance_ohm_medium_upper_02,G003,1,1,not_reliable,0,0.0012343693419501,0.000156613307136527,parameter_domain_indeterminate,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G004_interior_01,G004,2,2,reliable,1,8.97488873810518e-05,4.80726352543407e-06,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
r_pilot_G004_interior_01,G007,2,2,reliable,1,0.000266786765886908,0.000205260200223618,parameter_in_domain,3abdbae209b7a8ece1689db8e63bbfbdd5239dcc4ef0e4590aeb9cb4781dfefd,f9a31acdd0499e73e872c621f4be4f68f642360c2b56fc1e47576602dcccdb1e,3296d7f3bab4c5b4ee1379830d0c0e0ae5c17abe7c9d543e4ffe136a543b01ab
