library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_large,in_domain,M0_stage7a_original,class_021,50,50,16,45,0.9,0.786397685625204,0.95652423506811,14.12,16,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,10,40,0,0.0005676
scale_large,in_domain,M0_stage7a_original,class_022,50,50,21,50,1,0.928652400866641,1,10.44,11.5,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,15,35,0,0.00057064
scale_large,in_domain,M0_stage7a_original,class_023,50,50,13,50,1,0.928652400866641,1,12.1,13,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,18,32,0,0.00057068
scale_large,in_domain,M1_stage7a1_split,all,1150,1150,753,1088,0.946086956521739,0.931486160744131,0.957717457445011,7.80086956521739,7,47,120,983,95,0.0826086956521739,0.0680534436815209,0.0999431708783455,95,0,0,0,0.00332927785817331,1,0,0,0.038864853539473,50,228,777,19,0.00057960347826087
scale_large,in_domain,M1_stage7a1_split,class_001,50,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,1,2,48,0,48,0.96,0.86539909312493,0.98896111567238,48,0,0,6.93889390390723e-18,0.0713475991333587,1,0,6.93889390390723e-18,0.0741001296661175,2,0,0,0,0.00055876
scale_large,in_domain,M1_stage7a1_split,class_002,50,50,38,48,0.96,0.86539909312493,0.98896111567238,2.68,2,2,0,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,0,48,0,0.00056812
scale_large,in_domain,M1_stage7a1_split,class_003,50,50,30,49,0.98,0.895045564103622,0.996460740728354,5.38,7,1,0,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,0,49,0,0.00056404
scale_large,in_domain,M1_stage7a1_split,class_004,50,50,50,43,0.86,0.738138062894145,0.930491665729837,1.28,1,7,22,21,22,0.44,0.311621992112572,0.576939719783432,22,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.148654874608621,7,21,0,1,0.00056042
scale_large,in_domain,M1_stage7a1_split,class_005,50,50,21,49,0.98,0.895045564103622,0.996460740728354,6.78,5.5,1,0,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,0,49,0,0.00057724
scale_large,in_domain,M1_stage7a1_split,class_006,50,50,28,48,0.96,0.86539909312493,0.98896111567238,12.2,13.5,2,0,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,0,48,0,0.00065776
scale_large,in_domain,M1_stage7a1_split,class_007,50,50,50,48,0.96,0.86539909312493,0.98896111567238,1.68,2,2,12,36,12,0.24,0.142973913969917,0.374126837579429,12,0,0,6.93889390390723e-18,0.0713475991333587,1,0,2.77555756156289e-17,0.242494006655241,2,36,0,2,0.0005736
scale_large,in_domain,M1_stage7a1_split,class_008,50,50,38,47,0.94,0.837829083111618,0.979385029651026,9.12,11,0,3,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,3,47,0,0.00057432
scale_large,in_domain,M1_stage7a1_split,class_009,50,50,30,45,0.9,0.786397685625204,0.95652423506811,10.92,13,1,4,45,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,3,2,45,3,0.00057346
scale_large,in_domain,M1_stage7a1_split,class_010,50,50,17,43,0.86,0.738138062894145,0.930491665729837,2.56,2,5,2,43,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,5,2,43,0,0.00058294
scale_large,in_domain,M1_stage7a1_split,class_011,50,50,50,46,0.92,0.811617530816572,0.968450485911407,5.16,5,4,11,35,11,0.22,0.127539159702144,0.352415495812537,11,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.258832966968032,4,35,0,0,0.0005805
scale_large,in_domain,M1_stage7a1_split,class_012,50,50,35,48,0.96,0.86539909312493,0.98896111567238,12,13.5,1,1,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,1,48,0,0.00057926
scale_large,in_domain,M1_stage7a1_split,class_013,50,50,28,48,0.96,0.86539909312493,0.98896111567238,7.22,8,1,1,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,1,48,0,0.00058116
