stage,artifact,metric,canonical_value,reproduced_value,absolute_error,tolerance,match,notes
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.domain_relative_distance,0.0348351381282831,0.0348351381282831,0E-16,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.domain_threshold,0.337776739609905,0.337776739609905,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.domain_accepted,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.best_candidate,G003,G003,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.true_topology_in_candidate_set,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.margin,0.113686060628868,0.113686060628868,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.top1_confidence,0.739701084038921,0.739701084038921,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.normalized_entropy,0.523219471155,0.523219471155,0E-12,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.decision_reason,singleton_and_all_evidence_checks_pass,singleton_and_all_evidence_checks_pass,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_2.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.sample,existing_library_snr_Inf_r03,existing_library_snr_Inf_r03,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.snr_db,Inf,Inf,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.replicate,3,3,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.domain_relative_distance,0.261784289050887,0.261784289050887,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.domain_threshold,0.337776739609905,0.337776739609905,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.domain_accepted,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.best_candidate,G003,G003,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.true_topology_in_candidate_set,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.margin,0.0639094698956229,0.0639094698956229,0E-16,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.top1_confidence,0.470805470492934,0.470805470492934,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.normalized_entropy,0.821184178185085,0.821184178185085,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.decision_reason,singleton_and_all_evidence_checks_pass,singleton_and_all_evidence_checks_pass,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_3.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.sample,existing_library_snr_30_r01,existing_library_snr_30_r01,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.snr_db,30,30,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.replicate,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.domain_relative_distance,0.313463402099465,0.313463402099465,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.domain_threshold,0.337776739609905,0.337776739609905,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_4.domain_accepted,1,1,0,0,true,ordered row and column comparison
