method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M0_min_residual,structure_out,average_candidate_set_size,3,3,1,NaN,NaN,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,topology_set_accuracy,8,9,0.888888888888889,0.565000294423344,0.980109112361455,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,accepted_coverage,9,9,1,0.700854951580456,1,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,topology_selective_risk,1,9,0.111111111111111,0.0198908876385449,0.434999705576656,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,unique_output_precision,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,singleton_rate,3,9,0.333333333333333,0.120583818386911,0.645797864419604,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,ambiguous_set_rate,0,9,0,0,0.299145048419544,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,equivalence_class_rate,6,9,0.666666666666667,0.354202135580396,0.879416181613089,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,rejection_rate,0,9,0,0,0.299145048419544,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,false_unique_unconditional,0,9,0,0,0.299145048419544,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,parameter_ood_false_acceptance,9,9,1,0.700854951580456,1,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,average_candidate_set_size,15,9,1.66666666666667,NaN,NaN,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,topology_set_accuracy,28,30,0.933333333333333,0.786765416373831,0.98152297620873,30,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,accepted_coverage,29,33,0.878787878787879,0.726744948289248,0.951838386905864,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,topology_selective_risk,0,28,0,1.38777878078145e-17,0.120643304765846,28,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,unique_output_precision,11,11,1,0.741167033031968,1,11,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,singleton_rate,12,33,0.363636363636364,0.221871782352424,0.533838216977336,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,ambiguous_set_rate,0,33,0,0,0.104269997542452,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,equivalence_class_rate,17,33,0.515151515151515,0.352183754489141,0.674959578918663,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,rejection_rate,4,33,0.121212121212121,0.0481616130941356,0.273255051710752,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,false_unique_unconditional,0,30,0,0,0.113513393173969,30,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,parameter_ood_false_acceptance,7,9,0.777777777777778,0.452588969106989,0.936774892882153,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,structure_ood_false_acceptance,1,3,0.333333333333333,0.0614919447203962,0.792340399197952,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,average_candidate_set_size,46,33,1.39393939393939,NaN,NaN,33,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,topology_set_accuracy,14,14,1,0.784689197262364,1,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,accepted_coverage,14,14,1,0.784689197262364,1,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,topology_selective_risk,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,unique_output_precision,6,6,1,0.609665712097835,1,6,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,singleton_rate,6,14,0.428571428571429,0.213807989044741,0.674093554203493,14,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,ambiguous_set_rate,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
