sample_id,method_id,decision,decision_reason,ranked_candidates,accepted_candidate_set,accepted_candidate_count,best_topology_id,best_residual,second_residual,noise_whitened_residual,margin,rho,stability,p_values,indistinguishability_component_count,calibration_hash,candidate_generation_hash,compatibility_hash
stage4a7_1_pilot_0007,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G003,G007,G004,G002,G005,G006,G001","G003",1,G003,0.115337471381256,0.153431826191856,NaN,0.0380943548106005,0.751718038187737,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0007,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G003,G007,G004,G002,G005,G006,G001","G003",1,G003,0.115337471381256,0.153431826191856,NaN,0.0380943548106005,0.751718038187737,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0007,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G003,G007,G004,G002,G005,G006,G001","G003",1,G003,0.115337471381256,0.153431826191856,811466.670581942,0.0380943548106005,0.751718038187737,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0007,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G003,G007,G004,G002,G005,G006,G001","G001,G002,G003,G005",4,G003,0.115337471381256,0.153431826191856,NaN,0.0380943548106005,0.751718038187737,1,G001:0.2857142857142857;G002:0.19047619047619047;G003:0.5714285714285714;G004:0.047619047619047616;G005:0.2857142857142857;G006:0.047619047619047616;G007:0.047619047619047616,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0007,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G003,G007,G004,G002,G005,G006,G001","G001,G002,G003,G005",4,G003,0.115337471381256,0.153431826191856,NaN,0.0380943548106005,0.751718038187737,1,G001:0.2857142857142857;G002:0.19047619047619047;G003:0.5714285714285714;G004:0.047619047619047616;G005:0.2857142857142857;G006:0.047619047619047616;G007:0.047619047619047616,4,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G003,G004,G007,G002,G005,G006,G001","G003",1,G003,0.0290613213067954,0.114005124876094,NaN,0.0849438035692982,0.254912411508919,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G003,G004,G007,G002,G005,G006,G001","G003",1,G003,0.0290613213067954,0.114005124876094,NaN,0.0849438035692982,0.254912411508919,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G003,G004,G007,G002,G005,G006,G001","G003",1,G003,0.0290613213067954,0.114005124876094,51518.1841619047,0.0849438035692982,0.254912411508919,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G003,G004,G007,G002,G005,G006,G001","G001,G002,G003,G004,G005,G006,G007",7,G003,0.0290613213067954,0.114005124876094,NaN,0.0849438035692982,0.254912411508919,1,G001:0.38095238095238093;G002:0.38095238095238093;G003:1;G004:0.38095238095238093;G005:0.42857142857142855;G006:0.19047619047619047;G007:0.2857142857142857,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0008,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G003,G004,G007,G002,G005,G006,G001","G001,G002,G003,G004,G005,G006,G007",7,G003,0.0290613213067954,0.114005124876094,NaN,0.0849438035692982,0.254912411508919,1,G001:0.38095238095238093;G002:0.38095238095238093;G003:1;G004:0.38095238095238093;G005:0.42857142857142855;G006:0.19047619047619047;G007:0.2857142857142857,6,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
