mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
audit,5,4,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.71,0.454900729134208,0.0630460245061507,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0279195544550082,0.00142219143805533,0.000197105677158897,1.79737636831,10.6836614477287,0,0.029272118069075,1,1793,0.942,0.942,0.942,51.95468158
audit,5,4,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,cir,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0279195544550082,0.00142219143805533,0.000197105677158897,1.79737636831,10.6836614477287,0,0.00203328172141953,1,1793,0.949,0.949,0.949,51.959773465
audit,5,4,ofdm_sparse_interp,siso_forward,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0279195544550082,0.00142219143805533,0.000197105677158897,1.79737636831,10.6836614477287,0,0,1,1793,0.85,0.816666666666666,0.831818181818181,51.96107758
audit,5,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,200,0.775,0.418630214248096,0.0580191876076636,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0281573242241701,0.00096193898018165,0.000133317940890927,1.82446600773211,10.4426395625251,0,0.00179886464959538,2,1793,0.954999999999999,0.954999999999999,0.954999999999999,56.526626075
audit,5,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.74,0.439734959004687,0.0609441560016526,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0281573242241701,0.00096193898018165,0.000133317940890927,1.82446600773211,10.4426395625251,0,0.0294962817184471,2,1793,0.948,0.948,0.948,56.533105095
audit,5,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,200,0.78,0.415285819114726,0.05755567809002,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0281573242241701,0.00096193898018165,0.000133317940890927,1.82446600773211,10.4426395625251,0,0.00202745765741047,2,1793,0.955999999999999,0.955999999999999,0.955999999999999,56.54265955
audit,5,4,ofdm_sparse_interp,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0281573242241701,0.00096193898018165,0.000133317940890927,1.82446600773211,10.4426395625251,0,0,2,1793,0.85,0.816666666666666,0.831818181818181,56.544653195
audit,5,4,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.0280042954236896,0.000978467444544382,0.000135608669180691,2.036057981281,18.4000581215616,0,0.00338310136852628,2,1793,1,1,1,62.348420875
audit,5,4,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.965,0.18424093903932,0.0255344914039086,0.965,0.18424093903932,0.0255344914039086,0.965,0,0,0,0.0280042954236896,0.000978467444544382,0.000135608669180691,2.036057981281,18.4000581215616,0,0.0291415323387999,2,1793,0.993,0.991666666666667,0.992272727272727,62.35470089
audit,5,4,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.0280042954236896,0.000978467444544382,0.000135608669180691,2.036057981281,18.4000581215616,0,0.00328707771466786,2,1793,1,1,1,62.364025045
