method_id,grid_id,scenario_id,category,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,truth_coverage_ci_low,truth_coverage_ci_high,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_ci_low,unique_accuracy_ci_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_ci_low,set_accuracy_ci_high,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_ci_low,nearest_topology_hit_ci_high,nearest_class_hit_rate,nearest_class_hit_num,nearest_class_hit_den,nearest_class_hit_ci_low,nearest_class_hit_ci_high,in_library_rejection_rate,in_library_rejection_num,in_library_rejection_den,in_library_rejection_ci_low,in_library_rejection_ci_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_ci_low,false_unique_ci_high,unique_output_precision,unique_output_precision_num,unique_output_precision_den,unique_output_precision_ci_low,unique_output_precision_ci_high,unique_given_prior_rate,unique_given_prior_num,unique_given_prior_den,unique_given_prior_ci_low,unique_given_prior_ci_high,unique_given_prior_accuracy,unique_given_prior_accuracy_num,unique_given_prior_accuracy_den,unique_given_prior_accuracy_ci_low,unique_given_prior_accuracy_ci_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_ci_low,structure_out_false_accept_ci_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_ci_low,parameter_out_false_accept_ci_high,excluded_by_prior_false_accept_rate,excluded_by_prior_false_accept_num,excluded_by_prior_false_accept_den,excluded_by_prior_false_accept_ci_low,excluded_by_prior_false_accept_ci_high,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_ci_low,reject_model_mismatch_ci_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_ci_low,reject_low_margin_ci_high,reject_no_feasible_candidate_rate,reject_no_feasible_candidate_num,reject_no_feasible_candidate_den,reject_no_feasible_candidate_ci_low,reject_no_feasible_candidate_ci_high,accepted_rate,accepted_num,accepted_den,accepted_ci_low,accepted_ci_high,mean_best_distance,mean_margin,mean_rho,mean_accepted_set_size,mean_candidate_count_after_prior,stage4a5_source_hash
joint_abs_margin_ratio,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,in_library_grid,14,0.571428571428571,8,14,0.325906445796508,0.786192010955258,0.5,4,8,0.215216062213878,0.784783937786122,1,8,8,0.675592435116121,1,1,8,8,0.675592435116121,1,1,8,8,0.675592435116121,1,0,0,8,0,0.324407564883879,0.5,4,8,0.215216062213878,0.784783937786122,0.5,4,8,0.215216062213878,0.784783937786122,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0.0297164859441735,0.0814143872345122,0.262909706391348,1.42857142857143,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
joint_abs_margin_ratio,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.352941176470588,6,17,0.173097203972438,0.586996365147813,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.85,17,20,0.639581135259244,0.947631254103783,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.15,3,20,0.0523687458962167,0.360418864740756,0,0,20,0,0.161125158052819,0.85,17,20,0.639581135259244,0.947631254103783,0.105895577902423,0.0137528525496423,0.876703310500583,0.85,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
joint_abs_margin_ratio,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.272727272727273,3,11,0.0974605929002491,0.565645301176129,0.4,2,5,0.117620774232648,0.769275718723987,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,NaN,0,0,NaN,NaN,0.45,9,20,0.258197858255625,0.657914657549657,0.15,3,20,0.0523687458962167,0.360418864740756,0,0,20,0,0.161125158052819,0.4,8,20,0.218806532372817,0.613418499237746,0.175129113712728,0.0345909512379351,0.801727330014219,0.55,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
class_conditioned,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,in_library_continuous,42,0.571428571428571,24,42,0.422062398781046,0.708823488238139,0.208333333333333,5,24,0.0924482535285187,0.404704532531886,0.666666666666667,16,24,0.467063168381318,0.820278096727022,0.75,18,24,0.55100555994846,0.88000633771405,1,24,24,0.86202379532502,1,0.333333333333333,8,24,0.179721903272978,0.532936831618682,0.208333333333333,5,24,0.0924482535285187,0.404704532531886,0.5,5,10,0.236593090512564,0.763406909487436,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.555555555555556,10,18,0.337164156420428,0.754404818729943,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.30952380952381,13,42,0.190711028587949,0.46025993936089,0,0,42,0,0.0837987908657036,0.619047619047619,26,42,0.468140402671527,0.750002742360448,0.116957362227734,0.0337785511575614,0.73501576874488,1,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
class_conditioned,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,in_library_grid,14,0.571428571428571,8,14,0.325906445796508,0.786192010955258,0.5,4,8,0.215216062213878,0.784783937786122,1,8,8,0.675592435116121,1,1,8,8,0.675592435116121,1,1,8,8,0.675592435116121,1,0,0,8,0,0.324407564883879,0.5,4,8,0.215216062213878,0.784783937786122,0.5,4,8,0.215216062213878,0.784783937786122,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0.0297164859441735,0.0814143872345122,0.262909706391348,1.42857142857143,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
class_conditioned,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.466666666666667,7,15,0.248095353657374,0.698830199745016,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.75,15,20,0.531299122381256,0.888138298592334,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.25,5,20,0.111861701407666,0.468700877618744,0,0,20,0,0.161125158052819,0.75,15,20,0.531299122381256,0.888138298592334,0.105895577902423,0.0137528525496423,0.876703310500583,0.75,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
class_conditioned,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,0.5,1,2,0.0945312057342311,0.905468794265769,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.3,6,20,0.145477244867604,0.518972818353523,NaN,0,0,NaN,NaN,0.45,9,20,0.258197858255625,0.657914657549657,0.25,5,20,0.111861701407666,0.468700877618744,0,0,20,0,0.161125158052819,0.3,6,20,0.145477244867604,0.518972818353523,0.175129113712728,0.0345909512379351,0.801727330014219,0.5,4,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,B_ofdm_active_subcarriers,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.261904761904762,11,42,0.15302640287833,0.410687307057719,0.714285714285714,30,42,0.564327907318047,0.828329753739509,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.285714285714286,12,42,0.171670246260491,0.435672092681953,0,0,24,0,0.13797620467498,1,11,11,0.741167033031969,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.214285714285714,9,42,0.11705799876003,0.359398453163229,0,0,42,0,0.0837987908657036,0.714285714285714,30,42,0.564327907318047,0.828329753739509,0.105669147425906,0.0262183404469535,0.758692933923402,1.16666666666667,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,B_ofdm_active_subcarriers,P0_no_prior,in_library_grid,14,1,14,14,0.784689197262365,1,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0,0,8,0,0.324407564883879,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0,0.0868981609322837,0,1.57142857142857,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,B_ofdm_active_subcarriers,P0_no_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,8,0,0.324407564883879,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.6,12,20,0.386581500762254,0.781193467627183,0,0,20,0,0.161125158052819,0.4,8,20,0.218806532372817,0.613418499237746,0.0912090506510138,0.0100606675056847,0.880043089926017,0.4,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
baseline_abs_margin,B_ofdm_active_subcarriers,P0_no_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,1,3,3,0.438502968244955,1,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,0.2,4,20,0.0806576625797981,0.416017432251893,0,0,20,0,0.161125158052819,0.4,8,20,0.218806532372817,0.613418499237746,0.168375813040913,0.0176043802994159,0.860121847775837,0.65,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,B_ofdm_active_subcarriers,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.357142857142857,15,42,0.229891883156188,0.508336342805442,0.833333333333333,35,42,0.693959972553512,0.916840833536019,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.166666666666667,7,42,0.0831591664639809,0.306040027446488,0,0,24,0,0.13797620467498,1,15,15,0.796116698964152,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.0952380952380952,4,42,0.0376622488055739,0.22065105808571,0,0,42,0,0.0837987908657036,0.833333333333333,35,42,0.693959972553512,0.916840833536019,0.105669147425906,0.0262183404469535,0.758692933923402,1.30952380952381,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,B_ofdm_active_subcarriers,P0_no_prior,in_library_grid,14,1,14,14,0.784689197262365,1,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,1,14,14,0.784689197262365,1,0,0,14,0,0.215310802737635,0,0,8,0,0.324407564883879,1,6,6,0.609665712097836,1,0,0,14,0,0.215310802737635,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,1,14,14,0.784689197262365,1,0,0.0868981609322837,0,1.57142857142857,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,B_ofdm_active_subcarriers,P0_no_prior,structure_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,0.55,11,20,0.342085342450343,0.741802141744375,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,20,0,0.161125158052819,0.45,9,20,0.258197858255625,0.657914657549657,0,0,20,0,0.161125158052819,0.55,11,20,0.342085342450343,0.741802141744375,0.0912090506510138,0.0100606675056847,0.880043089926017,0.55,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
absolute_ratio,B_ofdm_active_subcarriers,P0_no_prior,parameter_out,20,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,11,0,0.258832966968031,1,4,4,0.510109163545404,1,0,0,20,0,0.161125158052819,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.5,10,20,0.299298008198213,0.700701991801787,NaN,0,0,NaN,NaN,0.4,8,20,0.218806532372817,0.613418499237746,0.1,2,20,0.0278664812137683,0.301033645228487,0,0,20,0,0.161125158052819,0.5,10,20,0.299298008198213,0.700701991801787,0.168375813040913,0.0176043802994159,0.860121847775837,0.8,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
joint_abs_margin_ratio,B_ofdm_active_subcarriers,P0_no_prior,in_library_continuous,42,1,42,42,0.916201209134296,1,0.261904761904762,11,42,0.15302640287833,0.410687307057719,0.714285714285714,30,42,0.564327907318047,0.828329753739509,0.69047619047619,29,42,0.53974006063911,0.809288971412051,1,42,42,0.916201209134296,1,0.285714285714286,12,42,0.171670246260491,0.435672092681953,0,0,24,0,0.13797620467498,1,11,11,0.741167033031969,1,0,0,42,0,0.0837987908657036,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0.214285714285714,9,42,0.11705799876003,0.359398453163229,0,0,42,0,0.0837987908657036,0.714285714285714,30,42,0.564327907318047,0.828329753739509,0.105669147425906,0.0262183404469535,0.758692933923402,1.16666666666667,7,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
