experiment,noise_mode,view_kind,snr_db,method,true_id,predicted_id,count
noise_only,fixed_received_snr,siso_forward,10,single_feature,T5,T4,0
noise_only,fixed_received_snr,siso_forward,10,single_feature,T5,T5,4
noise_only,fixed_received_snr,siso_forward,0,oracle,T2,T2,19
noise_only,fixed_received_snr,siso_forward,0,oracle,T2,T3,0
noise_only,fixed_received_snr,siso_forward,0,oracle,T2,T4,0
noise_only,fixed_received_snr,siso_forward,0,oracle,T2,T5,1
noise_only,fixed_received_snr,siso_forward,0,oracle,T3,T2,0
noise_only,fixed_received_snr,siso_forward,0,oracle,T3,T3,12
noise_only,fixed_received_snr,siso_forward,0,oracle,T3,T4,3
noise_only,fixed_received_snr,siso_forward,0,oracle,T3,T5,5
noise_only,fixed_received_snr,siso_forward,0,oracle,T4,T2,1
noise_only,fixed_received_snr,siso_forward,0,oracle,T4,T3,3
noise_only,fixed_received_snr,siso_forward,0,oracle,T4,T4,16
noise_only,fixed_received_snr,siso_forward,0,oracle,T4,T5,0
noise_only,fixed_received_snr,siso_forward,0,oracle,T5,T2,0
noise_only,fixed_received_snr,siso_forward,0,oracle,T5,T3,11
noise_only,fixed_received_snr,siso_forward,0,oracle,T5,T4,3
noise_only,fixed_received_snr,siso_forward,0,oracle,T5,T5,6
noise_only,fixed_received_snr,siso_forward,0,joint,T2,T2,19
noise_only,fixed_received_snr,siso_forward,0,joint,T2,T3,0
noise_only,fixed_received_snr,siso_forward,0,joint,T2,T4,0
noise_only,fixed_received_snr,siso_forward,0,joint,T2,T5,1
noise_only,fixed_received_snr,siso_forward,0,joint,T3,T2,0
noise_only,fixed_received_snr,siso_forward,0,joint,T3,T3,8
noise_only,fixed_received_snr,siso_forward,0,joint,T3,T4,3
noise_only,fixed_received_snr,siso_forward,0,joint,T3,T5,9
noise_only,fixed_received_snr,siso_forward,0,joint,T4,T2,0
noise_only,fixed_received_snr,siso_forward,0,joint,T4,T3,2
noise_only,fixed_received_snr,siso_forward,0,joint,T4,T4,17
noise_only,fixed_received_snr,siso_forward,0,joint,T4,T5,1
noise_only,fixed_received_snr,siso_forward,0,joint,T5,T2,0
noise_only,fixed_received_snr,siso_forward,0,joint,T5,T3,11
noise_only,fixed_received_snr,siso_forward,0,joint,T5,T4,4
noise_only,fixed_received_snr,siso_forward,0,joint,T5,T5,5
noise_only,fixed_received_snr,siso_forward,0,single_feature,T2,T2,20
noise_only,fixed_received_snr,siso_forward,0,single_feature,T2,T3,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T2,T4,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T2,T5,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T3,T2,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T3,T3,17
noise_only,fixed_received_snr,siso_forward,0,single_feature,T3,T4,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T3,T5,3
noise_only,fixed_received_snr,siso_forward,0,single_feature,T4,T2,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T4,T3,17
noise_only,fixed_received_snr,siso_forward,0,single_feature,T4,T4,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T4,T5,3
noise_only,fixed_received_snr,siso_forward,0,single_feature,T5,T2,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T5,T3,19
noise_only,fixed_received_snr,siso_forward,0,single_feature,T5,T4,0
noise_only,fixed_received_snr,siso_forward,0,single_feature,T5,T5,1
noise_only,fixed_noise_power,siso_forward,30,oracle,T2,T2,20
noise_only,fixed_noise_power,siso_forward,30,oracle,T2,T3,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T2,T4,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T2,T5,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T3,T2,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T3,T3,11
noise_only,fixed_noise_power,siso_forward,30,oracle,T3,T4,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T3,T5,9
noise_only,fixed_noise_power,siso_forward,30,oracle,T4,T2,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T4,T3,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T4,T4,20
noise_only,fixed_noise_power,siso_forward,30,oracle,T4,T5,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T5,T2,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T5,T3,10
noise_only,fixed_noise_power,siso_forward,30,oracle,T5,T4,0
noise_only,fixed_noise_power,siso_forward,30,oracle,T5,T5,10
noise_only,fixed_noise_power,siso_forward,30,joint,T2,T2,20
noise_only,fixed_noise_power,siso_forward,30,joint,T2,T3,0
noise_only,fixed_noise_power,siso_forward,30,joint,T2,T4,0
noise_only,fixed_noise_power,siso_forward,30,joint,T2,T5,0
noise_only,fixed_noise_power,siso_forward,30,joint,T3,T2,0
noise_only,fixed_noise_power,siso_forward,30,joint,T3,T3,13
noise_only,fixed_noise_power,siso_forward,30,joint,T3,T4,0
noise_only,fixed_noise_power,siso_forward,30,joint,T3,T5,7
noise_only,fixed_noise_power,siso_forward,30,joint,T4,T2,0
noise_only,fixed_noise_power,siso_forward,30,joint,T4,T3,0
noise_only,fixed_noise_power,siso_forward,30,joint,T4,T4,20
noise_only,fixed_noise_power,siso_forward,30,joint,T4,T5,0
noise_only,fixed_noise_power,siso_forward,30,joint,T5,T2,0
noise_only,fixed_noise_power,siso_forward,30,joint,T5,T3,10
noise_only,fixed_noise_power,siso_forward,30,joint,T5,T4,0
noise_only,fixed_noise_power,siso_forward,30,joint,T5,T5,10
noise_only,fixed_noise_power,siso_forward,30,single_feature,T2,T2,20
noise_only,fixed_noise_power,siso_forward,30,single_feature,T2,T3,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T2,T4,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T2,T5,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T3,T2,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T3,T3,14
noise_only,fixed_noise_power,siso_forward,30,single_feature,T3,T4,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T3,T5,6
noise_only,fixed_noise_power,siso_forward,30,single_feature,T4,T2,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T4,T3,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T4,T4,20
noise_only,fixed_noise_power,siso_forward,30,single_feature,T4,T5,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T5,T2,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T5,T3,10
noise_only,fixed_noise_power,siso_forward,30,single_feature,T5,T4,0
noise_only,fixed_noise_power,siso_forward,30,single_feature,T5,T5,10
noise_only,fixed_noise_power,siso_forward,20,oracle,T2,T2,20
noise_only,fixed_noise_power,siso_forward,20,oracle,T2,T3,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T2,T4,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T2,T5,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T3,T2,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T3,T3,8
noise_only,fixed_noise_power,siso_forward,20,oracle,T3,T4,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T3,T5,12
noise_only,fixed_noise_power,siso_forward,20,oracle,T4,T2,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T4,T3,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T4,T4,20
noise_only,fixed_noise_power,siso_forward,20,oracle,T4,T5,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T5,T2,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T5,T3,11
noise_only,fixed_noise_power,siso_forward,20,oracle,T5,T4,0
noise_only,fixed_noise_power,siso_forward,20,oracle,T5,T5,9
noise_only,fixed_noise_power,siso_forward,20,joint,T2,T2,20
noise_only,fixed_noise_power,siso_forward,20,joint,T2,T3,0
noise_only,fixed_noise_power,siso_forward,20,joint,T2,T4,0
noise_only,fixed_noise_power,siso_forward,20,joint,T2,T5,0
noise_only,fixed_noise_power,siso_forward,20,joint,T3,T2,0
