experiment,noise_mode,view_kind,snr_db,method,sample_count,trial_count,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,group_accuracy_mean,group_accuracy_std,group_accuracy_ci_low,group_accuracy_ci_high,edge_precision,edge_recall,edge_f1,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,intra_inter_ratio,length_rmse_m,main_length_rmse_m,branch_length_rmse_m,load_relative_rmse,Zs_rmse_ohm,Zr_rmse_ohm
noise_only,fixed_noise_power,three_view_complete,10,oracle,80,20,0.97499999999999998,0.076948376406386548,0.94127588712102739,1,0.97499999999999998,0.076948376406386548,0.94127588712102739,1,0.99521531100478466,0.99047619047619051,0.99284009546539387,0.13519748621591185,3.6716691570038149,30.966238856760537,0.13615816752570817,0.1705116589427989,0.79852702372325635,0,0,0,0,0,0
noise_only,fixed_noise_power,three_view_complete,10,joint,80,20,0.94999999999999996,0.13078709094514923,0.89268003011717101,1,0.94999999999999996,0.13078709094514923,0.89268003011717101,1,0.99052132701421802,0.99523809523809526,0.99287410926365793,0.13519748621591185,3.6716691570038149,30.966238856760537,0.13076011779797142,0.16459473029796509,0.79443684230507849,0.23562859192664506,0.19364916731037102,0.33541019662496874,0.14317821063276351,0,0.55901699437494745
noise_only,fixed_noise_power,three_view_complete,10,single_feature,80,20,1,0,1,1,1,0,1,1,1,1,1,0.13519748621591185,3.6716691570038149,30.966238856760537,0.0055977778460009012,0.0077013837038297922,0.72685351896143069,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_noise_power,three_view_complete,0,oracle,80,20,0.71250000000000002,0.21877349497885518,0.61661828833620591,0.80838171166379413,0.76249999999999996,0.18978866362906202,0.67932145076624872,0.84567854923375119,0.94075829383886256,0.94523809523809521,0.94299287410926369,1.3532213382213476,7.3174961049162661,73.864627912136086,0.30186613213195485,0.30698620359444739,0.98332149327056873,0,0,0,0,0,0
noise_only,fixed_noise_power,three_view_complete,0,joint,80,20,0.71250000000000002,0.2031819252218123,0.62345159506733072,0.80154840493266932,0.75,0.1813690625275029,0.67051150364592638,0.82948849635407362,0.94405594405594406,0.9642857142857143,0.95406360424028269,1.3532213382213476,7.3174961049162661,73.864627912136086,0.28894878178900274,0.29470421628601523,0.98047047114036956,0.47302219821061298,0.52440442408507626,0.29047375096555655,0.10246950765959596,0,0
noise_only,fixed_noise_power,three_view_complete,0,single_feature,80,20,0.75,0,0.75,0.75,0.75,0,0.75,0.75,1,0.95238095238095233,0.97560975609756095,1.3532213382213476,7.3174961049162661,73.864627912136086,0.011954804079333043,0.012300863531273562,0.9718670603034737,NaN,NaN,NaN,NaN,NaN,NaN
joint_parameter_uncertainty,fixed_received_snr,siso_forward,20,oracle,80,20,0.78749999999999998,0.18628995509264867,0.7058548273899411,0.86914517261005886,1,0,1,1,0.95952380952380956,0.95952380952380956,0.95952380952380956,0.0099947987719684571,1.1514671287606013,5.9659474101153744,0.023466684754342586,0.059879395442406488,0.39189915965189454,0,0,0,0,0,0
joint_parameter_uncertainty,fixed_received_snr,siso_forward,20,joint,80,20,0.72499999999999998,0.19701723141310309,0.6386533912530129,0.81134660874698705,0.90000000000000002,0.14956076040402974,0.834452106702126,0.96554789329787405,0.95047169811320753,0.95952380952380956,0.95497630331753547,0.0099947987719684571,1.1514671287606013,5.9659474101153744,0.083429678981213923,0.10185368103939729,0.81911304657652073,0.33388643288063036,0.30782525415807566,0.40617802055304669,0.15999631922799407,3.7416524867707928,2.6021928630303979
joint_parameter_uncertainty,fixed_received_snr,siso_forward,20,single_feature,80,20,0.72499999999999998,0.13812656286327063,0.6644633647241085,0.78553663527589146,1,0,1,1,0.94761904761904758,0.94761904761904758,0.94761904761904758,0.0099947987719684571,1.1514671287606013,5.9659474101153744,0.0050308591817771076,0.0059003767638768929,0.85263354919585488,NaN,NaN,NaN,NaN,NaN,NaN
joint_parameter_uncertainty,fixed_noise_power,siso_forward,20,oracle,80,20,0.78749999999999998,0.16770509831248423,0.71399999999999997,0.86099999999999999,1,0,1,1,0.95952380952380956,0.95952380952380956,0.95952380952380956,0.012634644924477351,1.282650858571478,6.6275339052530908,0.026068901789075533,0.060758168331920902,0.42906003430948642,0,0,0,0,0,0
joint_parameter_uncertainty,fixed_noise_power,siso_forward,20,joint,80,20,0.65000000000000002,0.20519567041703082,0.56006903232273986,0.73993096767726019,0.84999999999999998,0.18848425873126298,0.76739313141849452,0.93260686858150543,0.93896713615023475,0.95238095238095233,0.94562647754137108,0.012634644924477351,1.282650858571478,6.6275339052530908,0.084351591572451562,0.1019421280266477,0.82744585781456348,0.31474545169812107,0.30069794380352177,0.35865736755530941,0.2002532279436991,3.9536346663761663,2.9058930436689376
joint_parameter_uncertainty,fixed_noise_power,siso_forward,20,single_feature,80,20,0.8125,0.11106541457982982,0.76382343587785961,0.86117656412214039,1,0,1,1,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.012634644924477351,1.282650858571478,6.6275339052530908,0.0048522637286234878,0.0058148591085740832,0.83445938036035361,NaN,NaN,NaN,NaN,NaN,NaN
joint_parameter_uncertainty,fixed_received_snr,three_view_complete,20,oracle,80,20,1,0,1,1,1,0,1,1,1,1,1,0.0099772642676729806,1.2474604024816278,8.0074561560602042,0.034109779392503634,0.10352077261578403,0.3294969553511895,0,0,0,0,0,0
joint_parameter_uncertainty,fixed_received_snr,three_view_complete,20,joint,80,20,0.875,0.15174424466672098,0.80849515253124693,0.94150484746875307,0.875,0.15174424466672098,0.80849515253124693,0.94150484746875307,0.97619047619047616,0.97619047619047616,0.97619047619047616,0.0099772642676729806,1.2474604024816278,8.0074561560602042,0.093748232749940846,0.12622915714786442,0.74268287033022384,0.34137520782794772,0.32219035799024187,0.40296175169607823,0.19034036482284078,3.0261730236328765,2.8972959121389561
joint_parameter_uncertainty,fixed_received_snr,three_view_complete,20,single_feature,80,20,1,0,1,1,1,0,1,1,1,1,1,0.0099772642676729806,1.2474604024816278,8.0074561560602042,0.0058174746505633796,0.0078662496666362484,0.73954869182928407,NaN,NaN,NaN,NaN,NaN,NaN
joint_parameter_uncertainty,fixed_noise_power,three_view_complete,20,oracle,80,20,1,0,1,1,1,0,1,1,1,1,1,0.013402454684911774,1.4509944442425355,10.063198639349906,0.044503241656543124,0.10807013826338423,0.41179961802289544,0,0,0,0,0,0
joint_parameter_uncertainty,fixed_noise_power,three_view_complete,20,joint,80,20,0.91249999999999998,0.12234012123239824,0.85888207781956327,0.96611792218043668,0.91249999999999998,0.12234012123239824,0.85888207781956327,0.96611792218043668,0.98568019093078763,0.98333333333333328,0.98450536352800955,0.013402454684911774,1.4509944442425355,10.063198639349906,0.095591378997313584,0.13057382953461455,0.73208681508397311,0.33988937862166357,0.31147890893073266,0.43353923251184173,0.2048022430123243,3.0336955271298196,2.839664762552895
joint_parameter_uncertainty,fixed_noise_power,three_view_complete,20,single_feature,80,20,1,0,1,1,1,0,1,1,1,1,1,0.013402454684911774,1.4509944442425355,10.063198639349906,0.00559467432828426,0.0077609664578895121,0.72087340650685594,NaN,NaN,NaN,NaN,NaN,NaN
