feature,true_index,reference_index,distance
complex,3,6,0.014461954429650342
complex,4,1,0.018007229384249042
complex,4,2,0.012043698823872021
complex,4,3,0.0087717555816084133
complex,4,4,0
complex,4,5,0.0087717555816084099
complex,4,6,0.0073897549330286753
complex,5,1,0.011600127667302172
complex,5,2,0.0099138778813737949
complex,5,3,1.1389221300010957e-17
complex,5,4,0.0087717555816084099
complex,5,5,0
complex,5,6,0.01446195442965034
complex,6,1,0.022279575918715017
complex,6,2,0.016294147234222494
complex,6,3,0.014461954429650342
complex,6,4,0.0073897549330286753
complex,6,5,0.01446195442965034
complex,6,6,0
cir,1,1,0
cir,1,2,0.0076906741134946405
cir,1,3,0.0076749037854469118
cir,1,4,0.011913985512085808
cir,1,5,0.00767490378544691
cir,1,6,0.014740665487560591
cir,2,1,0.0076906741134946405
cir,2,2,0
cir,2,3,0.0065592432309764352
cir,2,4,0.007968380378663131
cir,2,5,0.0065592432309764352
cir,2,6,0.0107805720656907
cir,3,1,0.0076749037854469118
cir,3,2,0.0065592432309764352
cir,3,3,0
cir,3,4,0.0058035895853169178
cir,3,5,8.7226447826313587e-18
cir,3,6,0.009568352347530491
cir,4,1,0.011913985512085808
cir,4,2,0.007968380378663131
cir,4,3,0.0058035895853169178
cir,4,4,0
cir,4,5,0.005803589585316917
cir,4,6,0.0048892270616032827
cir,5,1,0.00767490378544691
cir,5,2,0.0065592432309764352
cir,5,3,8.7226447826313587e-18
cir,5,4,0.005803589585316917
cir,5,5,0
cir,5,6,0.009568352347530491
cir,6,1,0.014740665487560591
cir,6,2,0.0107805720656907
cir,6,3,0.009568352347530491
cir,6,4,0.0048892270616032827
cir,6,5,0.009568352347530491
cir,6,6,0
amp_phase_joint,1,1,0
amp_phase_joint,1,2,0.2834641147652423
amp_phase_joint,1,3,0.10629176968099244
amp_phase_joint,1,4,0.31844076646721547
amp_phase_joint,1,5,0.10629176968099237
amp_phase_joint,1,6,0.46980106554662293
amp_phase_joint,2,1,0.2834641147652423
amp_phase_joint,2,2,0
amp_phase_joint,2,3,0.22308924550708387
amp_phase_joint,2,4,0.11604227187306931
amp_phase_joint,2,5,0.22308924550708395
amp_phase_joint,2,6,0.24018619872232891
amp_phase_joint,3,1,0.10629176968099244
amp_phase_joint,3,2,0.22308924550708387
amp_phase_joint,3,3,0
amp_phase_joint,3,4,0.23040978989008892
amp_phase_joint,3,5,2.191348731755639e-16
amp_phase_joint,3,6,0.37937291205654039
amp_phase_joint,4,1,0.31844076646721547
amp_phase_joint,4,2,0.11604227187306931
amp_phase_joint,4,3,0.23040978989008892
amp_phase_joint,4,4,0
amp_phase_joint,4,5,0.23040978989008895
amp_phase_joint,4,6,0.15945902631029438
amp_phase_joint,5,1,0.10629176968099237
amp_phase_joint,5,2,0.22308924550708395
amp_phase_joint,5,3,2.191348731755639e-16
amp_phase_joint,5,4,0.23040978989008895
amp_phase_joint,5,5,0
amp_phase_joint,5,6,0.37937291205654056
amp_phase_joint,6,1,0.46980106554662293
amp_phase_joint,6,2,0.24018619872232891
amp_phase_joint,6,3,0.37937291205654039
amp_phase_joint,6,4,0.15945902631029438
amp_phase_joint,6,5,0.37937291205654056
amp_phase_joint,6,6,0
