sample_index,h_sampled_real,h_sampled_imag
233,0.000292616367048128,0.000190069254507649
234,0.000315214177395131,2.55619935931818e-05
235,0.000278840475741206,0.00030395406161528
236,0.000193406898162896,0.000127154214046128
237,0.000225500074478428,0.000370396917414214
238,4.63686681618228e-05,0.000206961521340425
239,0.000141703315625213,0.000377658214915334
240,-0.000101314159792148,0.00025108848931182
241,4.36732173531263e-05,0.000324029519979817
242,-0.000222189324073908,0.000252520505593429
243,-4.60656302467715e-05,0.000220479405742078
244,-0.000289845898723324,0.000217118683161495
245,-0.000102369202104626,9.48035576293295e-05
246,-0.000284238713609062,0.000179073732471345
247,-0.000132061441230116,1.67002179191246e-05
248,-0.000279174464934661,0.000182535230979413
249,-0.000231230538280128,-4.57189117712688e-05
250,-0.000302083838142315,0.000105061909321436
251,-0.000302289240842287,-0.000171396288763506
252,-0.000251527495418045,-2.93231472018255e-05
253,-0.000296551054514744,-0.00028430174048804
254,-0.000140255849136237,-0.000158665749190378
255,-0.00022867028992359,-0.000346848527188751
256,6.4580012945315e-07,-0.000251488443595465
257,-0.0001251634218387,-0.000345918263354064
258,0.00013689978602864,-0.000298730394964657
259,-7.45136716767754e-06,-0.000291118270589433
260,0.000249160208931336,-0.000300618024662959
261,0.000109373484451327,-0.000193858336831287
262,0.000321746557498223,-0.000258062708182806
263,0.000207731688381889,-7.23332769591316e-05
264,0.000348942812384281,-0.000183233817296152
265,0.00028429992024425,5.41395208499611e-05
266,0.000340627640924469,-7.81168323148695e-05
267,0.000334314121156225,0.000190205945699274
268,0.000281390428484731,7.34254185173517e-05
269,0.000301171296321609,0.000326724846614915
270,0.000133485355400783,0.000207867591458574
271,0.000197109605201657,0.000377856938909189
272,-2.77211852319414e-05,0.000275366784655772
273,8.25972460147971e-05,0.000355366978710734
274,-0.000167024712721545,0.000298140311607251
275,-3.37413499688163e-05,0.000283052601288211
276,-0.000275266825360264,0.000279069090103093
277,-0.000141146782317052,0.000171140077639072
278,-0.000338709051269605,0.000219677402409155
279,-0.000224400518392104,3.67300480227055e-05
280,-0.000350160143177639,0.000129413010457545
281,-0.000273073221538749,-0.00010141551971548
282,-0.000308289624420971,1.92707543770596e-05
283,-0.000277265213348269,-0.000224516280334158
284,-0.000215976319797928,-9.3148415163153e-05
285,-0.000233615893124812,-0.000311304194551044
286,-8.4911366487537e-05,-0.000186387940517801
287,-0.000147128009457614,-0.000341017570835007
288,6.07131336790028e-05,-0.000232750866230586
289,-5.02257618301207e-05,-0.000297785390697393
290,0.000169417557372067,-0.000233304118156128
291,2.69775775667697e-05,-0.000221079011500102
292,0.000240811367444879,-0.000220946076727238
293,0.000103399740066413,-0.00013061413673288
294,0.000284639179641524,-0.000185010429907936
295,0.000172095764638715,-2.49177515969688e-05
296,0.000291967486479611,-0.00012162179365052
297,0.000218713685061804,8.49373398818971e-05
298,0.000258095705709592,-3.84112094437764e-05
299,0.000233057007551493,0.000182659203577227
300,0.000186388253961508,5.08338564895467e-05
301,0.000212418779204465,0.000252476112600016
302,8.77996902775495e-05,0.000131652732484444
303,0.000160271976500162,0.000283374265187873
304,-2.21060855207379e-05,0.000190759596538294
305,8.6687594008759e-05,0.000270003231779795
306,-0.000123214510754971,0.000219938816900279
307,6.73969507860024e-06,0.000218677172360194
308,-0.000199571303709867,0.0002228791201461
309,-7.36082155949708e-05,0.000146702162601745
310,-0.000254419857703449,0.000202430678602733
311,-0.000156564095501501,5.45687907826356e-05
312,-0.000280893827698564,0.000142975718165042
313,-0.000216531101568609,-5.57766319578628e-05
314,-0.000260734083597641,5.55044973518901e-05
315,-0.000238055740573426,-0.000159095504831654
316,-0.000197753681520822,-3.92201538090555e-05
317,-0.000221141516368699,-0.000236190694562241
318,-0.000104651308535796,-0.000125628224484563
319,-0.000170797089755927,-0.000275834463975773
320,2.9244775170422e-06,-0.00019145350335055
321,-9.56878921209752e-05,-0.000273456139428805
322,0.000108569996698294,-0.000228062703705381
323,-6.91440716512109e-06,-0.000230803647664612
324,0.000197473467771604,-0.000230837475923435
325,8.33903403114485e-05,-0.000154642813905152
326,0.000257883867152478,-0.000198863027764308
327,0.000162810974056394,-5.5051638198241e-05
328,0.00028162475627497,-0.000134421333497228
329,0.000218071831770748,5.7010086517085e-05
330,0.00026009056307394,-4.39446028555153e-05
331,0.000232550953905534,0.000163135622555695
332,0.000191292036081635,5.01282466360037e-05
333,0.000207122866719868,0.000237074408513731
334,9.47055789684978e-05,0.000128895241330238
335,0.0001537461276354,0.000270325946683366
336,-1.1651767351003e-05,0.000185633675798745
337,8.05664822674527e-05,0.000262393126408728
338,-0.000113157743324135,0.000214277864509388
339,-2.6327426810736e-06,0.000215801140590709
340,-0.0001956493130915,0.000211041523775647
341,-8.38953206369522e-05,0.000137973752293142
342,-0.000247452047247309,0.000176683609074872
343,-0.000151394257464875,4.0737070871452e-05
344,-0.000261296315571051,0.000116404798838397
345,-0.000195024563460623,-6.14200312144866e-05
346,-0.000235081934424341,3.93775821692998e-05
347,-0.000207745095837436,-0.000152849280157359
348,-0.000172443207961557,-4.15797439485248e-05
349,-0.000187977432088573,-0.00021793139468454
350,-8.49763949178553e-05,-0.000111877110796693
351,-0.000143044254677271,-0.000246315832687668
352,9.58965983672335e-06,-0.000163733039533883
