scenario,feature,accuracy,edge_precision,edge_recall,edge_f1
length_+5pct,amp_phase_joint,0.16666666666666666,0.83333333333333337,0.9375,0.88235294117647056
kG_-5pct,amplitude,0.83333333333333337,0.96875,0.96875,0.96875
kG_-5pct,phase,0.83333333333333337,0.96875,0.96875,0.96875
kG_-5pct,complex,0.83333333333333337,0.96875,0.96875,0.96875
kG_-5pct,cir,0.83333333333333337,0.96875,0.96875,0.96875
kG_-5pct,amp_phase_joint,0.83333333333333337,0.96875,0.96875,0.96875
kG_+5pct,amplitude,0.83333333333333337,0.96875,0.96875,0.96875
kG_+5pct,phase,0.83333333333333337,0.96875,0.96875,0.96875
kG_+5pct,complex,0.83333333333333337,0.96875,0.96875,0.96875
kG_+5pct,cir,0.83333333333333337,0.96875,0.96875,0.96875
kG_+5pct,amp_phase_joint,0.83333333333333337,0.96875,0.96875,0.96875
