sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final02_test_in_07,final02,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[30.214565 6.9444593 1.2599887 0.61330243 1.643202],[30.468772 5.7271021 1.9862919 0.83627727 0.13714409],222.166126539071,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_in_07,final02,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[30.370285 6.8878725 1.2485324 0.60507139 1.639543],[30.61379 5.7090439 1.9744058 0.82870457 0.16636342],184.017556690093,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_main_length_scale_medium,final02,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.346513 6.6409137 1.1993688 0.62944 1.4568945],[35.532879 5.558097 1.8151546 0.80423164 0.12420804],286.075512295915,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_main_length_scale_medium,final02,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.388279 6.5203302 1.1808582 0.61111775 1.4644187],[35.560004 5.5073957 1.8030527 0.79844226 0.1538187],231.18128217948,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_branch_length_scale_far,final02,B_ofdm_active_subcarriers,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[42.014049 4.8704907 0.85689494 0.86493386 1.7439852],[42.026423 4.7625545 1.9732897 0.7801961 0.145367],289.10565938232,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_branch_load_scale_near,final02,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.629554 8.587906 1.5777179 0.8315215 1.4450908],[36.027831 6.7243309 2.0842803 0.94699746 0.15464015],232.978499994394,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_branch_load_scale_near,final02,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[28.074349 6.5975436 1.2316572 0.61604844 1.6648043],[28.359144 5.2401853 1.9892458 0.82341338 0.17031794],166.507084035576,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_source_impedance_ohm_medium,final02,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.579689 5.9286044 1.0191871 0.74608624 2.0185631],[39.663736 5.3374547 2.2019143 0.88754698 0.18322432],216.476368932167,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_source_impedance_ohm_medium,final02,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[39.404393 5.9787683 1.0252511 0.7383518 2.0369946],[39.492867 5.3633573 2.2172692 0.88564404 0.21140343],186.812798815162,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_receiver_impedance_ohm_far,final02,B_ofdm_active_subcarriers,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[34.140979 7.5585347 1.3510726 0.69279935 1.4269298],[34.379163 6.3884362 1.884432 0.88128389 0.11267277],305.123984302984,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_joint_parameter_set_near,final02,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[28.688819 5.368847 0.97616442 0.54917118 1.5429373],[28.824779 4.5831566 1.7707393 0.69642902 0.11942644],241.360116833949,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final02_test_out_joint_parameter_set_near,final02,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[28.942474 5.3676895 0.97652781 0.53857427 1.5460612],[29.075494 4.5929205 1.7688765 0.6955234 0.14466415],200.986175811591,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_01,final03,B_ofdm_active_subcarriers,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[55.708531 0 0 1.0590736 2.7039975],[55.708544 2.8949579 0.22606519 6.148404e-18 4.7144323e-19],Inf,3,[false true true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_02,final03,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[40.572593 5.297663 0.90478594 0.79498682 1.9349229],[40.654391 4.6283921 2.1270124 0.79599592 0.18919354],214.882556255253,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final03_test_in_02,final03,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[40.568351 5.2956634 0.90449385 0.78267301 1.9528148],[40.650071 4.6269169 2.1379634 0.7938129 0.20420575],199.064277804185,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
