mode,snr_db,feature,edge_precision_micro,edge_recall_micro,edge_f1_micro
fixed_noise_power,20,amplitude_raw_db,0.96709677419354834,0.93687500000000001,0.95174603174603178
fixed_noise_power,20,amplitude_db_standardized,0.96907216494845361,0.93999999999999995,0.9543147208121826
fixed_noise_power,20,phase,0.9555408095554081,0.90000000000000002,0.92693916961699396
fixed_noise_power,20,phase_masked,0.95427435387673953,0.90000000000000002,0.92634287552267602
fixed_noise_power,20,phase_weighted,0.97044025157232705,0.96437499999999998,0.96739811912225704
fixed_noise_power,20,complex,0.96625000000000005,0.96625000000000005,0.96625000000000005
fixed_noise_power,20,cir,0.96999999999999997,0.96999999999999997,0.96999999999999997
fixed_noise_power,20,amp_phase_joint,0.9555408095554081,0.90000000000000002,0.92693916961699396
fixed_noise_power,10,amplitude,0.97127222982216144,0.88749999999999996,0.92749836708033961
fixed_noise_power,10,amplitude_raw_db,0.96512407780013409,0.89937500000000004,0.93109026205111611
fixed_noise_power,10,amplitude_db_standardized,0.96361185983827491,0.89375000000000004,0.92736705577172507
fixed_noise_power,10,phase,0.91315789473684206,0.86750000000000005,0.88974358974358969
fixed_noise_power,10,phase_masked,0.91059602649006621,0.859375,0.88424437299035374
fixed_noise_power,10,phase_weighted,0.96197718631178708,0.94874999999999998,0.95531780994336069
fixed_noise_power,10,complex,0.96812500000000001,0.96812500000000001,0.96812500000000001
fixed_noise_power,10,cir,0.97062499999999996,0.97062499999999996,0.97062499999999996
fixed_noise_power,10,amp_phase_joint,0.91315789473684206,0.86750000000000005,0.88974358974358969
fixed_noise_power,0,amplitude,0.99916736053288924,0.75,0.85683684398429127
fixed_noise_power,0,amplitude_raw_db,1,0.75,0.8571428571428571
fixed_noise_power,0,amplitude_db_standardized,0.96499656829100888,0.87875000000000003,0.91985606804056264
fixed_noise_power,0,phase,0.86806009144350094,0.83062499999999995,0.84893005429575208
fixed_noise_power,0,phase_masked,0.88136729222520105,0.82187500000000002,0.85058214747736083
fixed_noise_power,0,phase_weighted,0.92870544090056284,0.92812499999999998,0.92841512972803997
fixed_noise_power,0,complex,0.96937499999999999,0.96937499999999999,0.96937499999999999
fixed_noise_power,0,cir,0.96875,0.96875,0.96875
fixed_noise_power,0,amp_phase_joint,0.86806009144350094,0.83062499999999995,0.84893005429575208
