sample_id,grid_id,scenario_id,method_id,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,robust_best_score,robust_margin,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,distance_evaluations,matching_time_s,residual_threshold,margin_threshold,rho_threshold,configuration_hash,calibration_hash
test_cont_G007_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P113,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0242913460385815,0.0946682120945037,0.0703768660559222,0.256594536866037,-0.64181937902647,0.656424288056379,7,4,243,972,972,0.060086,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G007_03,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P007,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.101980985774796,0.145393830815724,0.0434128450409281,0.701412055806879,0.357296238507302,0.362738134263043,7,4,243,972,972,0.057898,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G007_04,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P184,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0308364567808438,0.0918558713252587,0.0610194145444149,0.335704798567717,-0.482251736353156,0.326965547068794,7,4,243,972,972,0.060785,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G007_05,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P095,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.0281921589485139,0.0941951285707726,0.0660029696222587,0.299295296646182,-0.54671884596316,0.503015823572872,7,4,243,972,972,0.061106,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_cont_G007_06,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P151,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.074203189728419,0.117536966092251,0.0433337763638321,0.63131789253049,0.109129538999169,0.326035287507594,7,4,243,972,972,0.060018,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G007_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P122,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0,0.0875442255501666,0.0875442255501666,0,-1.23403438918816,0.938847598596748,7,4,243,972,972,0.0589,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_grid_G007_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P122,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0,0.0875442255501666,0.0875442255501666,0,-1.23403438918816,0.938847598596748,7,4,243,972,972,0.057584,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_01,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G007_P157,G007,"{G007}","","{G004,G007}",2,"{G007}",1,0.0587711162973595,0.0592704185958936,0.000499302298534059,0.991575860077354,-1.38837054747959,1.2276906831929,7,4,243,972,972,0.061302,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_02,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G003_P026,G003,"{G003}","","{G003}",1,"{G003}",1,0.118820064576984,0.120637583336581,0.00181751875959739,0.984934058605009,-0.340738016558319,0.338741108695232,7,4,243,972,972,0.060435,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_03,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,unique_given_prior,"prior removed members of a baseline observational class",G007_P023,G007,"{G007}","G007","{G004,G007}",2,"{G007}",1,0.129699876560206,0.147427716462097,0.017727839901891,0.879752326576065,0.470353412778619,0.27047985774945,7,4,243,972,972,0.059433,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_04,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G007_P161,G007,"{G007}","","{G004,G007}",2,"{G007}",1,0.0943051124625006,0.0988489731691855,0.0045438607066849,0.954032292274176,-0.686156607481971,0.895959896485536,7,4,243,972,972,0.055587,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
test_structure_out_05,B_ofdm_active_subcarriers,P1_partial_consistent_prior,joint_abs_margin_ratio,reject_low_margin,"absolute residual, margin and ratio joint rule failed",G003_P016,G003,"{G003}","","{G003}",1,"{G003}",1,0.122865999279591,0.129055758425183,0.00618975914559203,0.952038101809053,-0.104658566382321,0.134699943338395,7,4,243,972,972,0.063738,0.197990453486405,0.00938684763421121,0.945725312662553,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
