split,scenario,measurement_kind,method,feature,true_id,predicted_id,count
test,joint_bounded,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T3,T2,1
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,49
test,joint_bounded,dual_receiver_highz_complete,topology_only,amplitude,T4,T4,50
test,joint_bounded,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T4,T2,1
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,48
test,joint_bounded,dual_receiver_highz_complete,topology_only,amplitude,T5,T5,50
test,joint_bounded,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,joint_bounded,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,T5,T2,2
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T2,T2,49
test,joint_bounded,dual_receiver_counterfactual,topology_only,amplitude,T2,T2,50
test,joint_bounded,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T2,T3,1
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T3,T3,50
test,joint_bounded,dual_receiver_counterfactual,topology_only,amplitude,T3,T3,50
test,joint_bounded,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,dual_receiver_counterfactual,topology_only,amplitude,T4,T4,50
test,joint_bounded,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T5,T5,47
test,joint_bounded,dual_receiver_counterfactual,topology_only,amplitude,T5,T5,50
test,joint_bounded,dual_receiver_counterfactual,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,joint_bounded,dual_receiver_counterfactual,nominal_nearest,amp_phase_joint_weighted,T5,T2,3
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T2,T3,1
test,joint_bounded,three_view_complete,topology_only,amplitude,T2,T2,50
test,joint_bounded,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T2,T2,50
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T2,T2,49
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T3,T3,45
test,joint_bounded,three_view_complete,topology_only,amplitude,T3,T3,50
test,joint_bounded,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T3,T3,50
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T3,T2,5
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T4,T4,48
test,joint_bounded,three_view_complete,topology_only,amplitude,T4,T4,50
test,joint_bounded,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T4,T4,50
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T4,T5,2
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T5,T5,43
test,joint_bounded,three_view_complete,topology_only,amplitude,T5,T5,50
test,joint_bounded,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,T5,T5,50
test,joint_bounded,three_view_complete,nominal_nearest,amp_phase_joint_weighted,T5,T2,7
