mode,scenario,input_mode,measurement_kind,observation_mode,feature,noise_kind,snr_db,pilot_spacing,trials,strict_accuracy,strict_unique_rate,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
formal,load_time_varying_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.0041193775327119,0.822526947497771,5.06085373757266,0,0.0044218557317435,3,1793,1,1,1,6.30394325
formal,load_time_varying_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,1,1,1,0,0,0,0.0041193775327119,0.822526947497771,5.06085373757266,0,0.073066896275084,3,1793,1,1,1,6.313332125
formal,load_time_varying_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.0041193775327119,0.822526947497771,5.06085373757266,0,0.00450257289352164,3,1793,1,1,1,6.326971125
formal,load_time_varying_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.0041193775327119,0.822526947497771,5.06085373757266,0,1.57869214231538e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,6.3298015
formal,length_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00408903622697805,0.747593241369902,4.28920836726607,0,0.00132334721751394,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,6.636832375
formal,length_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.5,0.375,0.75,0.5,0.125,0.5,0.00408903622697805,0.747593241369902,4.28920836726607,0,0.00690349324074008,1,1793,0.928571428571429,0.928571428571429,0.928571428571429,6.640745875
formal,length_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,0.5,1,0.5,0,0.5,0.00408903622697805,0.747593241369902,4.28920836726607,0,0.000423399287387019,1,1793,1,1,1,6.645927625
formal,length_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.25,0,0.25,1,0,0,0.00408903622697805,0.747593241369902,4.28920836726607,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,6.647320875
formal,length_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.00411660935706783,0.799729635371162,5.08083682572266,0,0.00240906349204014,3,1793,1,1,1,6.938307875
formal,length_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.75,0.75,0.75,0,0,0,0.00411660935706783,0.799729635371162,5.08083682572266,0,0.0166857736987888,3,1793,0.952380952380952,0.952380952380952,0.952380952380952,6.947369625
formal,length_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.00411660935706783,0.799729635371162,5.08083682572266,0,0.000969562218310792,3,1793,1,1,1,6.960717375
formal,length_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00411660935706783,0.799729635371162,5.08083682572266,0,1.69145586676648e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,6.9634325
formal,rlgc_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00417978518472113,0.724466820185996,3.830567743827,0,0.00132185196182947,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,7.3040135
formal,rlgc_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.625,0.5,0.875,0.375,0.125,0.375,0.00417978518472113,0.724466820185996,3.830567743827,0,0.00971988116774787,1,1793,0.930232558139535,0.952380952380952,0.941176470588235,7.308613375
formal,rlgc_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,0.75,0.5,1,0.5,0,0.5,0.00417978518472113,0.724466820185996,3.830567743827,0,0.000425399745352037,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,7.31974275
formal,rlgc_error_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.25,0,0.25,1,0,0,0.00417978518472113,0.724466820185996,3.830567743827,0,0,1,1793,0.85,0.80952380952381,0.829268292682927,7.32181325
formal,rlgc_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,1,1,1,0,0,0,0.00418585045174807,0.808603290836267,4.59936326263423,0,0.00239719993859393,3,1793,1,1,1,7.638506875
formal,rlgc_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,white_awgn,20,1,8,0.875,0.875,0.875,0,0,0,0.00418585045174807,0.808603290836267,4.59936326263423,0,0.015077199152326,3,1793,0.976190476190476,0.976190476190476,0.976190476190476,7.647809125
formal,rlgc_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,cir,white_awgn,20,1,8,1,1,1,0,0,0,0.00418585045174807,0.808603290836267,4.59936326263423,0,0.000968205180207177,3,1793,1,1,1,7.6619915
formal,rlgc_error_20,ofdm_dense_ls,three_view_complete,ordinary_ofdm_cfr,toa,white_awgn,20,1,8,0.5,0.25,0.5,0.75,0,0,0.00418585045174807,0.808603290836267,4.59936326263423,0,1.69145586676648e-08,3,1793,0.904761904761905,0.904761904761905,0.904761904761905,7.66476825
formal,timing_offset_20,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,white_awgn,20,1,8,0.75,0.5,1,0.5,0,0.5,2.13828965066616,0.736619256333068,105.885485111464,-1.5625e-08,0.00248106117766042,1,1793,0.952380952380952,0.952380952380952,0.952380952380952,7.973693375
