mode,snr_db,trial,true_id,feature,predicted_id,group_correct,numeric_tie,distance_gap,group_intra_distance,group_inter_distance,nmse,amplitude_rmse_db,raw_phase_rmse_deg,masked_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction
fixed_noise_power,0,25,T4,complex,T4,1,0,0.00056145228104862929,0.023792749526629551,0.02435420180767818,2.8434885357657418,10.404368783949362,2349.6087140031259,2349.6087140031259,78.988388063558531,1
fixed_noise_power,0,25,T5,complex,T3,1,1,0,0.021313115291798142,0.022485169191198973,1.9328665615552885,7.116254902162388,784.50615262591953,784.50615262591953,61.835868887509463,1
fixed_noise_power,0,25,T6,complex,T6,1,0,0.00070542690610309045,0.025039688639051035,0.025745115545154126,3.9694049340880531,14.921999740678746,748.89366385706091,730.19257496860405,131.3903132119043,0.96709425543781369
fixed_noise_power,0,26,T1,complex,T1,1,0,0.0022089816133189326,0.017850981407958634,0.020059963021277567,0.99796719448508986,5.4078901935863808,1650.7951604138443,1650.2728539038451,53.296951733390991,0.9988845510317903
fixed_noise_power,0,26,T2,complex,T2,1,0,0.0013245476348954684,0.020855303632999197,0.022179851267894665,1.7350212331726618,7.1730534899397078,1200.8143037939658,1200.7828381960603,72.718048771655759,0.99944227551589515
fixed_noise_power,0,26,T3,complex,T3,1,1,0,0.021849967066872138,0.022891482816743039,1.9953590000854409,6.9388940934329675,1171.923689522366,1172.2420577270693,70.463838773410842,0.99944227551589515
fixed_noise_power,0,26,T4,complex,T4,1,0,0.00056512476808594225,0.023439526154596071,0.024004650922682013,2.8909851632422221,10.487949443931312,1986.0152583414831,1986.0152583414831,87.542752961583147,1
fixed_noise_power,0,26,T5,complex,T3,1,1,0,0.020999017385578377,0.022019680691322353,1.9070775910551949,6.8428304059861738,1852.2302880189711,1852.2302880189711,69.09776573907061,1
fixed_noise_power,0,26,T6,complex,T6,1,0,0.00039806341756237415,0.02479813642542553,0.025196199842987904,3.8916002481839667,14.725094462494393,952.54329636257603,936.99274847480888,80.9805633651861,0.96709425543781369
fixed_noise_power,0,27,T1,complex,T1,1,0,0.0025106967744346412,0.018172755631352028,0.02068345240578667,1.01497818189268,5.2657889566451344,688.45926792578598,688.45926792578598,48.525052390024143,1
fixed_noise_power,0,27,T2,complex,T2,1,0,0.0015124560832385815,0.020757562092286949,0.022270018175525531,1.7828682069347028,7.3027452457929183,3277.0929488447064,3274.5769059617783,100.69835822960844,0.99944227551589515
fixed_noise_power,0,27,T3,complex,T3,1,1,0,0.021125227458040664,0.022279778726074281,1.9537712556868483,7.0745522317763792,1855.3413380204363,1855.3413380204363,70.861645307778772,1
fixed_noise_power,0,27,T4,complex,T4,1,0,0.00053091202756697445,0.023838697577923847,0.024369609605490821,2.8636739883802882,10.446833300084297,1483.2739114918329,1483.2739114918329,73.071711410352378,1
fixed_noise_power,0,27,T5,complex,T3,1,1,0,0.021643073913325331,0.022786918921545666,1.9081048595306909,7.1670431709560969,812.11389256354551,811.48965610374137,106.92756020954191,0.99944227551589515
fixed_noise_power,0,27,T6,complex,T6,1,0,0.00049439535295510428,0.024901418125681227,0.025395813478636332,3.8268661124906456,14.874274903554165,2537.4545374913337,2525.6175357192078,121.22175447120402,0.96765197992191854
fixed_noise_power,0,28,T1,complex,T1,1,0,0.0024188405407124039,0.018601874013081589,0.021020714553793993,1.0352246587183793,5.2419442513539662,2154.290289083327,2154.290289083327,49.535861604520328,1
fixed_noise_power,0,28,T2,complex,T2,1,0,0.0012268279046439741,0.021021004078009952,0.022247831982653926,1.8078579815205138,7.3381852467727047,1414.3719282585757,1414.9423014708216,58.358360845199044,0.9988845510317903
fixed_noise_power,0,28,T3,complex,T3,1,1,0,0.021178565951795906,0.022469704168538208,1.9272393107533545,7.0435102533181784,1768.1952450051515,1768.1952450051515,63.392002109396827,1
fixed_noise_power,0,28,T4,complex,T4,1,0,0.00067748421117112129,0.023622866623438109,0.024300350834609231,2.8241925019435041,10.253163898791559,2556.2196187292197,2556.652857995784,66.888791127128613,0.99944227551589515
fixed_noise_power,0,28,T5,complex,T5,1,1,3.4694469519536142e-18,0.021149295426272571,0.022165945854066706,1.9411957651416269,7.0793395976453173,1791.5192907748199,1791.5192907748199,61.384124009163827,1
fixed_noise_power,0,28,T6,complex,T6,1,0,0.00039212118121061817,0.024647362371192534,0.025039483552403152,3.8780552179470771,14.787635550432837,5568.7285311481319,5626.5318677691575,135.32708265777572,0.96765197992191854
fixed_noise_power,0,29,T1,complex,T1,1,0,0.0023607329429154722,0.018301852095895858,0.02066258503881133,1.049944401155819,5.3220023212655478,578.35754220009608,578.35754220009608,50.354194102572606,1
fixed_noise_power,0,29,T2,complex,T2,1,0,0.0011272152667011308,0.02076846033785314,0.021895675604554271,1.6691524333492378,7.0079707177511059,1835.5479065749737,1835.5479065749737,132.8032416264615,1
fixed_noise_power,0,29,T3,complex,T3,1,1,0,0.021579911772483296,0.022762640006166256,1.9770885457562515,7.066035207723699,4727.5741864145621,4727.5741864145621,61.150894733815129,1
fixed_noise_power,0,29,T4,complex,T4,1,0,0.00061984542646549567,0.023097381712522104,0.0237172271389876,2.8742061434169335,10.445748325369022,593.98350872138985,594.08482813244598,71.309333796264482,0.99944227551589515
fixed_noise_power,0,29,T5,complex,T5,1,1,6.9388939039072284e-18,0.021385901051470934,0.022358373125857242,1.9743778383686061,7.0219844250713006,932.04591302653466,932.04591302653466,79.110024475625309,1
fixed_noise_power,0,29,T6,complex,T6,1,0,0.00043811457241248533,0.024261944616222907,0.024700059188635392,3.8295264073545421,14.740332734457795,2312.1557520130755,2339.1392142684999,69.616912315034682,0.96709425543781369
fixed_noise_power,0,30,T1,complex,T1,1,0,0.0024776307965317552,0.017794396594172184,0.020272027390703939,1.0028139133319471,5.3553258587944441,760.63707076301421,760.63707076301421,51.187735902353786,1
fixed_noise_power,0,30,T2,complex,T2,1,0,0.0014822799234744874,0.020934112860246035,0.022416392783720523,1.7429442464290716,7.1497419791595362,680.50484268395064,680.50484268395064,61.557858570305072,1
fixed_noise_power,0,30,T3,complex,T3,1,1,0,0.021583402129543263,0.022486557964248633,2.06105650111266,7.1671791328955514,1503.9418017486587,1503.9418017486587,60.651199325300006,1
fixed_noise_power,0,30,T4,complex,T4,1,0,0.00051196946818278868,0.023525068457036575,0.024037037925219364,2.8257961182967106,10.469202846261949,2158.9165536099599,2159.468946985909,66.189757241284468,0.99944227551589515
fixed_noise_power,0,30,T5,complex,T3,1,1,0,0.021580517041930248,0.022719967018030019,1.8426517500279533,6.9168608012533541,1325.7159799876181,1325.7159799876181,69.784515205675604,1
fixed_noise_power,0,30,T6,complex,T6,1,0,0.00046744191877132191,0.024301489151632126,0.024768931070403448,3.8997881985346368,14.911821404818387,4641.8155884634443,4670.0338526059068,127.10591397699407,0.96709425543781369
fixed_noise_power,0,31,T1,complex,T1,1,0,0.0024763648075926577,0.018013687141588745,0.020490051949181402,0.99918525536498526,5.3339448651888386,868.73253234865945,868.73253234865945,47.477435759643292,1
