mode,scenario,measurement_kind,method,feature,snr_db,true_id,predicted_id,count
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T4,T3,2
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T3,10
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T5,T3,13
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,16
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T4,3
parameter_aware,length_error_2,siso_forward,topology_only,amplitude,20,T5,T5,7
parameter_aware,length_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,7
parameter_aware,length_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T3,4
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T3,10
parameter_aware,length_error_2,dual_receiver_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,length_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,10
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,10
parameter_aware,length_error_2,dual_receiver_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,length_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T2,10
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,14
parameter_aware,length_error_2,dual_receiver_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,length_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,length_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T2,6
parameter_aware,length_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,length_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,length_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,length_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,length_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T3,8
parameter_aware,length_error_2,three_view_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,length_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,12
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,14
parameter_aware,length_error_2,three_view_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,length_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T2,6
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,three_view_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,length_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,17
parameter_aware,length_error_2,three_view_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,length_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,length_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T2,3
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,19
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T2,T2,20
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T2,T5,1
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,10
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T3,T3,14
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T5,13
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T5,8
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T3,T5,6
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,7
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T4,2
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,19
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T4,T4,20
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T4,T5,1
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T3,10
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T5,T3,14
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T3,9
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,8
parameter_aware,rlgc_error_2,siso_forward,topology_only,amplitude,20,T5,T5,6
parameter_aware,rlgc_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,11
parameter_aware,rlgc_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T5,T4,2
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T3,10
parameter_aware,rlgc_error_2,dual_receiver_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,10
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,12
parameter_aware,rlgc_error_2,dual_receiver_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T2,8
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,16
parameter_aware,rlgc_error_2,dual_receiver_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,rlgc_error_2,dual_receiver_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T2,4
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T3,7
parameter_aware,rlgc_error_2,three_view_complete,topology_only,amplitude,20,T2,T2,20
parameter_aware,rlgc_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,13
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,16
parameter_aware,rlgc_error_2,three_view_complete,topology_only,amplitude,20,T3,T3,20
parameter_aware,rlgc_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T3,T3,20
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T3,T2,4
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,three_view_complete,topology_only,amplitude,20,T4,T4,20
parameter_aware,rlgc_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T4,T4,20
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T5,18
parameter_aware,rlgc_error_2,three_view_complete,topology_only,amplitude,20,T5,T5,20
parameter_aware,rlgc_error_2,three_view_complete,nuisance_aware_joint,amp_phase_joint_weighted,20,T5,T5,20
parameter_aware,rlgc_error_2,three_view_complete,nominal_nearest,amp_phase_joint_weighted,20,T5,T2,2
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T2,T2,20
parameter_aware,terminal_error_2,siso_forward,nuisance_aware_joint,amp_phase_joint_weighted,20,T2,T2,20
parameter_aware,terminal_error_2,siso_forward,nominal_nearest,amp_phase_joint_weighted,20,T3,T3,6
parameter_aware,terminal_error_2,siso_forward,topology_only,amplitude,20,T3,T3,13
