mode,scenario,measurement_kind,observation_mode,method,feature,snr_db,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,theta_estimation_rmse,theta_boundary_rate,edge_precision,edge_recall,edge_f1,mean_margin,grid_size,view_count,frequency_count,runtime_s
parameter_aware,length_error_2,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,0.75,0.435744670330595,0.0954867609618597,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412707829562035,8.75993768348789e-05,1.91960598161621e-05,0.00577350269189626,1,0.95,0.95,0.95,0.0222403465931106,27,1,1793,25.3636650875
parameter_aware,length_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.675,0.471329925566134,0.103284723832788,0.675,0.471329925566134,0.103284723832788,0.675,0,0,0,0.00412005988466074,6.37581898260468e-05,1.39716293641909e-05,0.00816496580927727,0,0.935,0.935,0.935,0.0147135936411913,27,2,1793,27.4200177
parameter_aware,length_error_2,dual_receiver_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00412005988466074,6.37581898260468e-05,1.39716293641909e-05,0.00816496580927727,0,1,1,1,0.00237351591506094,27,2,1793,27.4205580375
parameter_aware,length_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412005988466074,6.37581898260468e-05,1.39716293641909e-05,0.00577350269189626,1,1,1,1,0.041630665070412,27,2,1793,27.42102815
parameter_aware,length_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00411834357649254,6.14897693630505e-05,1.34745398132233e-05,0.00816496580927727,0,1,1,1,0.0218282376143708,27,2,1793,29.9143432
parameter_aware,length_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00411834357649254,6.14897693630505e-05,1.34745398132233e-05,0.00816496580927727,0,1,1,1,0.0031038274441022,27,2,1793,29.914887475
parameter_aware,length_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00411834357649254,6.14897693630505e-05,1.34745398132233e-05,0.00577350269189626,1,1,1,1,0.0368390107221699,27,2,1793,29.9153598625
parameter_aware,length_error_2,three_view_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.7875,0.411657655481415,0.0902084611092341,0.7875,0.411657655481415,0.0902084611092341,0.7875,0,0,0,0.00411883168246608,5.66190978712045e-05,1.24072068631432e-05,0.00816496580927727,0,0.9575,0.9575,0.9575,0.0167105331662972,27,3,1793,33.0604385125
parameter_aware,length_error_2,three_view_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00411883168246608,5.66190978712045e-05,1.24072068631432e-05,0.00816496580927727,0,1,1,1,0.00240093755831154,27,3,1793,33.0609582375
parameter_aware,length_error_2,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00411883168246608,5.66190978712045e-05,1.24072068631432e-05,0.00582633390824756,0.9875,1,1,1,0.0443448331826167,27,3,1793,33.0614207875
parameter_aware,rlgc_error_2,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.7,0.461148813126632,0.101053689201661,0.475,0.502525268588178,0.110120704775502,0.925,0.475,0.05,0.5,0.00412038358869021,9.10265954472279e-05,1.99470822076767e-05,0.0115470053837925,0,0.944166666666667,0.950416666666667,0.946818181818182,0.0091624325310337,27,1,1793,35.6876419875
parameter_aware,rlgc_error_2,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,80,0.75,0.435744670330595,0.0954867609618597,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412038358869021,9.10265954472279e-05,1.99470822076767e-05,0.0115470053837925,0,0.95,0.95,0.95,0.00132899546847728,27,1,1793,35.6881802875
parameter_aware,rlgc_error_2,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,0.725,0.44933143021295,0.0984640909935692,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412038358869021,9.10265954472279e-05,1.99470822076767e-05,0.0129099444873581,1,0.945,0.945,0.945,0.022109563025066,27,1,1793,35.6886647625
parameter_aware,rlgc_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.725,0.44933143021295,0.0984640909935692,0.725,0.44933143021295,0.0984640909935692,0.725,0,0,0,0.00412886599208094,5.85794207599032e-05,1.28367815563672e-05,0.0115470053837925,0,0.945,0.945,0.945,0.0141369099381657,27,2,1793,37.722495925
parameter_aware,rlgc_error_2,dual_receiver_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00412886599208094,5.85794207599032e-05,1.28367815563672e-05,0.0115470053837925,0,1,1,1,0.0023743195531741,27,2,1793,37.72303095
parameter_aware,rlgc_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412886599208094,5.85794207599032e-05,1.28367815563672e-05,0.0128371958751741,0.975,1,1,1,0.0392115448272526,27,2,1793,37.7234941125
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412949781996764,6.88109171712646e-05,1.50788570621274e-05,0.0115470053837925,0,1,1,1,0.0215104523610672,27,2,1793,40.2451791625
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00412949781996764,6.88109171712646e-05,1.50788570621274e-05,0.0115470053837925,0,1,1,1,0.00310709216787471,27,2,1793,40.24571705
parameter_aware,rlgc_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00412949781996764,6.88109171712646e-05,1.50788570621274e-05,0.0129099444873581,1,1,1,1,0.0367130751873533,27,2,1793,40.246197225
parameter_aware,rlgc_error_2,three_view_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.8375,0.371236387893486,0.0813507603070287,0.8375,0.371236387893486,0.0813507603070287,0.8375,0,0,0,0.0041195893231822,4.89543497905743e-05,1.07275948847506e-05,0.0115470053837925,0,0.9675,0.9675,0.9675,0.0174511352205009,27,3,1793,43.6955614
parameter_aware,rlgc_error_2,three_view_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.0041195893231822,4.89543497905743e-05,1.07275948847506e-05,0.0115470053837925,0,1,1,1,0.00239970653276283,27,3,1793,43.696142275
parameter_aware,rlgc_error_2,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.0041195893231822,4.89543497905743e-05,1.07275948847506e-05,0.0128735701812661,0.9875,1,1,1,0.0439792731366184,27,3,1793,43.6966527375
parameter_aware,terminal_error_2,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,0.65,0.479978902489936,0.105180014465857,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412098281667012,8.26236059753567e-05,1.81056959516914e-05,0.00816700797986661,0,0.93,0.93,0.93,0.0386460746409136,27,1,1793,46.7500546625
parameter_aware,terminal_error_2,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,80,0.725,0.44933143021295,0.0984640909935692,0.5,0.503154605426628,0.11025861429075,1,0.5,0,0.5,0.00412098281667012,8.26236059753567e-05,1.81056959516914e-05,0.00816700797986661,0,0.945,0.945,0.945,0.00248460275726646,27,1,1793,46.7506023875
parameter_aware,terminal_error_2,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,0.675,0.471329925566134,0.103284723832788,0.2,0.402523684341302,0.0882068914326003,1,0.8,0,0.5,0.00412098281667012,8.26236059753567e-05,1.81056959516914e-05,0.0125337381560638,0.2,0.935,0.935,0.935,0.000368540003034937,27,1,1793,46.7510874375
parameter_aware,terminal_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00413583071272385,6.40101243164035e-05,1.40268369435297e-05,0.00816700797986661,0,1,1,1,0.0503703560124413,27,2,1793,49.0933651375
parameter_aware,terminal_error_2,dual_receiver_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00413583071272385,6.40101243164035e-05,1.40268369435297e-05,0.00816700797986661,0,1,1,1,0.00456231856704916,27,2,1793,49.0939416625
parameter_aware,terminal_error_2,dual_receiver_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.45,0.500632511321833,0.109705936052081,1,0.55,0,0,0.00413583071272385,6.40101243164035e-05,1.40268369435297e-05,0.0179906644997643,0.45,1,1,1,0.000674478787964581,27,2,1793,49.094457975
parameter_aware,terminal_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.00413615055750063,7.58619186770417e-05,1.66239758924118e-05,0.00816700797986661,0,1,1,1,0.0652836934786258,27,2,1793,51.796715625
parameter_aware,terminal_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.00413615055750063,7.58619186770417e-05,1.66239758924118e-05,0.00816700797986661,0,1,1,1,0.00533968905888547,27,2,1793,51.79724705
parameter_aware,terminal_error_2,dual_receiver_highz_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.0875,0.28434913465623,0.062310751454588,1,0.9125,0,0,0.00413615055750063,7.58619186770417e-05,1.66239758924118e-05,0.0100767092436799,0.0875,1,1,1,6.17779020762672e-05,27,2,1793,51.7977137875
parameter_aware,terminal_error_2,three_view_complete,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,80,1,0,0,1,0,0,1,0,0,0,0.0041105345328829,5.96195369448387e-05,1.30647070647805e-05,0.00816700797986661,0,1,1,1,0.0770679743826102,27,3,1793,55.326587575
parameter_aware,terminal_error_2,three_view_complete,ordinary_ofdm_cfr,topology_only,amplitude,20,80,1,0,0,1,0,0,1,0,0,0,0.0041105345328829,5.96195369448387e-05,1.30647070647805e-05,0.00816700797986661,0,1,1,1,0.00452830325941201,27,3,1793,55.3271780375
parameter_aware,terminal_error_2,three_view_complete,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,80,1,0,0,0.425,0.497461912542437,0.109011147960871,1,0.575,0,0,0.0041105345328829,5.96195369448387e-05,1.30647070647805e-05,0.0174463096042857,0.425,1,1,1,0.000466999109622757,27,3,1793,55.3277012375
