mode,snr_db,feature,n,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,group_accuracy_mean,group_accuracy_std,group_accuracy_ci_low,group_accuracy_ci_high,numeric_tie_rate_mean,numeric_tie_rate_std,numeric_tie_rate_ci_low,numeric_tie_rate_ci_high,distance_gap_mean,distance_gap_std,group_intra_mean,group_inter_mean,intra_inter_ratio,d_intra_ge_inter_rate,nmse_mean,nmse_std,nmse_ci_low,nmse_ci_high,amplitude_rmse_db_mean,amplitude_rmse_db_std,raw_phase_rmse_deg_mean,raw_phase_rmse_deg_std,masked_phase_rmse_deg_mean,masked_phase_rmse_deg_std,weighted_phase_rmse_deg_mean,weighted_phase_rmse_deg_std,valid_phase_fraction_mean,valid_phase_fraction_std
fixed_received_snr,10,amplitude_raw_db,50,0.65333333333333332,0.10562415720389921,0.62405581066946481,0.68261085599720184,0.83333333333333348,1.1214946133455537e-16,0.83333333333333348,0.83333333333333348,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,1.2946955223131511,0.032097628195800774,3.5541371611615067,4.6060793759440619,0.77161873929561864,0,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,amplitude_db_standardized,50,0.68000000000000005,0.10011331448394591,0.65225000500500552,0.70774999499499458,0.83333333333333348,1.1214946133455537e-16,0.83333333333333348,0.83333333333333348,0.33666666666666667,0.023570226039551587,0.33013333333333333,0.34320000000000001,0.11941184927173659,0.0037930113404510846,0.65410076796485939,0.79529048413512615,0.8224677410495993,0,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,phase,50,0.31000000000000005,0.12145191185577951,0.27633524757917338,0.34366475242082672,0.35999999999999999,0.13619380615309609,0.32224900295650749,0.39775099704349248,0.12333333333333332,0.12051476890327394,0.089928343686076537,0.15673832298059009,0.055222295940239224,0.013519119740130399,2.6106858351431903,2.5342848186913289,1.0301469731769588,0.92000000000000004,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,phase_masked,50,0.31333333333333335,0.11971242942834796,0.28015074084202179,0.34651592582464491,0.36666666666666664,0.15058465048420855,0.32492673108667058,0.4084066022466627,0.11333333333333333,0.11876156107942785,0.080414308101376314,0.14625235856529034,0.052520017009361,0.014848101768322962,2.6123679439537382,2.5371079616294048,1.0296636893118254,0.92000000000000004,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,phase_weighted,50,0.77000000000000002,0.16798795983202511,0.72343611318247203,0.81656388681752801,0.95000000000000018,0.090663965545998898,0.92486923090003914,0.97513076909996121,0.33000000000000002,0.041101610718171595,0.31860721475864856,0.34139278524135147,0.052474075312033144,0.012076136070517319,0.11917691650838586,0.19257920116035712,0.61884625021966655,0.02,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,complex,50,0.85999999999999999,0.097357372858385111,0.83301391304970485,0.88698608695029513,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0028373204358749867,2.9832813894847068e-05,0.0072076989123288958,0.011376860684434118,0.63354022803412791,0,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,cir,50,0.83999999999999997,0.11644780248226176,0.80772231593052424,0.8722776840694757,1,0,1,1,0.33333333333333326,5.6074730667277685e-17,0.33333333333333326,0.33333333333333326,0.0018772346286501929,1.9738056585143228e-05,0.004768774728447449,0.0075271853584498215,0.63354022803412791,0,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,10,amp_phase_joint,50,0.31000000000000005,0.12145191185577951,0.27633524757917338,0.34366475242082672,0.35999999999999999,0.13619380615309609,0.32224900295650749,0.39775099704349248,0.12333333333333332,0.12051476890327394,0.089928343686076537,0.15673832298059009,0.039058027405324144,0.0095594831172140446,1.8460576305197138,1.792063934662034,1.0301293356857062,0.92000000000000004,0.1000328685563443,0.00095324457226976913,0.099768642641481262,0.10029709447120734,3.5541371611615067,0.032248726966798702,469.92345032577424,138.14775368288613,470.22622991167287,139.22640022759904,21.451844971509459,3.3849548620183243,0.99403420710169188,0.0002387959728422466
fixed_received_snr,0,amplitude,50,0.40000000000000002,0.13041013273932525,0.36385215543539745,0.43614784456460259,0.56999999999999995,0.08309489698388163,0.54696726966539422,0.59303273033460568,0.66333333333333333,0.023570226039551573,0.65680000000000005,0.66986666666666661,0.00040247489482921962,3.3127882081318696e-05,0.011158200809664433,0.01110072308761211,1.0051778358579599,0.88,1.0007872234987851,0.010614009737221264,0.99784517010056362,1.0037292768970068,7.0741127837133471,0.04404770408790655,1497.9886638391615,394.26786071893144,1499.8998356442057,395.29852805778631,62.435449350558663,7.3624595095783407,0.99426287414017478,0.00016049658651091117
fixed_received_snr,0,amplitude_raw_db,50,0.19666666666666666,0.064681322415267251,0.17873791880185469,0.21459541453147862,0.22333333333333327,0.098802352005935387,0.19594671859790702,0.25071994806875952,0.3899999999999999,0.098802352005935387,0.36261338526457365,0.41738661473542615,0.58492605105639262,0.031713800988057365,7.0741127837133471,5.9997162629324921,1.1790745551449995,1,1.0007872234987851,0.010614009737221264,0.99784517010056362,1.0037292768970068,7.0741127837133471,0.04404770408790655,1497.9886638391615,394.26786071893144,1499.8998356442057,395.29852805778631,62.435449350558663,7.3624595095783407,0.99426287414017478,0.00016049658651091117
