measurement_kind,condition,snr_db,method,true_id,predicted_id,count
bidirectional_endpoint_fixed,load,20,nominal_nearest,T3,T2,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T3,T3,84
bidirectional_endpoint_fixed,load,20,nominal_nearest,T3,T4,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T3,T5,16
bidirectional_endpoint_fixed,load,20,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T4,T3,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T4,T4,100
bidirectional_endpoint_fixed,load,20,nominal_nearest,T4,T5,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T5,T2,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T5,T3,19
bidirectional_endpoint_fixed,load,20,nominal_nearest,T5,T4,0
bidirectional_endpoint_fixed,load,20,nominal_nearest,T5,T5,81
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T2,T2,100
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T2,T3,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T2,T4,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T2,T5,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T3,T2,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T3,T3,84
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T3,T4,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T3,T5,16
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T4,T2,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T4,T3,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T4,T4,100
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T4,T5,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T5,T2,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T5,T3,19
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T5,T4,0
bidirectional_endpoint_fixed,load,20,nuisance_aware_joint,T5,T5,81
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T2,T2,100
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T2,T3,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T2,T4,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T2,T5,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T3,T2,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T3,T3,81
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T3,T4,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T3,T5,19
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T4,T3,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T4,T4,100
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T4,T5,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T5,T2,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T5,T3,19
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T5,T4,0
bidirectional_endpoint_fixed,endpoint,20,nominal_nearest,T5,T5,81
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T2,T2,100
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T2,T3,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T2,T4,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T2,T5,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T3,T2,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T3,T3,81
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T3,T4,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T3,T5,19
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T4,T2,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T4,T3,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T4,T4,100
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T4,T5,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T5,T2,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T5,T3,19
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T5,T4,0
bidirectional_endpoint_fixed,endpoint,20,nuisance_aware_joint,T5,T5,81
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T2,T2,57
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T2,T3,14
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T2,T4,16
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T2,T5,13
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T3,T2,16
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T3,T3,50
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T3,T4,13
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T3,T5,21
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T4,T2,0
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T4,T3,11
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T4,T4,76
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T4,T5,13
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T5,T2,14
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T5,T3,48
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T5,T4,18
bidirectional_endpoint_fixed,joint,20,nominal_nearest,T5,T5,20
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T2,T2,79
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T2,T3,0
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T2,T4,0
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T2,T5,21
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T3,T2,8
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T3,T3,46
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T3,T4,10
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T3,T5,36
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T4,T2,0
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T4,T3,0
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T4,T4,91
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T4,T5,9
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T5,T2,2
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T5,T3,41
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T5,T4,19
bidirectional_endpoint_fixed,joint,20,nuisance_aware_joint,T5,T5,38
dual_receiver_complete,noise_only,30,nominal_nearest,T2,T2,100
dual_receiver_complete,noise_only,30,nominal_nearest,T2,T3,0
dual_receiver_complete,noise_only,30,nominal_nearest,T2,T4,0
dual_receiver_complete,noise_only,30,nominal_nearest,T2,T5,0
dual_receiver_complete,noise_only,30,nominal_nearest,T3,T2,0
dual_receiver_complete,noise_only,30,nominal_nearest,T3,T3,100
dual_receiver_complete,noise_only,30,nominal_nearest,T3,T4,0
dual_receiver_complete,noise_only,30,nominal_nearest,T3,T5,0
dual_receiver_complete,noise_only,30,nominal_nearest,T4,T2,0
dual_receiver_complete,noise_only,30,nominal_nearest,T4,T3,0
dual_receiver_complete,noise_only,30,nominal_nearest,T4,T4,100
