frequency_hz,branch_kG1_HV_mag_dB,branch_kG1_HV_phase_deg,branch_kG1_Hport_mag_dB,branch_kG1_Hport_phase_deg,baseline_kG1_HV_mag_dB,baseline_kG1_HV_phase_deg,baseline_kG1_Hport_mag_dB,baseline_kG1_Hport_phase_deg,branch_kG5_HV_mag_dB,branch_kG5_HV_phase_deg,branch_kG5_Hport_mag_dB,branch_kG5_Hport_phase_deg,baseline_kG5_HV_mag_dB,baseline_kG5_HV_phase_deg,baseline_kG5_Hport_mag_dB,baseline_kG5_Hport_phase_deg
4981924.7679531015,-14.316817732960196,-269.53466202791583,-8.2962178196805709,-269.53466202791583,-14.753572643199329,-278.46017383264797,-8.7329727299197035,-278.46017383264797,-15.700648557639106,-273.07016718775446,-9.6800486443594806,-273.07016718775446,-15.729679427588659,-283.52765332575535,-9.7090795143090354,-283.52765332575535
4995603.321934538,-14.301627098231773,-270.08051583263767,-8.2810271849521495,-270.08051583263767,-14.720898386493079,-278.82896522716476,-8.7002984732134561,-278.82896522716476,-15.689881052964337,-273.76169296795712,-9.6692811396847134,-273.76169296795712,-15.707844230272803,-284.02727074842596,-9.6872443169931781,-284.02727074842596
5009281.8759159744,-14.284755708877858,-270.62599305329729,-8.264155795598235,-270.62599305329729,-14.686795464891301,-279.20086891008111,-8.6661955516116755,-279.20086891008111,-15.677980927637332,-274.4537422997933,-9.657381014357707,-274.4537422997933,-15.68495393171068,-284.53064038285947,-9.6643540184310588,-284.53064038285947
5022960.4298974108,-14.266198560862943,-271.17134499368547,-8.2455986475833214,-271.17134499368547,-14.651258903668655,-279.57603229710708,-8.6306589903890298,-279.57603229710708,-15.664948298392225,-275.14653976761872,-9.6443483851126004,-275.14653976761872,-15.66101316037442,-285.03790427605742,-9.640413247094795,-285.03790427605742
5036638.9838788472,-14.245950667860537,-271.71682343965063,-8.2253507545809139,-271.71682343965063,-14.614283565402939,-279.95460658950549,-8.5936836521233158,-279.95460658950549,-15.650783816401898,-275.84031012064759,-9.6301839031222727,-275.84031012064759,-15.636026778949898,-285.5492065798968,-9.6154268656702726,-285.5492065798968
5050317.5378602836,-14.224007055009411,-272.26268098249119,-8.2034071417297856,-272.26268098249119,-14.575864159313856,-280.33674698144773,-8.5552642460342323,-280.33674698144773,-15.635488670397638,-276.53527838467738,-9.6148887571180133,-276.53527838467738,-15.609999904033852,-286.06469362547205,-9.5893999907542309,-286.06469362547205
5063996.09184172,-14.200362754705411,-272.80917134655749,-8.1797628414257879,-272.80917134655749,-14.535995251544492,-280.72261287516068,-8.5153953382648666,-280.72261287516068,-15.619064591703246,-277.23166997282618,-9.5984646784236247,-277.23166997282618,-15.5829379268915,-286.58451399563387,-9.5623380136118747,-286.58451399563387
5077674.6458231565,-14.175012804447555,-273.35654972150263,-8.154412891167933,-273.35654972150263,-14.494671276478474,-281.11236810426755,-8.4740713631988509,-281.11236810426755,-15.601513861190972,-277.92971079482561,-9.5809139479113465,-277.92971079482561,-15.554846535322625,-287.10881859545344,-9.5342466220429998,-287.10881859545344
5091353.1998045919,-14.147952246770785,-273.90507309963704,-8.1273523334911619,-273.90507309963704,-14.451886549194818,-281.50618116572963,-8.4312866359151926,-281.50618116572963,-15.582839318169333,-278.62962736440619,-9.5622394048897075,-278.62962736440619,-15.525731736685287,-287.63776072031987,-9.5051318234056641,-287.63776072031987
5105031.7537860284,-14.119176131311697,-274.45500061885701,-8.0985762180320719,-274.45500061885701,-14.407635279171391,-281.90422546080174,-8.3870353658917693,-281.90422546080174,-15.563044371215977,-279.33164690428958,-9.5424444579363534,-279.33164690428958,-15.495599882127646,-288.17149612133642,-9.4749999688480209,-288.17149612133642
5118710.3077674648,-14.088679519067753,-275.00659391163032,-8.0680796057881281,-275.00659391163032,-14.361911585358184,-282.30667954542116,-8.3413116720785609,-282.30667954542116,-15.54213301097111,-280.03599744828534,-9.5215330976914885,-280.03599744828534,-15.464457692079572,-288.7101830676479,-9.4438577787999485,-288.7101830676479
5132388.8617489003,-14.056457488925819,-275.5601174605294,-8.0358575756461956,-275.5601174605294,-14.314709512752426,-282.71372739044995,-8.2941095994728009,-282.71372739044995,-15.520109824909319,-280.74290793996164,-9.4995099116296942,-280.74290793996164,-15.432312283056376,-289.2539824052908,-9.4117123697767529,-289.2539824052908
5146067.4157303367,-14.022505146551163,-276.11583896080987,-8.0019052332715379,-276.11583896080987,-14.266023050619411,-283.12555865219292,-8.2454231373397882,-283.12555865219292,-15.496980014109901,-281.45260832733362,-9.4763801008302764,-281.45260832733362,-15.399171195827774,-289.80305761211577,-9.3785712825481511,-289.80305761211577
5159745.9697117731,-13.98681763574514,-276.67402969052995,-7.9662177224655188,-276.67402969052995,-14.215846152516287,-283.54236895360913,-8.1952462392366634,-283.54236895360913,-15.472749412047641,-282.16532965297347,-9.4521494987680175,-282.16532965297347,-15.365042425005733,-290.35757484828372,-9.3444425117261076,-290.35757484828372
5173424.5236932095,-13.949390152396603,-277.23496488870876,-7.928790239116978,-277.23496488870876,-14.164172758289435,-283.96436017663189,-8.1435728450098122,-283.96436017663189,-15.447424505427039,-282.88130413891616,-9.4268245921474136,-282.88130413891616,-15.329934450104403,-290.91770300179132,-9.30933453682478,-290.91770300179132
5187103.0776746459,-13.910217961170865,-277.79892414200964,-7.8896180478912425,-277.79892414200964,-14.110996818232099,-284.39174076600034,-8.090396904952474,-284.39174076600034,-15.421012457084537,-283.60076526568332,-9.4004125438049115,-283.60076526568332,-15.293856268125584,-291.48361372842425,-9.2732563548459588,-291.48361372842425
5200781.6316560823,-13.869296415099601,-278.3661917804215,-7.8486965018199779,-278.3661917804215,-14.056312319605116,-284.82472604499065,-8.0357124063254926,-284.82472604499065,-15.393521130983389,-284.32394784470887,-9.372921217703766,-284.32394784470887,-15.256817427721895,-292.05548148548485,-9.23621751444227,-292.05548148548485
5214460.1856375188,-13.826620978255452,-278.93705728239672,-7.8060210649758277,-278.93705728239672,-14.000113315741791,-285.2635385434175,-7.9795134024621683,-285.2635385434175,-15.364959119326066,-285.05108808339173,-9.3443592060464429,-285.05108808339173,-15.218828064988855,-292.63348355857676,-9.1982281517092339,-292.63348355857676
5228138.7396189552,-13.782187251717612,-279.51181568987033,-7.7615873384379892,-279.51181568987033,-13.942393957977416,-285.70840833824758,-7.9217940446977897,-285.70840833824758,-15.335335771808102,-285.78242364194818,-9.3147358585284792,-285.78242364194818,-15.1798989409348,-293.2178000806685,-9.1592990276551749,-293.2178000806685
5241817.2936003907,-13.735991003057929,-280.09076803355538,-7.7153910897783051,-280.09076803355538,-13.883148530665343,-286.15957340713032,-7.8625486173857198,-286.15957340713032,-15.304661227036377,-286.51819368117583,-9.2840613137567534,-286.51819368117583,-15.140041480675405,-293.80861404258684,-9.119441567395782,-293.80861404258684
