mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,cfr_nmse,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,17,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00557520275102918,0.00870473339172623,0.00312953064069706,0.129630576358154,3.25192194447198,18.8927824090286,0,1,1793,1,1,1,21270838,0.794411
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,17,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0743224864046639,0.116610329927542,0.0422878435228782,0.129630576358154,3.25192194447198,18.8927824090286,0,1,1793,1,1,1,21270838,0.799475
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,17,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.005376272538213,0.00833557123003335,0.00295929869182036,0.129630576358154,3.25192194447198,18.8927824090286,0,1,1793,1,1,1,21270838,0.805449
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,17,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.129630576358154,3.25192194447198,18.8927824090286,0,1,1793,1,1,1,21270838,0.806888
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,18,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00565521855333141,0.00860155179256406,0.00294633323923265,0.133107780294207,3.21615927487923,21.4933259503369,0,1,1793,1,1,1,21270839,0.814319
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,18,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0845283995035493,0.124776287969449,0.0402478884659001,0.133107780294207,3.21615927487923,21.4933259503369,0,1,1793,1,1,1,21270839,0.81875
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,18,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00545661363056836,0.00828276649218961,0.00282615286162126,0.133107780294207,3.21615927487923,21.4933259503369,0,1,1793,1,1,1,21270839,0.825095
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,18,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.133107780294207,3.21615927487923,21.4933259503369,0,1,1793,1,1,1,21270839,0.826571
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,19,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00549612441284986,0.00868668958389975,0.0031905651710499,0.128013607499362,3.36675991985928,21.771243301836,0,1,1793,1,1,1,21270840,0.834195
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,19,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0856137747562347,0.125859033065881,0.0402452583096466,0.128013607499362,3.36675991985928,21.771243301836,0,1,1793,1,1,1,21270840,0.838856
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,19,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00531522071388385,0.00829749218494631,0.00298227147106246,0.128013607499362,3.36675991985928,21.771243301836,0,1,1793,1,1,1,21270840,0.844767
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,19,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.128013607499362,3.36675991985928,21.771243301836,0,1,1793,1,1,1,21270840,0.846164
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,20,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00559591717972215,0.00857747505867698,0.00298155787895483,0.127322473366575,3.32130609539214,19.4061472153194,0,1,1793,1,1,1,21270841,0.85369
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,20,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0763371676124296,0.115619421013504,0.0392822534010742,0.127322473366575,3.32130609539214,19.4061472153194,0,1,1793,1,1,1,21270841,0.858177
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,20,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00532661233383907,0.00814930106350012,0.00282268872966105,0.127322473366575,3.32130609539214,19.4061472153194,0,1,1793,1,1,1,21270841,0.864594
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,20,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.127322473366575,3.32130609539214,19.4061472153194,0,1,1793,1,1,1,21270841,0.865988
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,21,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00550155617919553,0.00877302127033396,0.00327146509113843,0.12998629070463,3.17790014644191,18.8058374283947,0,1,1793,1,1,1,21270842,0.873436
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,21,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0739786605955907,0.118592040817678,0.0446133802220876,0.12998629070463,3.17790014644191,18.8058374283947,0,1,1793,1,1,1,21270842,0.877698
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,21,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00538505667929018,0.00832865283834236,0.00294359615905218,0.12998629070463,3.17790014644191,18.8058374283947,0,1,1793,1,1,1,21270842,0.883559
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,21,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.12998629070463,3.17790014644191,18.8058374283947,0,1,1793,1,1,1,21270842,0.884914
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,22,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00532387337274786,0.00868994248548506,0.0033660691127372,0.127260404835492,3.30872432363906,22.6123396269305,0,1,1793,1,1,1,21270843,0.892318
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,22,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0889093932028745,0.12415351582572,0.0352441226228459,0.127260404835492,3.30872432363906,22.6123396269305,0,1,1793,1,1,1,21270843,0.896872
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,22,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00527874196718467,0.00834575303281667,0.003067011065632,0.127260404835492,3.30872432363906,22.6123396269305,0,1,1793,1,1,1,21270843,0.902913
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,22,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0,0,0,0.127260404835492,3.30872432363906,22.6123396269305,0,1,1793,1,1,1,21270843,0.904362
audit,5,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,23,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00565514329670247,0.00857610730837645,0.00292096401167398,0.131675687086333,3.50970645564098,18.9449036069048,0,1,1793,1,1,1,21270844,0.912094
