measurement_kind,condition,snr_db,trial,true_id,predicted_id,method,feature,true_class,predicted_class,strict_correct,class_correct,unique_strict_correct,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,class_intra_distance,nearest_class_inter_distance,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,view_count,runtime_s
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,amplitude,{T3},{T3},1,1,1,0,0,0.000539680712528528,0.000947783167436037,0.000408102454907509,0.000539680712528528,0.000947783167436037,0.569413691940197,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.005574
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,amplitude_raw_db,{T3},{T3},1,1,1,0,0,0.276478629061946,0.437856559495348,0.161377930433402,0.276478629061946,0.437856559495348,0.631436535701559,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.005362
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,amplitude_db_standardized,{T3},{T3},1,1,1,0,0,0.0766552800280636,0.118760232028938,0.0421049520008743,0.0766552800280636,0.118760232028938,0.645462531677989,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.00537
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,phase_weighted,{T3},{T3},1,1,1,0,0,0.010078163932896,0.016125643396659,0.006047479463763,0.010078163932896,0.016125643396659,0.624977477486825,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.005353
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,complex,{T3},{T3},1,1,1,0,0,0.000764910151895379,0.0013195839580034,0.000554673806108018,0.000764910151895379,0.0013195839580034,0.579660086996457,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.005331
bidirectional_endpoint_fixed,noise_only,30,2,T3,T3,nominal_nearest,amp_phase_joint_weighted,{T3},{T3},1,1,1,0,0,0.0071365483088746,0.011422229814898,0.00428568150602337,0.0071365483088746,0.011422229814898,0.624794670088534,0.00105011540431673,0.27637501990489,2.04974705114115,1.79708782433883,1,2,0.005345
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,amplitude,{T4},{T4},1,1,1,0,0,0.000521951520820885,0.0044423527840787,0.00392040126325781,0.000521951520820885,0.0044423527840787,0.117494387814392,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005497
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,amplitude_raw_db,{T4},{T4},1,1,1,0,0,0.528595093373006,4.98725415638886,4.45865906301585,0.528595093373006,4.98725415638886,0.105989203035874,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005623
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,amplitude_db_standardized,{T4},{T4},1,1,1,0,0,0.0805392521426779,0.357734180668543,0.277194928525865,0.0805392521426779,0.357734180668543,0.225137145106358,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005428
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,phase_weighted,{T4},{T4},1,1,1,0,0,0.0113892716083613,0.125586643418086,0.114197371809725,0.0113892716083613,0.125586643418086,0.0906885581012435,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005387
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,complex,{T4},{T4},1,1,1,0,0,0.000746288656005185,0.00842202968089295,0.00767574102488777,0.000746288656005185,0.00842202968089295,0.0886114967866105,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005326
bidirectional_endpoint_fixed,noise_only,30,2,T4,T4,nominal_nearest,amp_phase_joint_weighted,{T4},{T4},1,1,1,0,0,0.00806188381084444,0.0889886425426557,0.0809267587318112,0.00806188381084444,0.0889886425426557,0.0905945251044825,0.000999261300978176,0.528171783318347,3.66352301202613,2.04756768186916,1,2,0.005388
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,amplitude,{T5},{T5},1,1,1,0,0,0.000515363407634179,0.00091956703277759,0.000404203625143412,0.000515363407634179,0.00091956703277759,0.560441369975501,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005625
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,amplitude_raw_db,{T5},{T5},1,1,1,0,0,0.262089815172614,0.421899387787956,0.159809572615342,0.262089815172614,0.421899387787956,0.621214021064991,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005591
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,amplitude_db_standardized,{T5},{T5},1,1,1,0,0,0.0712082169799963,0.113684061720768,0.0424758447407721,0.0712082169799963,0.113684061720768,0.626369395165511,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005526
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,phase_weighted,{T5},{T5},1,1,1,0,0,0.0119928771819128,0.0162690457185236,0.00427616853661076,0.0119928771819128,0.0162690457185236,0.737159227984588,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005422
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,complex,{T5},{T5},1,1,1,0,0,0.00073451131122362,0.00128280889525931,0.00054829758403569,0.00073451131122362,0.00128280889525931,0.572580463027694,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005475
bidirectional_endpoint_fixed,noise_only,30,2,T5,T5,nominal_nearest,amp_phase_joint_weighted,{T5},{T5},1,1,1,0,0,0.00848807111605379,0.0115223142666563,0.00303424315060249,0.00848807111605379,0.0115223142666563,0.736663739559413,0.000968288671073139,0.262080031782087,2.31778722765393,2.07452228309663,1,2,0.005743
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,amplitude,{T2},{T2},1,1,1,0,0,0.000528278789014312,0.00651632453505933,0.00598804574604502,0.000528278789014312,0.00651632453505933,0.0810700550858156,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.005597
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,amplitude_raw_db,{T2},{T2},1,1,1,0,0,0.301959069891727,2.91103770896268,2.60907863907095,0.301959069891727,2.91103770896268,0.103729013527388,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.00542
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,amplitude_db_standardized,{T2},{T2},1,1,1,0,0,0.0736468814824857,0.662883569161159,0.589236687678673,0.0736468814824857,0.662883569161159,0.111100779848385,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.005376
bidirectional_endpoint_fixed,noise_only,30,3,T2,T2,nominal_nearest,phase_weighted,{T2},{T2},1,1,1,0,0,0.0103201863392372,0.125218497123481,0.114898310784244,0.0103201863392372,0.125218497123481,0.0824174269481948,0.000989336664866121,0.301958887700245,2.23357362779486,1.85413511993946,1,2,0.005334
