sample_id,replicate_id,split,grid_id,scenario_id,best_topology_id,best_equivalence_class,best_distance,margin,rho,best_subband_distance,best_amplitude_distance,best_phase_distance,topology_best_distances,topK_neighborhood_scores,topK_neighborhood_std,stability_value,block_repetitions,uses_topK_cache,distance_evaluations,configuration_hash
final05_final_replication_test_cont_G006_01,final05,final_replication_test,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G007,"{G007}",0.117453825796196,0.0346868881923596,0.772007851917003,[0.095713 0.109225 0.0958725 0.141143 0.132312 0.115147 0.141684 0.0963969],0.0589513421966732,0.717688523170923,[0.282937 0.17765 0.152141 0.117454],[0.282937 0.282937 0.283724;0.178869 0.179971 0.183061;0.153359 0.154396 0.157245;0.117727 0.118034 0.118895],[0 0 0.00236001;0.00107366 0.00160735 0.00364486;0.00107395 0.00154297 0.00325918;0.000290164 0.000439956 0.00101235],1,30,1,972,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470
final05_final_replication_test_cont_G006_01,final05,final_replication_test,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G006,"{G006}",0.108808054740937,0.043332659247618,0.715180387206591,[0.0331821 0.102426 0.0653951 0.137195 0.126991 0.114986 0.14614 0.096363],0.046456323180563,0.698737885501204,[0.282937 0.152141 0.152141 0.108808],[0.282937 0.282937 0.283724;0.153359 0.154322 0.157099;0.153359 0.154396 0.157245;0.108946 0.109582 0.110541],[0 0 0.00236001;0.00107395 0.00146924 0.00320973;0.00107395 0.00154297 0.00325918;0.000132879 0.000787225 0.00116847],1,30,1,972,ea7b1f1038fa0e7f944dafa07d86a670bf5d0c86ee37902f05ee261e1b70cb02
final05_final_replication_test_cont_G006_02,final05,final_replication_test,A_stage4a1_quick61,P0_no_prior,G006,"{G006}",0.13087159673692,0.00588170911277705,0.956990369796263,[0.0510404 0.111871 0.156772 0.0915965 0.180454 0.107719 0.137054 0.165954],0.0522105158529327,0.868030400575681,[0.282473 0.164435 0.184727 0.136753 0.164435 0.130872 0.136753],[0.282473 0.282473 0.28322;0.165333 0.165906 0.167192;0.185999 0.186946 0.188667;0.137032 0.137168 0.137532;0.165333 0.165906 0.167283;0.131226 0.131469 0.131767;0.137045 0.1372 0.13758],[0 0 0.00224227;0.000754403 0.000921629 0.00153246;0.00111026 0.0014737 0.00205917;0.000197116 0.000249239 0.000417657;0.000754403 0.000921629 0.00162136;0.00025817 0.000358626 0.000394396;0.000207288 0.000271825 0.000444005],0.966666666666667,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final05_final_replication_test_cont_G006_02,final05,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G007,"{G007}",0.136753305849697,0.0276816994060443,0.831655678401181,[0.0974596 0.0994737 0.149408 0.0997353 0.195805 0.0860698 0.200802 0.126237],0.0884403317916707,1.05323118789259,[0.282473 0.184727 0.164435 0.136753],[0.282473 0.282473 0.28322;0.185999 0.186946 0.188667;0.165333 0.165906 0.167283;0.137045 0.1372 0.13758],[0 0 0.00224227;0.00111026 0.0014737 0.00205917;0.000754403 0.000921629 0.00162136;0.000207288 0.000271825 0.000444005],1,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
final05_final_replication_test_cont_G006_02,final05,final_replication_test,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G006,"{G006}",0.13087159673692,0.0335634085188214,0.795886475222128,[0.0510404 0.111871 0.156772 0.0915965 0.180454 0.107719 0.137054 0.165954],0.0522105158529327,0.868030400575681,[0.282473 0.164435 0.164435 0.130872],[0.282473 0.282473 0.28322;0.165333 0.165906 0.167192;0.165333 0.165906 0.167283;0.131226 0.131469 0.131767],[0 0 0.00224227;0.000754403 0.000921629 0.00153246;0.000754403 0.000921629 0.00162136;0.00025817 0.000358626 0.000394396],1,30,1,972,b17052d94dcd7df8157639d4abbec353befae316da88ce43e32c5fe1f8bad4a0
final05_final_replication_test_cont_G006_02,final05,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G006,"{G006}",0.131183074951981,0.00588484110195758,0.957066239333508,[0.0531658 0.117602 0.163124 0.0947079 0.175117 0.108205 0.134636 0.158025],0.0520282034485089,0.862814156633771,[0.281313 0.163287 0.184185 0.137068 0.163287 0.131183 0.137068],[0.281313 0.281313 0.282066;0.164092 0.164606 0.165896;0.18564 0.186584 0.188245;0.13721 0.137334 0.137533;0.164092 0.164606 0.165953;0.131589 0.131804 0.132258;0.13721 0.137352 0.137604],[0 0 0.00225831;0.000691699 0.000832042 0.00150297;0.0012404 0.00154776 0.00205921;0.000141968 0.000187901 0.000262314;0.000691699 0.000832042 0.00156409;0.000344884 0.000380087 0.000557219;0.000141968 0.000205921 0.000327117],0.966666666666667,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
final05_final_replication_test_cont_G006_02,final05,final_replication_test,B_ofdm_active_subcarriers,P1_partial_consistent_prior,G007,"{G007}",0.137067916053938,0.0262189766269752,0.839429998346222,[0.0912665 0.106301 0.155416 0.103062 0.189601 0.0831587 0.196966 0.119467],0.0880128124384612,1.05512332691785,[0.281313 0.184185 0.163287 0.137068],[0.281313 0.281313 0.282066;0.18564 0.186584 0.188245;0.164092 0.164606 0.165953;0.13721 0.137352 0.137604],[0 0 0.00225831;0.0012404 0.00154776 0.00205921;0.000691699 0.000832042 0.00156409;0.000141968 0.000205921 0.000327117],1,30,1,972,e676638adcb9e1195dc62f1ae2f7d59918d691ca156f4b8615e6befb7f601470
final05_final_replication_test_cont_G006_02,final05,final_replication_test,B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,G006,"{G006}",0.131183074951981,0.0321038177289328,0.803390111706812,[0.0531658 0.117602 0.163124 0.0947079 0.175117 0.108205 0.134636 0.158025],0.0520282034485089,0.862814156633771,[0.281313 0.163287 0.163287 0.131183],[0.281313 0.281313 0.282066;0.164092 0.164606 0.165896;0.164092 0.164606 0.165953;0.131589 0.131804 0.132258],[0 0 0.00225831;0.000691699 0.000832042 0.00150297;0.000691699 0.000832042 0.00156409;0.000344884 0.000380087 0.000557219],1,30,1,972,ea7b1f1038fa0e7f944dafa07d86a670bf5d0c86ee37902f05ee261e1b70cb02
final05_final_replication_test_cont_G006_03,final05,final_replication_test,A_stage4a1_quick61,P0_no_prior,G006,"{G006}",0.124609323459786,0.00807088336508044,0.939170404092956,[0.0440199 0.126888 0.0732244 0.159181 0.143899 0.120243 0.181556 0.101252],0.0803655013869547,0.955044056926422,[0.294926 0.167261 0.187011 0.13268 0.167261 0.124609 0.13268],[0.294926 0.294926 0.295698;0.168264 0.169171 0.171776;0.188435 0.189445 0.192277;0.132828 0.133061 0.133836;0.168264 0.169382 0.172205;0.124723 0.125181 0.125986;0.132854 0.133096 0.133859],[0 0 0.00231473;0.000902507 0.00133052 0.00304892;0.00123633 0.00160155 0.00322834;0.000180346 0.000317411 0.000883881;0.000902507 0.00154991 0.00322344;0.000125645 0.000569484 0.000954358;0.000201772 0.000335354 0.000880155],1,30,1,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85
final05_final_replication_test_cont_G006_03,final05,final_replication_test,A_stage4a1_quick61,P1_partial_consistent_prior,G007,"{G007}",0.132680206824867,0.0345808625472498,0.793252173516189,[0.103934 0.135054 0.111261 0.165926 0.145126 0.119728 0.172393 0.0937571],0.0884970124345704,0.960995660222484,[0.294926 0.187011 0.167261 0.13268],[0.294926 0.294926 0.295698;0.188435 0.189445 0.192277;0.168264 0.169382 0.172205;0.132854 0.133096 0.133859],[0 0 0.00231473;0.00123633 0.00160155 0.00322834;0.000902507 0.00154991 0.00322344;0.000201772 0.000335354 0.000880155],1,30,1,972,45730c6484f397830c411e04b050555c36fd02843e0f955e1b442cd1d927df0c
final05_final_replication_test_cont_G006_03,final05,final_replication_test,A_stage4a1_quick61,P2_stale_or_inconsistent_prior,G006,"{G006}",0.124609323459786,0.0426517459123302,0.74499896435443,[0.0440199 0.126888 0.0732244 0.159181 0.143899 0.120243 0.181556 0.101252],0.0803655013869547,0.955044056926422,[0.294926 0.167261 0.167261 0.124609],[0.294926 0.294926 0.295698;0.168264 0.169171 0.171776;0.168264 0.169382 0.172205;0.124723 0.125181 0.125986],[0 0 0.00231473;0.000902507 0.00133052 0.00304892;0.000902507 0.00154991 0.00322344;0.000125645 0.000569484 0.000954358],1,30,1,972,b17052d94dcd7df8157639d4abbec353befae316da88ce43e32c5fe1f8bad4a0
final05_final_replication_test_cont_G006_03,final05,final_replication_test,B_ofdm_active_subcarriers,P0_no_prior,G006,"{G006}",0.12641416394594,0.00818862860246858,0.939164496899552,[0.0465263 0.133452 0.0743752 0.163537 0.139483 0.121525 0.177822 0.0984958],0.0796689355822094,0.9614927826097,[0.292232 0.164462 0.189187 0.134603 0.164462 0.126414 0.134682],[0.292232 0.292232 0.292997;0.165824 0.166663 0.169199;0.190628 0.191574 0.194311;0.134714 0.134948 0.135758;0.165877 0.166761 0.169392;0.126533 0.127009 0.127817;0.134795 0.135044 0.13581],[0 0 0.00229326;0.00115537 0.00139518 0.00293476;0.00124487 0.0015479 0.00313003;0.000105543 0.000300147 0.000892017;0.00122288 0.00148005 0.0029992;8.59793e-05 0.000592094 0.000945007;0.000159467 0.000328843 0.000864494],1,30,1,1701,cb4a8948d2c30a9ff5901bc3cb4b64cea7348e122640626cf6b74c9c437dc641
