sample_id,replicate_id,split,grid_id,scenario_id,method_id,method_family,decision,decision_reason,best_template_id,best_topology_id,best_equivalence_class,accepted_topology_set,baseline_P0_equivalence_class,baseline_P0_equivalence_class_size,prior_conditioned_equivalence_class_size,best_distance,second_distance,margin,rho,subband_max_stat,subband_quantile_stat,neighborhood_score,neighborhood_margin,stability_value,stability_threshold,candidate_count_before_prior,candidate_count_after_prior,parameter_template_count,composite_template_count,configuration_hash,calibration_hash
final01_final_replication_test_cont_G003_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P035,G003,"{G003}","G003","{G003}",1,1,0.0803442374933759,0.128766490007478,0.0484222525141017,0.623952998082702,NaN,NaN,0.080858937790245,0.0496332277947807,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G003_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P006,G003,"{G003}","G003","{G003}",1,1,0.103021386423286,0.141907027618054,0.0388856411947676,0.725978044581729,NaN,NaN,0.103570193933904,0.0388689256611788,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G003_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P122,G003,"{G003}","G003","{G003}",1,1,0,0.120305081617247,0.120305081617247,0,NaN,NaN,0.00813665586391685,0.112794416102017,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G003_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G003_P122,G003,"{G003}","G003","{G003}",1,1,0,0.120305081617247,0.120305081617247,0,NaN,NaN,0.00813665586391685,0.112794416102017,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G007_P147,G007,"{G004,G007}","G004,G007","{G004,G007}",2,2,0.0275577023766446,0.0524574563143319,0.0248997539376873,0.525334324466477,NaN,NaN,0.0285888938907365,0.0245471333950907,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G007_P057,G007,"{G004,G007}","G004,G007","{G004,G007}",2,2,0.0782545907354586,0.0900207162403874,0.0117661255049288,0.869295357810992,NaN,NaN,0.0790246378258734,0.0115132613184667,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G004_P059,G004,"{G004,G007}","G004,G007","{G004,G007}",2,2,0.0348734488101142,0.0569023436894989,0.0220288948793848,0.612864893576203,NaN,NaN,0.0354968606515239,0.0218783203364383,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G007_P039,G007,"{G004,G007}","G004,G007","{G004,G007}",2,2,0.00747619493412004,0.0405700504231573,0.0330938554890372,0.184278670003042,NaN,NaN,0.00986222165472711,0.0315245447264428,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G007_P060,G007,"{G004,G007}","G004,G007","{G004,G007}",2,2,0.0645034992043875,0.0780260729982691,0.0135225737938815,0.82669160096,NaN,NaN,0.0648803158025531,0.0136899883051065,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G004_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,reject_low_margin,class margin below calibration threshold,G007_P016,G007,"{G004,G007}","","{G004,G007}",2,2,0.113827144830617,0.118856888389346,0.00502974355872944,0.957682355412074,NaN,NaN,0.114479243007367,0.00507036173656007,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G004_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G004_P122,G004,"{G004,G007}","G004,G007","{G004,G007}",2,2,0,0.0437102876113934,0.0437102876113934,0,NaN,NaN,0.0069620639226966,0.0373601826510218,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G004_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G004_P122,G004,"{G004,G007}","G004,G007","{G004,G007}",2,2,0,0.0437102876113934,0.0437102876113934,0,NaN,NaN,0.0069620639226966,0.0373601826510218,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P152,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.0749029603849941,0.121798780667586,0.0468958202825916,0.614972990483418,NaN,NaN,0.0751422016193437,0.0499709861062708,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P043,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.105654190978545,0.136103808151075,0.0304496171725297,0.776276523141021,NaN,NaN,0.10589771860998,0.0316388804456097,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P007,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.150443005109313,0.169978127397742,0.0195351222884284,0.885072729130601,NaN,NaN,0.150916507989235,0.02012301095505,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P025,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.114631353919172,0.140929401768598,0.0262980478494259,0.813395590130866,NaN,NaN,0.115169221963585,0.0264114840754892,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P071,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.0695078261347705,0.115187959416024,0.0456801332812531,0.603429616138316,NaN,NaN,0.0699102925089622,0.0478021505560918,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G005_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G002_P023,G002,"{G002,G005}","G002,G005","{G002,G005}",2,2,0.113201965476481,0.133759837398405,0.0205578719219244,0.846307588865117,NaN,NaN,0.113984390156688,0.0201679454481906,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G005_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P122,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0,0.0966310350221523,0.0966310350221523,0,NaN,NaN,0.00776225642592836,0.0926550143965826,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G005_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,equivalence_class,best observation class has multiple members,G005_P122,G005,"{G002,G005}","G002,G005","{G002,G005}",2,2,0,0.0966310350221523,0.0966310350221523,0,NaN,NaN,0.00776225642592836,0.0926550143965826,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P088,G006,"{G006}","G006","{G006}",1,1,0.0300802331182369,0.0574670008783763,0.0273867677601394,0.523434887116792,NaN,NaN,0.0310533782097129,0.0268865079790085,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P075,G006,"{G006}","G006","{G006}",1,1,0.033158272867526,0.050986260620317,0.0178279877527911,0.650337413716171,NaN,NaN,0.0337721035152137,0.0181927662826184,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_03,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P114,G006,"{G006}","G006","{G006}",1,1,0.0652806862505685,0.0802095491139104,0.0149288628633418,0.813876738753956,NaN,NaN,0.0657961442332382,0.0147381339508039,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_04,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P062,G006,"{G006}","G006","{G006}",1,1,0.119125991794891,0.126975542676036,0.00784955088114496,0.938180607724509,NaN,NaN,0.119904258150272,0.00770838402521792,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_05,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P096,G006,"{G006}","G006","{G006}",1,1,0.0301930172696806,0.0509271080268033,0.0207340907571226,0.59286730464249,NaN,NaN,0.0305680210155342,0.0208042808151773,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_cont_G006_06,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P122,G006,"{G006}","G006","{G006}",1,1,0.0747641042587553,0.0868168110372561,0.0120527067785008,0.861170818930567,NaN,NaN,0.0750603544868894,0.0119407010152622,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G006_01,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P122,G006,"{G006}","G006","{G006}",1,1,0,0.0442154783648124,0.0442154783648124,0,NaN,NaN,0.00708826663246869,0.0376092557324906,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
final01_final_replication_test_grid_G006_02,final01,final_replication_test,A_stage4a1_quick61,P0_no_prior,M0_M0_q900_K5_qs00,M0,unique_topology,singleton baseline class passed all frozen rules,G006_P122,G006,"{G006}","G006","{G006}",1,1,0,0.0442154783648124,0.0442154783648124,0,NaN,NaN,0.00708826663246869,0.0376092557324906,NaN,0,7,7,243,1701,0f373b7010ca5cb045a7504a8d62c2468fd7243a00ec28c869dd105c54b4ed85,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
