scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
main_length_+2percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.0635757018804246,1.5580429589785616,4.2940960404264716,0.36283374761776949,0,0
main_length_+2percent,amplitude_db_standardized,6,0.66666666666666663,1,0.33333333333333331,0.16501649595889534,0.35947270037882412,0.56437629592230454,0.63693798441937277,0,0
main_length_+2percent,phase,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.043729491816384469,0.21164756888635103,0.24055776107151519,0.87982016436971455,0,0.66666666666666663
main_length_+2percent,phase_masked,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.043697902449382896,0.21225875032960942,0.24062165003958755,0.88212656797378042,0,0.66666666666666663
main_length_+2percent,phase_weighted,6,0.5,0.66666666666666663,0.5,0.037293331408433134,0.19508203973228,0.22590637864030319,0.86355259601986323,0,0.33333333333333331
main_length_+2percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0012329471137005916,0.014742781779258281,0.016620169306371096,0.88704161236232737,0,0
main_length_+2percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0008157453729470233,0.00975415399992423,0.010996275556844988,0.88704161236232759,0,0
main_length_+2percent,amp_phase_joint,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.030904852413008121,0.14967646831414133,0.17018462486369842,0.87949465725248588,0,0.66666666666666663
main_length_-5percent,amplitude,6,0.66666666666666663,0.83333333333333337,0.33333333333333331,0.00057261573341480583,0.0066625815693174282,0.0077194827290855113,0.86308653094256105,0,0.16666666666666666
main_length_-5percent,amplitude_raw_db,6,0.5,0.83333333333333337,0.5,1.2793972638298095,2.944474020310055,4.5736065974862443,0.64379695925933011,0,0.16666666666666666
main_length_-5percent,amplitude_db_standardized,6,0.66666666666666663,0.66666666666666663,0,0.047985667974486008,0.64076209356584712,0.64935493940019329,0.98676710484056174,0,0.33333333333333331
main_length_-5percent,phase,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.031661709135309198,0.5209141295879075,0.42341156729425333,1.2302784567666145,1,0.83333333333333337
main_length_-5percent,phase_masked,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.031661709135309198,0.52185513357110291,0.42380685313149491,1.231351333078105,1,0.83333333333333337
main_length_-5percent,phase_weighted,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.026718615718934125,0.47658380429845709,0.38861794048613058,1.226355643031529,1,0.83333333333333337
main_length_-5percent,complex,6,0.16666666666666666,0.33333333333333331,1,5.7824115865893567e-19,0.030348341876587775,0.030112968419976658,1.0078163485355689,1,0.66666666666666663
main_length_-5percent,cir,6,0.16666666666666666,0.33333333333333331,1,0,0.020079141422486676,0.019923413081821047,1.0078163485355691,1,0.66666666666666663
main_length_-5percent,amp_phase_joint,6,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.02237068254667296,0.36837236617223756,0.29946630431882487,1.2300962106910442,1,0.83333333333333337
main_length_+5percent,amplitude,6,1,1,0.33333333333333331,0.00076969174695535464,0.0065561714289485091,0.00797993827770903,0.82158172166097609,0,0
main_length_+5percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,1.1726723430408348,3.0457250203728137,4.6191901962416528,0.65936341457663517,0,0
main_length_+5percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.048549502130229884,0.65854758317805928,0.70750603458985817,0.93080136561636517,0,0
main_length_+5percent,phase,6,0.16666666666666666,0.16666666666666666,0,0.062291013623048112,0.52609824594648502,0.42465172195898154,1.2388934713828914,1,0.83333333333333337
main_length_+5percent,phase_masked,6,0.16666666666666666,0.16666666666666666,0,0.060757828442531803,0.52752524188179695,0.42623637426763122,1.2376354382898516,1,0.83333333333333337
main_length_+5percent,phase_weighted,6,0.16666666666666666,0.16666666666666666,0,0.067890477587322626,0.47307501553998854,0.36948331684329466,1.2803690829175629,1,0.83333333333333337
main_length_+5percent,complex,6,0.33333333333333331,0.33333333333333331,0,0.00039701797452057719,0.029480402780026074,0.029409463394757144,1.0024121278350688,1,0.66666666666666663
main_length_+5percent,cir,6,0.33333333333333331,0.33333333333333331,0,0.00026267596727640234,0.019504893513429988,0.019457958430286689,1.0024121278350684,1,0.66666666666666663
main_length_+5percent,amp_phase_joint,6,0.16666666666666666,0.16666666666666666,0,0.044034194712009402,0.37203697097252636,0.30034650792516965,1.2386925139985918,1,0.83333333333333337
