sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.0069568 1.4076699 0.25379552 0.13535558 0.28024221],[6.0674952 1.1183107 0.36579177 0.16328442 0.027415274],221.318057385255,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.0643875 1.1672297 0.21202632 0.10580775 0.31410563],[5.1118973 0.93755215 0.36439508 0.144866 0.031464937],162.463294075798,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.2429513 1.0914618 0.18391104 0.13967302 0.37665334],[7.2590181 0.97892498 0.41002118 0.16090513 0.034427828],210.847401285153,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.2797731 1.0683392 0.17984195 0.13811132 0.37787757],[7.29446 0.96297149 0.40998734 0.15700323 0.038124391],191.333156652101,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.3859615 1.474943 0.27204977 0.12693264 0.27319404],[6.4392846 1.2213072 0.36566725 0.17474872 0.022185328],290.249690264461,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.2784986 0.97460375 0.17760479 0.10180566 0.28153342],[5.3026299 0.83338662 0.32269802 0.12869586 0.021336516],248.523697996501,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.2681173 0.98040606 0.17850964 0.098827885 0.28664195],[5.292899 0.83635603 0.32625773 0.12888491 0.026945265],196.431507581149,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_01,final03,A_stage4a1_quick61,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[10.23044 0 0 0.19678725 0.50015265],[10.230443 0.53581219 0.041417696 3.3200434e-18 6.307687e-19],Inf,3,[false true true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_02,final03,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.3956549 0.97290974 0.17064632 0.14544169 0.36032247],[7.4109924 0.84827956 0.39589406 0.14730234 0.039406903],188.063305311831,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_02,final03,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.4087831 0.97487911 0.17093265 0.14545379 0.36070347],[7.4241545 0.85001692 0.39648904 0.14727362 0.038029509],195.220887064529,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
