measurement_kind,condition,snr_db,method,true_id,predicted_id,count
siso_reverse_role_fixed,noise_only,20,nuisance_aware_joint,T5,T3,2
siso_reverse_role_fixed,noise_only,20,nuisance_aware_joint,T5,T4,0
siso_reverse_role_fixed,noise_only,20,nuisance_aware_joint,T5,T5,3
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T2,T2,5
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T2,T3,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T2,T4,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T2,T5,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T3,T2,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T3,T3,2
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T3,T4,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T3,T5,3
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T4,T2,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T4,T3,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T4,T4,5
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T4,T5,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T5,T2,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T5,T3,2
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T5,T4,0
siso_reverse_role_fixed,noise_only,10,nominal_nearest,T5,T5,3
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T2,T2,5
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T2,T3,0
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T2,T4,0
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T2,T5,0
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T3,T2,0
siso_reverse_role_fixed,noise_only,0,nominal_nearest,T3,T3,0
