mode,scenario,measurement_kind,observation_mode,method,feature,snr_db,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,objective,cfr_nmse,theta_estimation_rmse,theta_boundary_hit,theta_true_label,theta_hat_label,parameter_regularization,grid_size,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0174637234896992,0.093660324281067,0.0761966007913678,0.0174637234896992,0.00414015344903247,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370930,3.163221
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00106196186955438,0.00725591368751544,0.00619395181796106,0.00106196186955438,0.00414015344903247,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370930,3.163827
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,9,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0155974644388868,0.0174637234896992,0.00186625905081247,0.0155974644388868,0.00414015344903247,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,27,1,1793,1,1,1,20370930,3.164309
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,10,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0131548871044237,0.0930089814034027,0.079854094298979,0.0131548871044237,0.0040293439352641,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370931,3.183941
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,10,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00104954367665628,0.00727436482902695,0.00622482115237067,0.00104954367665628,0.0040293439352641,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370931,3.184532
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,10,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0131548871044237,0.0131548871044237,0,0.0131548871044237,0.0040293439352641,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370931,3.185209
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0143593474168344,0.0933076198120536,0.0789482723952192,0.0143593474168344,0.00405628101534544,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370932,3.205104
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00105716043753637,0.00725452820659755,0.00619736776906118,0.00105716043753637,0.00405628101534544,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370932,3.205705
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,11,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0137800448043609,0.0143593474168344,0.000579302612473551,0.0137800448043609,0.00405628101534544,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,27,1,1793,1,1,1,20370932,3.206222
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,12,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0147931779575192,0.0929374249259185,0.0781442469683993,0.0147931779575192,0.00414738375208649,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370933,3.226936
