experiment,noise_mode,view_kind,snr_db,trial,true_id,method,predicted_id,correct,group_correct,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,length_error_m,main_length_error_m,branch_length_error_m,load_relative_error,Zs_error_ohm,Zr_error_ohm
noise_only,fixed_received_snr,three_view_complete,10,16,T5,joint,T5,1,1,0.099458294176006545,3.1232819841070789,28.587662966583775,0.11663158168281273,0.12649849759495263,0,0,0,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,16,T5,single_feature,T5,1,1,0.099458294176006545,3.1232819841070789,28.587662966583775,0.0048380935961260616,0.0065423946003675551,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,17,T2,oracle,T2,1,1,0.098828630340972987,2.9199707029230395,19.888646164996221,0.078328124317493752,0.13919594069607091,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T2,joint,T2,1,1,0.098828630340972987,2.9199707029230395,19.888646164996221,0.076461344874541329,0.13700190198153661,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T2,single_feature,T2,1,1,0.098828630340972987,2.9199707029230395,19.888646164996221,0.0048900964907004282,0.0084338949747234642,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,17,T3,oracle,T3,1,1,0.099773597843415482,2.9475806347594116,20.677035498935304,0.08650335362778723,0.10999822785962608,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T3,joint,T3,1,1,0.099773597843415482,2.9475806347594116,20.677035498935304,0.08314473799635265,0.10865924835747079,0,0,0,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T3,single_feature,T3,1,1,0.099773597843415482,2.9475806347594116,20.677035498935304,0.0049397292469234378,0.0080594123069272841,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,17,T4,oracle,T4,1,1,0.10010842414011491,4.168457418801907,30.873136036314524,0.1374029170006035,0.16544667159816148,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T4,joint,T4,1,1,0.10010842414011491,4.168457418801907,30.873136036314524,0.12361420600668868,0.16273874502241201,0.43301270189221969,0,0.75000000000000067,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T4,single_feature,T4,1,1,0.10010842414011491,4.168457418801907,30.873136036314524,0.004965653555143266,0.0059105579371621694,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,17,T5,oracle,T5,1,1,0.099693725450110085,3.106309196915948,19.853894566338287,0.07904150054959147,0.10069622203647292,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T5,joint,T5,1,1,0.099693725450110085,3.106309196915948,19.853894566338287,0.075485566823828648,0.099721156269190592,0,0,0,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,17,T5,single_feature,T5,1,1,0.099693725450110085,3.106309196915948,19.853894566338287,0.0048908585998507391,0.0065926721714325148,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,18,T2,oracle,T2,1,1,0.09986506838506011,2.8916381002224738,19.920325005429863,0.079061477184457704,0.14802948878118916,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T2,joint,T2,1,1,0.09986506838506011,2.8916381002224738,19.920325005429863,0.078547497894125476,0.14722082820842375,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T2,single_feature,T2,1,1,0.09986506838506011,2.8916381002224738,19.920325005429863,0.0049173852951316863,0.0084763148357719833,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,18,T3,oracle,T3,1,1,0.10037053372365014,2.9231932635918212,19.875395872141926,0.078940015471351641,0.10075795876197993,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T3,joint,T3,1,1,0.10037053372365014,2.9231932635918212,19.875395872141926,0.077798646130422047,0.098935181465584512,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T3,single_feature,T3,1,1,0.10037053372365014,2.9231932635918212,19.875395872141926,0.0049578734448968414,0.0080355776430683055,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,18,T4,oracle,T4,1,1,0.099441847618605042,4.103324074346296,25.370184954872325,0.10040149023705183,0.15312765820147808,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T4,joint,T4,1,1,0.099441847618605042,4.103324074346296,25.370184954872325,0.099916824188826997,0.14893726605060773,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,18,T4,single_feature,T4,1,1,0.099441847618605042,4.103324074346296,25.370184954872325,0.0050005992284564912,0.0058924046423780383,NaN,NaN,NaN,NaN,NaN,NaN
