sample_id,replicate_id,grid_id,topology_id,category,outlier_dimension,outlier_severity,eta,in_distance,ext_distance,lambda,relative_improvement,extended_outside,boundary_hit,outward_decrease,minimum_boundary_distance,minimum_sensitivity,condition_number,effective_rank,optimization_converged,experiment_scientific_hash
final02_test_out_branch_length_scale_far,final02,A_stage4a1_quick61,G003,parameter_out_of_domain,branch_length_scale,far,0.5,0.0785465124254806,0.0263435146028653,0.0054755738525748,0.664612548793649,1,1,1,0.000129269572627377,0.148764042686875,266.390594594164,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,G004,parameter_out_of_domain,branch_load_scale,near,0.5,0.063232643972243,0.0154855065257479,0.00375856635136145,0.755102656575603,1,1,1,6.6464353687401e-08,0.135355580314652,221.318057385255,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_branch_load_scale_near,final02,A_stage4a1_quick61,G007,parameter_out_of_domain,branch_load_scale,near,0.5,0.0630410124686026,0.0408286576668311,0.00230718996619122,0.352347684969082,1,1,1,6.45864688397779e-08,0.105807752413124,162.463294075798,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,G002,parameter_out_of_domain,source_impedance_ohm,medium,0.5,0.0342063313750619,0.00939296885928942,0.00108184524214896,0.725402623361628,1,1,1,0.000149034292965533,0.139673018911228,210.847401285153,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_source_impedance_ohm_medium,final02,A_stage4a1_quick61,G005,parameter_out_of_domain,source_impedance_ohm,medium,0.5,0.0337330224547548,0.00382989362474906,0.0011232487187561,0.886464557666825,1,1,1,0.000147360251162576,0.138111322814253,191.333156652101,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_receiver_impedance_ohm_far,final02,A_stage4a1_quick61,G006,parameter_out_of_domain,receiver_impedance_ohm,far,0.5,0.0477409804791168,0.0117818266811693,0.0021403897771623,0.753213558588805,1,1,1,0,0.126932643728418,290.249690264461,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,G004,parameter_out_of_domain,joint_parameter_set,near,0.5,0.0464736835034115,0.00545053242013268,0.00213009495471235,0.882717873640998,1,1,1,1.12038534005876e-06,0.101805663452696,248.523697996501,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_joint_parameter_set_near,final02,A_stage4a1_quick61,G007,parameter_out_of_domain,joint_parameter_set,near,0.5,0.04631924699865,0.00527516826133116,0.00211764524233659,0.886112823415048,1,1,1,7.63730130248774e-07,0.0988278850980026,196.431507581149,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_01,final03,A_stage4a1_quick61,G001,parameter_in_domain,,,0.5,0.0213840643477715,0.000702222733728366,0.000456785091261868,0.967161400037187,1,1,0,0.000162459616625199,0,Inf,3,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_02,final03,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0212725091871438,0.00279238539886637,0.000444722230901317,0.868732673932857,0,1,0,0.00317525327780785,0.145441690437667,188.063305311831,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final03_test_in_02,final03,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.0212748277326442,0.00252285510189905,0.000446253497188508,0.881415956242532,0,1,0,0.00163195080000875,0.14545379309025,195.220887064529,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
