split,scenario,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set,decision_state
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,6.03786829795718,1.00148716964534,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.15057953765309,1.00769818537182,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.85921502429771,1.00782478541432,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.84488909799808,1.00794742104753,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.22322225556918,0.995976197150588,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.85758557352351,0.995964490805184,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.7472212619377,0.996349096348596,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.28893104388678,0.986669847991507,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.81765515186356,0.986417224912133,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.75215485622131,0.986715484133343,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.22170376147326,0.981269679916979,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.06911751958678,0.981295388874658,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.8213644822146,0.981184585382016,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.17244219884104,0.987950842250512,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.88587069703762,0.988011074006102,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.76089306677817,0.988583104048024,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.05186849750227,0.991295141373464,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.83222069962133,0.991513912623187,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.72446122846023,0.991368803454614,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.3329563877285,0.996602952663197,1.1999994404762,0,1,0,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.99254320832042,0.99672222002929,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.95044648051106,0.996681284318551,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.12607993613292,0.991601361175193,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.00307976877322,0.991637625239366,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.87928208658872,0.991990760491822,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.2586766730746,0.983835380941796,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.3256484462546,0.983857951111657,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.15522853287374,0.984011903303998,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.20030553077769,0.982077177936305,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.98134268395796,0.982346471837165,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
