split,scenario,scheme,flow,budget,n,truth_in_library_n,correct_unique_k,false_unique_k,truth_covered_k,mean_set_size,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_pruned_k,library_out_n,library_out_nonempty_k,library_out_false_unique_k,domain_out_n,domain_out_accepted_k,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high,library_out_false_unique_low,library_out_false_unique_high
T,G003,H50,B,0,30,30,17,0,30,1,0,0,13,0,0,0,0,0,0,0,0.391973070008136,0.726225144235334,0,0.113513393173968,NaN,NaN
T,G003,H50,C,10,30,30,0,0,29,1.86666666666667,0,26,4,0,0,0,0,0,0,0,0,0.113513393173968,0,0.113513393173968,NaN,NaN
T,G003,Zin50,A,0,30,30,22,0,22,0.733333333333333,8,0,0,0,0,0,0,0,0,0,0.555520383048111,0.858173366804037,0,0.113513393173968,NaN,NaN
T,G003,Zin50,B,0,30,30,29,0,30,1,1,0,0,0,0,0,0,0,0,0,0.833296090085909,0.994091409618388,0,0.113513393173968,NaN,NaN
T,G003,Zin50,C,10,30,30,29,0,30,1,1,0,0,0,0,0,0,0,0,0,0.833296090085909,0.994091409618388,0,0.113513393173968,NaN,NaN
T,MIRROR_M3,H50_Zin50,A,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,H50_Zin50,B,0,30,0,0,0,0,1,30,0,0,0,30,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,H50_Zin50,C,10,30,0,30,0,0,1,0,0,0,30,0,30,30,0,0,0,0.886486606826032,1,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,H50,A,0,30,0,0,16,0,1,0,0,14,0,30,30,30,16,0,0,0,0.113513393173968,0.361422996198733,0.697676110923002,0.361422996198733,0.697676110923002
T,MIRROR_M3,H50,B,0,30,0,0,16,0,1,0,0,14,0,30,30,30,16,0,0,0,0.113513393173968,0.361422996198733,0.697676110923002,0.361422996198733,0.697676110923002
T,MIRROR_M3,H50,C,10,30,0,0,0,0,1.86666666666667,0,26,4,30,0,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,Zin50,A,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,Zin50,B,0,30,0,0,0,0,1,30,0,0,0,30,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,MIRROR_M3,Zin50,C,10,30,0,29,0,0,1,1,0,0,30,0,30,30,0,0,0,0.833296090085909,0.994091409618388,0,0.113513393173968,0,0.113513393173968
