scheme,flow,truth_id,best_candidate,candidate_set,set_size,state,reason,noise_seed,correct_unique,false_unique,distance_1,distance_2,margin,fit_statistic,fit_threshold
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100021,0,0,1.0247030351974,1.02470310888535,7.36879541829438e-08,1.0247030351974,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100021,0,0,0.984335241790879,0.984335374939582,1.33148702730068e-07,1.1486679371844,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100021,0,0,0.984335241790879,0.984335374939582,1.33148702730068e-07,1.1486679371844,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100022,0,0,1.02518627025521,1.02518650569876,2.35443543106229e-07,1.02518627025521,1.11179756541896
H50,B,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100022,0,0,1.03704111186714,1.03704146865339,3.56786246102914e-07,1.02044497196471,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100022,0,0,1.03704111186714,1.03704146865339,3.56786246102914e-07,1.02044497196471,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100023,0,0,1.04838159130745,1.04838159343179,2.12434336788192e-09,1.04838159130745,1.11179756541896
H50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100023,0,0,1.05976710747255,1.05976710747255,1.55431223447522e-15,1.03921793152097,1.19784377785704
H50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100023,0,0,1.05976710747255,1.05976710747255,1.55431223447522e-15,1.03921793152097,1.19784377785704
H50,A,T3,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100024,0,0,0.982561014030858,0.982561014030858,4.44089209850063e-16,0.982561014030858,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100024,0,0,0.91239593783461,0.912395962813204,2.49785941930369e-08,1.12748051593049,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100024,0,0,0.91239593783461,0.912395962813204,2.49785941930369e-08,1.12748051593049,1.19784377785704
H50,A,T3,T4_NEAR_T3,T5,1,REJECTED,fit_quality_gate,209100025,0,0,1.15021213851919,1.15021218870011,5.01809196418179e-08,1.15021213851919,1.11179756541896
H50,B,T3,T3,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100025,0,0,1.11629265714186,1.11629265714186,3.10862446895044e-15,1.22703886211157,1.19784377785704
H50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100025,0,0,1.11629265714186,1.11629265714186,3.10862446895044e-15,1.22703886211157,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100026,0,0,0.996520542170734,0.996520598492284,5.63215503124326e-08,0.996520542170734,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100026,0,0,1.09181126588828,1.09181128551092,1.96226428439417e-08,0.777415501897488,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100026,0,0,1.09181126588828,1.09181128551092,1.96226428439417e-08,0.777415501897488,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100027,0,0,1.02275704146729,1.02275708508179,4.36144942383976e-08,1.02275704146729,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100027,0,0,1.02599240051985,1.02599250791497,1.07395128789989e-07,1.0239775733948,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100027,0,0,1.02599240051985,1.02599250791497,1.07395128789989e-07,1.0239775733948,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100028,0,0,1.08543159099576,1.08543179012496,1.99129200018078e-07,1.08543159099576,1.11179756541896
