scheme,flow,truth_id,candidate_id,rank,distance,in_candidate_set,state
H50,B,T3,T4_NEAR_T3,1,0.984335241790879,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,3,0.984335374939586,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.984335374939582,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.984335241790879,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,3,0.984335374939586,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,1.02518650569876,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.02518627025521,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.02518650569876,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.03704146865339,0,LOW_CONFIDENCE
H50,B,T3,T4_NEAR_T3,1,1.03704111186714,1,LOW_CONFIDENCE
H50,B,T3,T5,3,1.03704146865339,0,LOW_CONFIDENCE
H50,C_control,T3,T3,2,1.03704146865339,0,LOW_CONFIDENCE
H50,C_control,T3,T4_NEAR_T3,1,1.03704111186714,1,LOW_CONFIDENCE
H50,C_control,T3,T5,3,1.03704146865339,0,LOW_CONFIDENCE
H50,A,T3,T3,2,1.04838159343179,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.04838159130745,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.04838159343179,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,1,1.05976710747255,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,1.0597671542917,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.05976710747255,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,1,1.05976710747255,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,1.0597671542917,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.05976710747255,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.982561014030858,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,3,0.982561018831829,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,1,0.982561014030858,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.912395962813204,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.91239593783461,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.912395962813204,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.912395962813204,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.91239593783461,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.912395962813204,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,1.15021218870011,0,REJECTED
H50,A,T3,T4_NEAR_T3,1,1.15021213851919,0,REJECTED
H50,A,T3,T5,2,1.15021218870011,1,REJECTED
H50,B,T3,T3,1,1.11629265714186,1,REJECTED
H50,B,T3,T4_NEAR_T3,3,1.11629271250116,1,REJECTED
H50,B,T3,T5,2,1.11629265714186,1,REJECTED
H50,C_control,T3,T3,1,1.11629265714186,1,REJECTED
H50,C_control,T3,T4_NEAR_T3,3,1.11629271250116,1,REJECTED
H50,C_control,T3,T5,2,1.11629265714186,1,REJECTED
H50,A,T3,T3,3,0.996520598492284,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.996520542170734,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.996520598492284,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,1.09181128551092,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.09181126588828,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.09181128551092,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,1.09181128551092,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,1.09181126588828,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.09181128551092,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,1.02275708508179,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.02275704146729,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.02275708508179,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.02599250791497,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.02599240051985,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.02599250791497,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,1.02599250791497,1,MULTIPLE_AMBIGUOUS
