sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_closed_rate_20_r10,wrong_closed,20,0,7,0.264442,1,0,REJECTED,1,0,0.0944235188122644,0.0518696747409547,0.452925838342011,0.832007841293537
wrong_closed_rate_20_r11,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0502584976561193,0.084628973464176,0.674397436781113,0.609489043611355
wrong_closed_rate_20_r12,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0635932626431633,0.0677919367024314,0.559717340742331,0.735146781081049
wrong_closed_rate_20_r13,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0368639851078235,0.0912890961409022,0.709393127518258,0.563640595922444
wrong_closed_rate_20_r14,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0388570115330334,0.0864539702594451,0.680301915787463,0.600389002396308
wrong_closed_rate_20_r15,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0339068289474775,0.0945564245482641,0.717259628151742,0.552531355844004
wrong_closed_rate_20_r16,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0622145936537803,0.0716525435000361,0.591222967473745,0.704678214257004
wrong_closed_rate_20_r17,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0280828683070469,0.096542821464966,0.741016060823278,0.519490693654972
wrong_closed_rate_20_r18,wrong_closed,20,0,7,0.264442,1,0,REJECTED,1,0,0.087132659407647,0.0590935482364035,0.501972448343105,0.79266595538791
wrong_closed_rate_20_r19,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0714528382047939,0.0662705506353539,0.555901183494637,0.741500715478401
wrong_closed_rate_20_r20,wrong_closed,20,0,7,0.264442,1,0,REJECTED,1,0,0.0876408594117401,0.057272045672408,0.48619983638405,0.80550662837624
