sample,parameter_error,length_error_percent,load_error_percent,distance,relative_distance,margin,confidence,entropy,candidate_set_size,decision_state,best_is_truth,false_unique
length_-10_load_+04.17_r09,-10,-10,4.17315414838561,0.363629551081184,1.2140130910598,5.55111512312578e-17,0.239978111257867,0.89379769706372,0,REJECTED,0,0
length_-10_load_-15.85_r10,-10,-10,-15.8486342716074,0.366639063973459,1.21131567759708,0,0.238379160073177,0.897305008111124,0,REJECTED,0,0
length_-05_load_+10.69_r01,-5,-5,10.6946093911544,0.251564093206717,0.862543642544835,0,0.186294245630359,0.957990264265279,0,REJECTED,0,0
length_-05_load_-14.83_r02,-5,-5,-14.8347662352057,0.253680754938416,0.845767430844135,0,0.186282034817685,0.956836118564586,0,REJECTED,0,0
length_-05_load_+03.28_r03,-5,-5,3.27979061123541,0.253344219679627,0.860726878117538,0,0.186211036062148,0.957812936139859,0,REJECTED,0,0
length_-05_load_-03.30_r04,-5,-5,-3.29742122972355,0.252505930547687,0.854917008071194,0,0.186973910456556,0.956799768514071,0,REJECTED,0,0
length_-05_load_-06.05_r05,-5,-5,-6.04927084802199,0.25442974752578,0.856205279427322,0,0.187454879469203,0.956678110745091,0,REJECTED,0,0
length_-05_load_-06.74_r06,-5,-5,-6.7416582881835,0.254163293801045,0.853591891964402,5.55111512312578e-17,0.186725678439851,0.957324169077433,0,REJECTED,0,0
length_-05_load_+13.22_r07,-5,-5,13.2215357135064,0.252504933613796,0.864827242287416,5.55111512312578e-17,0.184607676027139,0.958933013592242,0,REJECTED,0,0
length_-05_load_+05.39_r08,-5,-5,5.38509718068563,0.253080362981341,0.860365908805486,0,0.188176230711526,0.956707324226628,0,REJECTED,0,0
length_-05_load_-12.86_r09,-5,-5,-12.8623986246187,0.254301580428932,0.851872255989026,0,0.188089084938748,0.956303289123226,0,REJECTED,0,0
length_-05_load_-16.77_r10,-5,-5,-16.7730665586308,0.256124850352516,0.856161154191845,5.55111512312578e-17,0.186919883804586,0.957091067879614,0,REJECTED,0,0
length_+00_load_-10.43_r01,0,0,-10.428793100537,0.0109906231135973,0.0375991927808113,0.112960847516365,0.745399891014642,0.515087250591681,1,UNIQUE_CONFIDENT,1,0
