scenario,sample,method,candidate_count,candidate_library_hash,truth_signature,truth_in_library,best_is_truth,correct_unique,false_unique,library_outside,parameter_outside,is_nonunique_control,decision_state,candidate_set_size,truth_in_candidate_set,distance,margin,top1_confidence,normalized_entropy,domain_relative_distance,domain_threshold,scoring_time_s,length_error_percent,load_error_percent,best_main_scale,best_branch_load_scale
parameter_replay,length_-10_load_+09.49_r02,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.00940726254953579,0.113756323651159,0.839707396433847,0.363447417889024,0.0316259521812041,0.411592377117292,0.00033,-10,9.49002570494446,0.9,1.1
parameter_replay,length_-10_load_+02.12_r03,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.36393421791522,5.55111512312578e-17,0.239174954485973,0.895155872867446,1.21497508073013,0.325221880007119,0.000424,-10,2.12017388638381,NaN,NaN
parameter_replay,length_-10_load_+02.12_r03,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.00946325880792465,0.116894599097639,0.84897371053114,0.347734563489059,0.0315925875285703,0.411592377117292,0.000323,-10,2.12017388638381,0.9,1
parameter_replay,length_-10_load_-08.40_r04,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.365036289526093,0,0.238645636835034,0.897288961612172,1.21348386335324,0.325221880007119,0.000415,-10,-8.40097406960634,NaN,NaN
parameter_replay,length_-10_load_-08.40_r04,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.00928554081967006,0.11850580081519,0.85183694000518,0.342624825858314,0.0308677637552308,0.411592377117292,0.000318,-10,-8.40097406960634,0.9,0.9
parameter_replay,length_-10_load_-07.54_r05,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.363311326444833,5.55111512312578e-17,0.239767627292627,0.895452009847026,1.2122192600166,0.325221880007119,0.000434,-10,-7.54331744357669,NaN,NaN
parameter_replay,length_-10_load_-07.54_r05,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.00938976186626305,0.116595030649622,0.846139689252851,0.352352974965607,0.0313297421598054,0.411592377117292,0.000342,-10,-7.54331744357669,0.9,0.9
parameter_replay,length_-10_load_+19.50_r06,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.360858265870661,5.55111512312578e-17,0.23980143518481,0.894465449394978,1.21940262180834,0.325221880007119,0.000495,-10,19.499210252254,NaN,NaN
parameter_replay,length_-10_load_+19.50_r06,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.00932067647704684,0.115113271050041,0.845845991420372,0.353405393966786,0.0314961812104143,0.411592377117292,0.000347,-10,19.499210252254,0.9,1.2
parameter_replay,length_-10_load_+15.83_r07,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.362218385415054,0,0.239385744452839,0.895188937142257,1.21514951694869,0.325221880007119,0.000456,-10,15.8258781612457,NaN,NaN
