sample_id,method_id,decision,topology_status,topology_set,decision_reason,best_topology_id,accepted_topology_set,accepted_member_count,evaluated_member_count,parameter_domain_status,best_distance,second_distance,margin,rho,compatibility_hash,calibration_hash,profile_evaluated,profile_computed,profile_reliable,profile_calibration_status,profile_source_file
pilot_G005_branch_load_scale_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.0963942024866699,0.131088717741965,0.0346945152552952,0.735335611991238,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_load_scale_near_lower_01.mat
pilot_G005_branch_load_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.134068594819592,0.155327306429742,0.0212587116101496,0.863136031264222,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_load_scale_near_upper_02.mat
pilot_G005_branch_load_scale_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.143562930286093,0.162355576647274,0.018792646361182,0.884250071662804,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_load_scale_medium_lower_03.mat
pilot_G005_branch_load_scale_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.123912982126715,0.149730153995636,0.025817171868921,0.827575333486259,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_load_scale_far_upper_04.mat
pilot_G005_source_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.133021136269768,0.153702981978643,0.0206818457088757,0.865442781633119,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_source_impedance_ohm_near_lower_01.mat
pilot_G005_source_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,reject_low_stability,reject_low_stability,"",contiguous-block selection stability below frozen threshold,G002,"",0,0,parameter_not_evaluated,0.151912868618527,0.167482342934982,0.0155694743164557,0.907038114916944,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G005_source_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.0235575072919908,0.0918479365110752,0.0682904292190844,0.256483794700099,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_source_impedance_ohm_medium_lower_03.mat
pilot_G005_source_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.0409469488351509,0.108476706589258,0.0675297577541074,0.377472271441804,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_source_impedance_ohm_far_upper_04.mat
pilot_G005_receiver_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.103011537337818,0.127037079917473,0.0240255425796547,0.810877716993548,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_receiver_impedance_ohm_near_lower_01.mat
pilot_G005_receiver_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.0649094990449278,0.127873427217106,0.0629639281721777,0.507607408802892,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_receiver_impedance_ohm_near_upper_02.mat
