frequency_hz,ideal_R0G0_HV_mag_dB,ideal_R0G0_HV_phase_deg,ideal_R0G0_Hport_mag_dB,ideal_R0G0_Hport_phase_deg,lossy_kG1_HV_mag_dB,lossy_kG1_HV_phase_deg,lossy_kG1_Hport_mag_dB,lossy_kG1_Hport_phase_deg,lossy_kG5_HV_mag_dB,lossy_kG5_HV_phase_deg,lossy_kG5_Hport_mag_dB,lossy_kG5_Hport_phase_deg
27346360.527601369,-19.494184342506863,-1551.1019568345023,-13.473584429227241,-1551.1019568345023,-21.028079629949229,-1559.5652744001761,-15.007479716669605,-1559.5652744001761,-28.960329360211624,-1576.8671360355158,-22.939729446931999,-1576.8671360355158
27360039.081582803,-19.43361680988798,-1551.4326446289163,-13.413016896608356,-1551.4326446289163,-20.983912680029849,-1560.0664503891951,-14.963312766750224,-1560.0664503891951,-28.951218646304145,-1577.5960908529987,-22.930618733024524,-1577.5960908529987
27373717.635564242,-19.371738849097554,-1551.7676048645471,-13.351138935817932,-1551.7676048645471,-20.938915634452023,-1560.5719296565367,-14.918315721172398,-1560.5719296565367,-28.941960078949581,-1578.3263382742505,-22.921360165669959,-1578.3263382742505
27387396.189545676,-19.308544702365356,-1552.1069775387627,-13.287944789085731,-1552.1069775387627,-20.893094038185129,-1561.081824543568,-14.872494124905504,-1561.081824543568,-28.932557335165075,-1579.0578939579682,-22.91195742188545,-1579.0578939579682
27401074.743527114,-19.244028566221342,-1552.4509070509873,-13.223428652941715,-1552.4509070509873,-20.84645373844112,-1561.5962489409235,-14.825853825161502,-1561.5962489409235,-28.923014135994492,-1579.7907730560607,-22.902414222714867,-1579.7907730560607
27414753.297508549,-19.178184604824587,-1552.7995423911045,-13.157584691544963,-1552.7995423911045,-20.799000901654164,-1562.1153183003175,-14.778400988374539,-1562.1153183003175,-28.913334245085473,-1580.5249902061507,-22.892734331805848,-1580.5249902061507
27428431.851489983,-19.111006964527672,-1553.1530373351793,-13.090407051248047,-1553.1530373351793,-20.75074203113866,-1562.639149643159,-14.730142117859035,-1562.639149643159,-28.903521467224969,-1581.2605595241698,-22.882921553945344,-1581.2605595241698
27442110.405471422,-19.042489789785861,-1553.5115506487393,-13.021889876506238,-1553.5115506487393,-20.701683985442344,-1563.1678615656638,-14.681084072162719,-1563.1678615656638,-28.893579646832563,-1581.9974945970591,-22.872979733552942,-1581.9974945970591
27455788.959452856,-18.972627240528233,-1553.8752462978478,-12.95202732724861,-1553.8752462978478,-20.651833997408371,-1563.7015742401504,-14.631234084128746,-1563.7015742401504,-28.883512666411313,-1582.7358084755861,-22.862912753131695,-1582.7358084755861
27469467.513434295,-18.90141351111847,-1554.2442936681948,-12.880813597838845,-1554.2442936681948,-20.601199693959813,-1564.24040941218,-14.58059978068019,-1564.24040941218,-28.873324444955266,-1583.4755136672939,-22.852724531675641,-1583.4755136672939
27483146.067415729,-18.828842851043607,-1554.6188677924135,-12.808242937763982,-1554.6188677924135,-20.549789116618907,-1564.7844903931632,-14.529189203339284,-1564.7844903931632,-28.863018936313587,-1584.2166221295904,-22.842419023033965,-1584.2166221295904
27496824.621397167,-18.754909587479961,-1554.9991495858194,-12.734309674200336,-1554.9991495858194,-20.497610742770625,-1565.3339420480565,-14.477010829491002,-1565.3339420480565,-28.852600127510932,-1584.9591452629904,-22.832000214231307,-1584.9591452629904
27510503.175378602,-18.679608149897156,-1555.385326090746,-12.659008236617531,-1555.385326090746,-20.444673507678726,-1565.888890777723,-14.424073594399101,-1565.888890777723,-28.842072037023662,-1585.7030939045305,-22.821472123744037,-1585.7030939045305
27524181.72936004,-18.602933096875368,-1555.7775907296266,-12.582333183595747,-1555.7775907296266,-20.390986827259621,-1566.4494644955219,-14.370386913979999,-1566.4494644955219,-28.831438713011835,-1586.4484783213629,-22.81083879973221,-1586.4484783213629
27537860.283341475,-18.524879145324753,-1556.1761435669364,-12.504279232045132,-1556.1761435669364,-20.33656062161733,-1567.015792597653,-14.315960708337707,-1567.015792597653,-28.820704231507236,-1587.1953082045409,-22.800104318227614,-1587.1953082045409
27551538.837322913,-18.445441202309329,-1556.5811915800773,-12.424841289029704,-1556.5811915800773,-20.281405339337933,-1567.5880059267638,-14.260805426058308,-1567.5880059267638,-28.809872694556816,-1587.943592663021,-22.789272781277191,-1587.943592663021
27565217.391304348,-18.364614399697011,-1556.992948939233,-12.34401448641739,-1556.992948939233,-20.225531982540655,-1568.1662367282886,-14.204932069261032,-1568.1662367282886,-28.798948228322416,-1588.6933402178827,-22.778348315042795,-1588.6933402178827
27578895.945285782,-18.28239413187125,-1557.4116372961805,-12.261794218591625,-1557.4116372961805,-20.168952132676079,-1568.750618598973,-14.148352219396456,-1568.750618598973,-28.787934981136452,-1589.4445587967928,-22.767335067856827,-1589.4445587967928
27592574.49926722,-18.198776096761648,-1557.837486081957,-12.178176183482023,-1557.837486081957,-20.111677977059337,-1569.3412864269917,-14.091078063779715,-1569.3412864269917,-28.776837121514241,-1590.1972557287131,-22.756237208234616,-1590.1972557287131
27606253.053248655,-18.113756340467422,-1558.2707328132303,-12.093156427187798,-1558.2707328132303,-20.053722336119936,-1569.9383763230494,-14.033122422840316,-1569.9383763230494,-28.76565883612319,-1590.9514377388887,-22.745058922843565,-1590.9514377388887
27619931.607230093,-18.027331305770961,-1558.7116234071134,-12.006731392491339,-1558.7116234071134,-19.995098691343806,-1570.5420255418292,-13.974498778064184,-1570.5420255418292,-28.754404327709636,-1591.7071109441074,-22.733804414430018,-1591.7071109441074
27633610.161211528,-17.939497884859634,-1559.1604125040578,-11.918897971580007,-1559.1604125040578,-19.935821213877922,-1571.1523723931048,-13.915221300598299,-1571.1523723931048,-28.743077812983802,-1592.4642808482679,-22.722477899704177,-1592.4642808482679
27647288.715192966,-17.850253476597764,-1559.6173637983532,-11.829653563318143,-1559.6173637983532,-19.875904793759002,-1571.7695561418268,-13.855304880479375,-1571.7695561418268,-28.731683520463669,-1593.222952338255,-22.711083607184044,-1593.222952338255
27660967.269174401,-17.759596048716144,-1560.0827503756,-11.738996135436519,-1560.0827503756,-19.815365069721832,-1572.3937168964512,-13.794765156442208,-1572.3937168964512,-28.720225688278937,-1593.9831296801451,-22.699625774999312,-1593.9831296801451
27674645.823155839,-17.667524205310169,-1560.5568550563719,-11.646924292030544,-1560.5568550563719,-19.754218459531849,-1573.0249954847618,-13.733618546252224,-1573.0249954847618,-28.708708561935698,-1594.74481651576,-22.688108648656073,-1594.74481651576
27688324.377137274,-17.574037260068131,-1561.0399707450883,-11.553437346788506,-1561.0399707450883,-19.692482190779863,-1573.6635333163995,-13.67188227750024,-1573.6635333163995,-28.697136392043312,-1595.5080158595745,-22.676536478763687,-1595.5080158595745
27702002.931118712,-17.479135315675837,-1561.5324007829042,-11.458535402396212,-1561.5324007829042,-19.630174332063572,-1574.3094722313169,-13.60957441878395,-1574.3094722313169,-28.685513432004541,-1596.2727300960032,-22.664913518724916,-1596.2727300960032
27715681.485100146,-17.382819349874726,-1562.0344593031718,-11.362219436595101,-1562.0344593031718,-19.567313824471583,-1574.9629543333253,-13.546713911191961,-1574.9629543333253,-28.673843935670462,-1597.0389609770775,-22.65324402239084,-1597.0389609770775
27729360.039081585,-17.285091308679689,-1562.5464715877526,-11.264491395400063,-1562.5464715877526,-19.503920513272437,-1575.6241218079149,-13.483320599992814,-1575.6241218079149,-28.662132154961625,-1597.8067096205239,-22.641532241682,-1597.8067096205239
27743038.593063019,-17.185954207292269,-1563.0687744221225,-11.165354294012646,-1563.0687744221225,-19.440015179698005,-1576.293116723499,-13.419415266418381,-1576.293116723499,-28.650382337457149,-1598.5759765082653,-22.629782424177524,-1598.5759765082653
27756717.147044454,-17.085412239274874,-1563.6017164468626,-11.064812325995252,-1563.6017164468626,-19.375619572697019,-1576.970080815244,-13.355019659417396,-1576.970080815244,-28.638598723953514,-1599.3467614853571,-22.617998810673889,-1599.3467614853571
27770395.701025892,-16.983470894581426,-1564.1456585026933,-10.962870981301801,-1564.1456585026933,-19.31075644051883,-1577.6551552506355,-13.290156527239203,-1577.6551552506355,-28.626785545994927,-1600.1190637593704,-22.606185632715309,-1600.1190637593704
27784074.255007327,-16.880137087067983,-1564.7009739657469,-10.859537173788356,-1564.7009739657469,-19.24544956197272,-1578.3484803759407,-13.224849648693093,-1578.3484803759407,-28.614947023377443,-1600.8928819002333,-22.594347110097818,-1600.8928819002333
27797752.808988765,-16.775419292131577,-1565.2680490692537,-10.754819378851952,-1565.2680490692537,-19.179723777188681,-1579.0501954427632,-13.159123863909056,-1579.0501954427632,-28.603087361628774,-1601.6682138405595,-22.582487448349148,-1601.6682138405595
27811431.362970199,-16.66932769515256,-1565.8472832071946,-10.648727781872935,-1565.8472832071946,-19.113605017691008,-1579.7604383138771,-13.093005104411382,-1579.7604383138771,-28.591210749466349,-1602.4450568764523,-22.570610836186724,-1602.4450568764523
27825109.916951638,-16.561874351431456,-1566.4390892148272,-10.541274438151831,-1566.4390892148272,-19.047120335573986,-1580.4793451475994,-13.026520422294363,-1580.4793451475994,-28.579321356235834,-1603.2234076688189,-22.558721442956212,-1603.2234076688189
27838788.470933072,-16.453073358329419,-1567.0438936202361,-10.432473445049792,-1567.0438936202361,-18.980297931551778,-1581.2070500599871,-12.959698018272155,-1581.2070500599871,-28.567423329332705,-1604.0032622451943,-22.546823416053083,-1604.0032622451943
27852467.024914511,-16.342941040326217,-1567.6621368602193,-10.322341127046595,-1567.6621368602193,-18.913167181633209,-1581.9436847642082,-12.892567268353584,-1581.9436847642082,-28.555520791609645,-1604.784616002092,-22.53492087833002,-1604.784616002092
27866145.578895945,-16.231496147711649,-1568.2942734529076,-10.210896234432024,-1568.2942734529076,-18.845758662151233,-1582.6893781865288,-12.82515874887161,-1582.6893781865288,-28.543617838772413,-1605.5674637078878,-22.523017925492791,-1605.5674637078878
27879824.132877383,-16.118760069611611,-1568.9407721184919,-10.098160156331987,-1568.9407721184919,-18.778104172856203,-1583.4442560584225,-12.757504259576582,-1583.4442560584225,-28.531718536767126,-1606.3517995062505,-22.511118623487501,-1606.3517995062505
27893502.686858818,-16.004757062027647,-1569.6021158382973,-9.9841571487480216,-1569.6021158382973,-18.710236757760224,-1584.2084404844468,-12.689636844480603,-1584.2084404844468,-28.519826919162028,-1607.1376169201274,-22.49922700588241,-1607.1376169201274
27907181.240840252,-15.889514491524546,-1570.2788018412323,-9.8689145782449206,-1570.2788018412323,-18.642190723398045,-1584.9820494856351,-12.621590810118423,-1584.9820494856351,-28.507946984526701,-1607.9249088562924,-22.487347071247076,-1607.9249088562924
27920859.794821691,-15.773063095139941,-1570.9713415052863,-9.7524631818603176,-1570.9713415052863,-18.574001654149054,-1585.7651965183204,-12.553401740869427,-1585.7651965183204,-28.496082693812088,-1608.7136676104687,-22.475482780532467,-1608.7136676104687
27934538.348803125,-15.655437257004593,-1571.680260160301,-9.6348373437249695,-1571.680260160301,-18.505706424244529,-1586.5579899684574,-12.485106510964904,-1586.5579899684574,-28.484237967734607,-1609.5038848730223,-22.463638054454982,-1609.5038848730223
27948216.902784564,-15.536675302044731,-1572.4060967766952,-9.5160753887651062,-1572.4060967766952,-18.437343206063563,-1587.3605326217194,-12.416743292783941,-1587.3605326217194,-28.472416684167648,-1610.2955517352464,-22.451816770888023,-1610.2955517352464
27961895.456765998,-15.416819806992804,-1573.149403523146,-9.3962198937131785,-1573.149403523146,-18.368951474303682,-1588.1729211098468,-12.348351561024058,-1588.1729211098468,-28.460622675544069,-1611.088658696232,-22.440022762264444,-1611.088658696232
27975574.010747436,-15.295917928741311,-1573.910745174504,-9.2753180154616892,-1573.910745174504,-18.300572005594603,-1588.9952453339738,-12.27997209231498,-1588.9952453339738,-28.448859726273223,-1611.8831956703298,-22.428259812993602,-1611.8831956703298
27989252.564728871,-15.174021749842947,-1574.6906983493752,-9.1534218365633233,-1574.6906983493752,-18.232246873109975,-1589.8275878659135,-12.21164695983035,-1589.8275878659135,-28.437131570176106,-1612.6791519952103,-22.416531656896481,-1612.6791519952103
28002931.118710309,-15.051188640670869,-1575.4898505549447,-9.0305887273912475,-1575.4898505549447,-18.164019435719535,-1590.6700233286808,-12.143419522439912,-1590.6700233286808,-28.425441887942281,-1613.4765164405189,-22.404841974662656,-1613.4765164405189
28016609.672691744,-14.927481637406734,-1576.308799014736,-8.9068817241271105,-1576.308799014736,-18.095934321216347,-1591.5226177578381,-12.075334407936724,-1591.5226177578381,-28.413794304612551,-1614.275277217132,-22.393194391332926,-1614.275277217132
28030288.226673182,-14.80296983460719,-1577.148149253122,-8.7823699213275646,-1577.148149253122,-18.028037403149341,-1592.3854279455854,-12.007437489869716,-1592.3854279455854,-28.402192387090853,-1615.0754219870084,-22.381592473811228,-1615.0754219870084
28043966.780654617,-14.677728790608773,-1578.008513408658,-8.6571288773291482,-1578.008513408658,-17.960375770792243,-1593.2585007698792,-11.93977585751262,-1593.2585007698792,-28.390639641689567,-1615.8769378736367,-22.370039728409942,-1615.8769378736367
28057645.334636051,-14.551840943452346,-1578.8905082466883,-8.5312410301727226,-1578.8905082466883,-17.892997691784235,-1594.1418725112474,-11.87239777850461,-1594.1418725112474,-28.379139511711703,-1616.6798114730793,-22.358539598432081,-1616.6798114730793
28071323.888617489,-14.425396034344649,-1579.7947528403142,-8.4047961210650239,-1579.7947528403142,-17.825952566992061,-1595.0355681603482,-11.80535265371244,-1595.0355681603482,-28.367695375074224,-1617.4840288656007,-22.347095461794602,-1617.4840288656007
28085002.442598924,-14.29849153490534,-1580.7218658878171,-8.2778916216257166,-1580.7218658878171,-17.759290877159,-1595.9396007197536,-11.738690963879375,-1595.9396007197536,-28.356310541976228,-1618.289575627884,-22.335710628696603,-1618.289575627884
28098680.996580362,-14.171233073580998,-1581.6724626341399,-8.1506331603013731,-1581.6724626341399,-17.693064120933492,-1596.8539705038545,-11.672464207653865,-1596.8539705038545,-28.344988252615813,-1619.0964368458217,-22.324388339336188,-1619.0964368458217
28112359.550561797,-14.043734855635247,-1582.6471513641395,-8.0231349423556217,-1582.6471513641395,-17.627324743904136,-1597.7786644411974,-11.606724830624513,-1597.7786644411974,-28.333731674959687,-1619.9045971278786,-22.313131761680062,-1619.9045971278786
28126038.104543235,-13.916120070044274,-1583.6465294363222,-7.8955201567646487,-1583.6465294363222,-17.562126058309357,-1598.7136553840123,-11.541526145029735,-1598.7136553840123,-28.322543902569176,-1620.7140406190126,-22.301943989289551,-1620.7140406190126
28139716.65852467,-13.788521275452341,-1584.6711788277537,-7.767921362172717,-1584.6711788277537,-17.49752215314221,-1599.6589014301007,-11.476922239862589,-1599.6589014301007,-28.311427952486731,-1621.5247510151478,-22.290828039207106,-1621.5247510151478
28153395.212506108,-13.661080756076036,-1585.721661164077,-7.6404808427964133,-1585.721661164077,-17.433567794431536,-1600.6143452626495,-11.412967881151911,-1600.6143452626495,-28.30038676318641,-1622.3367115781834,-22.279786849906792,-1622.3367115781834
28167073.766487543,-13.533950837114087,-1586.7985122133218,-7.513350923834464,-1586.7985122133218,-17.370318315551472,-1601.57991351394,-11.349718402271849,-1601.57991351394,-28.289423192592274,-1623.1499051515339,-22.268823279312649,-1623.1499051515339
28180752.320468981,-13.407294147844159,-1587.9022358286556,-7.3866942345645352,-1587.9022358286556,-17.307829497492094,-1602.5555161592454,-11.28722958421247,-1602.5555161592454,-28.278540016168368,-1623.9643141761719,-22.257940102888742,-1623.9643141761719
28194430.874450415,-13.281283819209456,-1589.033297333709,-7.2606839059298327,-1589.033297333709,-17.24615743911351,-1603.5410459475379,-11.225557525833887,-1603.5410459475379,-28.267739925083795,-1624.779920707171,-22.247140011804177,-1624.779920707171
28208109.42843185,-13.15610360136577,-1590.1921163548236,-7.1355036880861444,-1590.1921163548236,-17.185358417506556,-1604.536377875869,-11.164758504226933,-1604.536377875869,-28.257025524456356,-1625.5967064307347,-22.236425611176731,-1625.5967064307347
28221787.982413288,-13.031947885438965,-1591.379059117691,-7.011347972159343,-1591.379059117691,-17.125488738691068,-1605.5413687144714,-11.104888825411443,-1605.5413687144714,-28.246399331678372,-1626.4146526816719,-22.225799418398747,-1626.4146526816719
28235466.536394723,-12.909021612704876,-1592.5944302416347,-6.888421699425253,-1592.5944302416347,-17.066604578999488,-1606.5558565897679,-11.046004665719863,-1606.5558565897679,-28.235863774827777,-1627.2337404613277,-22.215263861548152,-1627.2337404613277
28249145.090376161,-12.787540053650076,-1593.8384640831482,-6.766940140370453,-1593.8384640831482,-17.008761817617394,-1607.5796606324807,-10.988161904337769,-1607.5796606324807,-28.225421191167786,-1628.0539504559292,-22.204821277888161,-1628.0539504559292
28262823.644357596,-12.667728438998582,-1595.1113157013242,-6.6471285257189585,-1595.1113157013242,-16.952015860881868,-1608.6125806979815,-10.931415947602245,-1608.6125806979815,-28.215073825738145,-1628.8752630553363,-22.19447391245852,-1628.8752630553363
28276502.198339034,-12.549821424916434,-1596.4130515412353,-6.5292215116368109,-1596.4130515412353,-16.896421459071334,-1609.6543971658607,-10.875821545791709,-1609.6543971658607,-28.204823830040972,-1629.6976583721662,-22.184223916761347,-1629.6976583721662
28290180.752320468,-12.434062375356689,-1597.7436399567687,-6.4134624620770655,-1597.7436399567687,-16.842032516556237,-1610.7048708253985,-10.821432603276616,-1610.7048708253985,-28.194673260823812,-1630.5211162612754,-22.174073347544187,-1630.5211162612754
28303859.306301907,-12.320702446002599,-1599.1029417212778,-6.300102532722974,-1599.1029417212778,-16.788901896314112,-1611.7637428532473,-10.768301983034487,-1611.7637428532473,-28.184624078962774,-1631.3456163395751,-22.164024165683148,-1631.3456163395751
28317537.860283341,-12.20999945662739,-1600.4907007018228,-6.1893995433477658,-1600.4907007018228,-16.737081219945445,-1612.8307348890833,-10.716481306665822,-1612.8307348890833,-28.174678148447914,-1632.1711380061433,-22.154078235168289,-1632.1711380061433
28331216.41426478,-12.102216542005117,-1601.9065348996692,-6.0816166287254934,-1601.9065348996692,-16.68662066445259,-1613.9055492143802,-10.666020751172967,-1613.9055492143802,-28.164837235473374,-1632.9976604626261,-22.144237322193749,-1632.9976604626261
28344894.968246214,-11.997620575862289,-1603.349928084554,-5.9770206625826638,-1603.349928084554,-16.637568757163137,-1614.9878690386572,-10.616968843883516,-1614.9878690386572,-28.155103007634288,-1633.8251627338823,-22.13450309435467,-1633.8251627338823
28358573.522227649,-11.896480367760326,-1604.8202222715995,-5.8758804544807024,-1604.8202222715995,-16.589972170286448,-1616.0773588966772,-10.569372257006824,-1616.0773588966772,-28.14547703323241,-1634.6536236888578,-22.124877119952785,-1634.6536236888578
28372252.076209087,-11.799064639228408,-1606.3166113056384,-5.7784647259487851,-1606.3166113056384,-16.543875516684444,-1617.1736651590836,-10.523275603404823,-1617.1736651590836,-28.13596078069212,-1635.4830220616529,-22.115360867412495,-1635.4830220616529
28385930.630190521,-11.705639792809034,-1607.8381358263214,-5.6850398795294126,-1607.8381358263214,-16.49932114851557,-1618.2764166578418,-10.478721235235945,-1618.2764166578418,-28.126555618088432,-1636.3133364727569,-22.105955704808807,-1636.3133364727569
28399609.18417196,-11.616467495754641,-1609.383679886741,-5.5958675824750168,-1609.383679886741,-16.456348960466105,-1619.3852254266656,-10.435749047186482,-1619.3852254266656,-28.117262812788269,-1637.1445454504201,-22.096662899508644,-1637.1445454504201
28413287.738153394,-11.53180210864846,-1610.9519694867367,-5.5112021953688366,-1610.9519694867367,-16.414996199319145,-1620.4996875553431,-10.39439628603952,-1620.4996875553431,-28.108083531206034,-1637.9766274521321,-22.087483617926409,-1637.9766274521321
28426966.292134833,-11.451887997853941,-1612.5415732581553,-5.4312880845743159,-1612.5415732581553,-16.375297281621069,-1621.6193841555591,-10.354697368341448,-1621.6193841555591,-28.09901883867461,-1638.8095608861777,-22.078418925394985,-1638.8095608861777
28440644.846116267,-11.376956778992763,-1614.1509055022857,-5.3563568657131402,-1614.1509055022857,-16.337283621191098,-1622.7438824344463,-10.316683707911473,-1622.7438824344463,-28.090069699432121,-1639.6433241332365,-22.069469786152496,-1639.6433241332365
28454323.400097705,-11.307224546113341,-1615.7782317293759,-5.2866246328337176,-1615.7782317293759,-16.300983468176938,-1623.8727368707557,-10.280383554897316,-1623.8727368707557,-28.081236976725286,-1640.4778955680008,-22.060637063445661,-1640.4778955680008
28468001.95407914,-11.242889147318982,-1617.4216767873056,-5.2222892340393585,-1617.4216767873056,-16.266421761290676,-1625.0054904871743,-10.245821848011051,-1625.0054904871743,-28.072521433029252,-1641.3132535807713,-22.051921519749627,-1641.3132535807713
28481680.508060578,-11.184127571865467,-1619.0792355928872,-5.1635276585858438,-1619.0792355928872,-16.233619994761519,-1626.1416762110518,-10.213020081481892,-1626.1416762110518,-28.063923730384232,-1642.1493765990101,-22.043323817104607,-1642.1493765990101
28495359.062042013,-11.131093515652378,-1620.7487863975377,-5.1104936023727534,-1620.7487863975377,-16.202596101419381,-1627.2808183145396,-10.181996188139754,-1627.2808183145396,-28.055444430848432,-1642.9862431088152,-22.034844517568814,-1642.9862431088152
28509037.616023447,-11.083915191263543,-1622.4281064328966,-5.0633152779839188,-1622.4281064328966,-16.173364353174222,-1628.4224339240504,-10.152764439894597,-1628.4224339240504,-28.047083997067194,-1643.8238316762772,-22.026484083787569,-1643.8238316762772
28522716.170004886,-11.042693445045531,-1624.1148896956302,-5.0220935317659068,-1624.1148896956302,-16.145935279984243,-1629.566034587936,-10.125335366704618,-1629.566034587936,-28.038842792957205,-1644.6621209687066,-22.01824287967758,-1644.6621209687066
28536394.72398632,-11.007500237116767,-1625.8067665488943,-4.9869003238371441,-1625.8067665488943,-16.120315608214668,-1630.7111278904235,-10.099715694935046,-1630.7111278904235,-28.030721084505551,-1645.5010897756742,-22.010121171225929,-1645.5010897756742
28550073.277967758,-10.978377530835242,-1627.5013247456743,-4.9577776175556174,-1627.5013247456743,-16.096508219078913,-1631.8572190991795,-10.075908305799288,-1631.8572190991795,-28.022719040681832,-1646.3407170298663,-22.00211912740221,-1646.3407170298663
28563751.831949193,-10.955336626493624,-1629.1961314208147,-4.9347367132139999,-1629.1961314208147,-16.074512127632477,-1633.0038128333379,-10.053912214352854,-1633.0038128333379,-28.01483673446257,-1647.1809818276915,-21.994236821182945,-1647.1809818276915
28577430.385930631,-10.938357960403327,-1630.8887555580318,-4.9177580471237023,-1630.8887555580318,-16.054322482557701,-1634.150414738581,-10.033722569278076,-1634.150414738581,-28.007074143966104,-1648.0218634496343,-21.986474230686479,-1648.0218634496343
28591108.939912066,-10.927391375781333,-1632.5767904179716,-4.9067914625017099,-1632.5767904179716,-16.035930586742275,-1635.2965331556688,-10.015330673462648,-1635.2965331556688,-27.999431153696349,-1648.863341380315,-21.978831240416731,-1648.863341380315
28604787.493893504,-10.922356856753217,-1634.2578754151093,-4.9017569434735933,-1634.2578754151093,-16.019323938417639,-1636.4416807690118,-9.9987240251380154,-1636.4416807690118,-27.991907555893476,-1649.7053953282295,-21.971307642613851,-1649.7053953282295
28618466.047874939,-10.92314570216084,-1635.9297169545916,-4.9025457888812154,-1635.9297169545916,-16.004486292392514,-1637.5853762220975,-9.9838863791128905,-1637.5853762220975,-27.98450305198946,-1650.548005245141,-21.963903138709835,-1650.548005245141
28632144.601856377,-10.929622102494182,-1637.590107783662,-4.9090221892145598,-1637.590107783662,-15.991397740693802,-1638.7271456871538,-9.9707978274141791,-1638.7271456871538,-27.977217254166046,-1651.3911513450985,-21.956617340886421,-1651.3911513450985
28645823.155837812,-10.941625071837461,-1639.2369444729768,-4.9210251585578364,-1639.2369444729768,-15.980034811717978,-1639.8665243770524,-9.9594348984383547,-1639.8665243770524,-27.970049687012786,-1652.2348141230552,-21.949449773733161,-1652.2348141230552
