domain,branch_length_m,fixed_rms_difference_ohm,repeat_count,method,truth_group,n,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,truth_covered_k,best_is_truth_k,mean_candidate_set_size,unique_k,ambiguous_k,low_confidence_k,rejected_k
on_grid,0.00025,0.0414859694311724,64,pair_likelihood_gap,WEAK_M3,100,90,0.9,0.825634338495087,0.944770862939325,6,0.06,0.0277861239631882,0.124768154458959,94,94,1.04,96,4,0,0
on_grid,0.00025,0.0414859694311724,256,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,195,200,1.1,0,25,169,6
on_grid,0.00025,0.0414859694311724,256,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,100,1.11,0,15,81,4
on_grid,0.00025,0.0414859694311724,256,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,100,1.09,0,10,88,2
on_grid,0.00025,0.0414859694311724,256,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.00025,0.0414859694311724,256,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.00025,0.0414859694311724,256,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.00025,0.0414859694311724,1024,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,195,200,0.975,0,0,193,7
on_grid,0.00025,0.0414859694311724,1024,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,100,0.98,0,0,98,2
on_grid,0.00025,0.0414859694311724,1024,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,100,0.97,0,0,95,5
on_grid,0.00025,0.0414859694311724,1024,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.00025,0.0414859694311724,1024,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.00025,0.0414859694311724,1024,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,1,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,195,142,1.95,0,192,0,8
on_grid,0.0005,0.0829697852914885,1,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,69,1.93,0,95,0,5
on_grid,0.0005,0.0829697852914885,1,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,73,1.97,0,97,0,3
on_grid,0.0005,0.0829697852914885,1,pair_likelihood_gap,ALL,200,38,0.19,0.141671715277907,0.250012387075998,6,0.03,0.0138203143401114,0.0638942924545191,194,142,1.78,44,156,0,0
on_grid,0.0005,0.0829697852914885,1,pair_likelihood_gap,WEAK_M1,100,16,0.16,0.100952884888048,0.244202693892702,6,0.06,0.0277861239631882,0.124768154458959,94,69,1.78,22,78,0,0
on_grid,0.0005,0.0829697852914885,1,pair_likelihood_gap,WEAK_M3,100,22,0.22,0.150012823846054,0.310703535149858,0,0,0,0.0369934982069855,100,73,1.78,22,78,0,0
on_grid,0.0005,0.0829697852914885,4,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,185,161,1.855,0,183,1,16
on_grid,0.0005,0.0829697852914885,4,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,84,1.9,0,94,0,6
on_grid,0.0005,0.0829697852914885,4,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,89,77,1.81,0,89,1,10
on_grid,0.0005,0.0829697852914885,4,pair_likelihood_gap,ALL,200,112,0.56,0.490716753346587,0.627021807488141,16,0.08,0.04984058588976,0.125989488267144,184,161,1.36,128,72,0,0
on_grid,0.0005,0.0829697852914885,4,pair_likelihood_gap,WEAK_M1,100,44,0.44,0.346720266301608,0.53771895348323,12,0.12,0.069994064370195,0.198120994267114,88,84,1.44,56,44,0,0
on_grid,0.0005,0.0829697852914885,4,pair_likelihood_gap,WEAK_M3,100,68,0.68,0.583373813895476,0.763308526750009,4,0.04,0.0156633039915476,0.098370714358879,96,77,1.28,72,28,0,0
on_grid,0.0005,0.0829697852914885,16,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,190,194,1.725,0,153,36,11
on_grid,0.0005,0.0829697852914885,16,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,97,1.68,0,69,27,4
on_grid,0.0005,0.0829697852914885,16,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,91,97,1.77,0,84,9,7
on_grid,0.0005,0.0829697852914885,16,pair_likelihood_gap,ALL,200,194,0.97,0.936105707545481,0.986179685659889,6,0.03,0.0138203143401114,0.0638942924545191,194,194,1,200,0,0,0
on_grid,0.0005,0.0829697852914885,16,pair_likelihood_gap,WEAK_M1,100,97,0.97,0.915480635709472,0.989745475975961,3,0.03,0.0102545240240389,0.0845193642905274,97,97,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,16,pair_likelihood_gap,WEAK_M3,100,97,0.97,0.915480635709472,0.989745475975961,3,0.03,0.0102545240240389,0.0845193642905274,97,97,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,64,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,190,200,1.05,0,20,166,14
on_grid,0.0005,0.0829697852914885,64,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,93,100,1.1,0,17,76,7
on_grid,0.0005,0.0829697852914885,64,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,100,1,0,3,90,7
on_grid,0.0005,0.0829697852914885,64,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.0005,0.0829697852914885,64,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,64,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,256,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,194,200,0.97,0,0,187,13
on_grid,0.0005,0.0829697852914885,256,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,100,0.97,0,0,93,7
on_grid,0.0005,0.0829697852914885,256,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,100,0.97,0,0,94,6
on_grid,0.0005,0.0829697852914885,256,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.0005,0.0829697852914885,256,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,256,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,1024,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,193,200,0.965,0,0,193,7
on_grid,0.0005,0.0829697852914885,1024,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,100,0.98,0,0,98,2
on_grid,0.0005,0.0829697852914885,1024,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,95,100,0.95,0,0,95,5
on_grid,0.0005,0.0829697852914885,1024,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.0005,0.0829697852914885,1024,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0005,0.0829697852914885,1024,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,1,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,191,180,1.88,0,182,10,8
on_grid,0.001,0.165938406629716,1,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,92,89,1.87,0,92,2,6
on_grid,0.001,0.165938406629716,1,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,91,1.89,0,90,8,2
on_grid,0.001,0.165938406629716,1,pair_likelihood_gap,ALL,200,132,0.66,0.591884955268363,0.722084540290912,4,0.02,0.00780442641634949,0.0502870869058264,196,180,1.32,136,64,0,0
on_grid,0.001,0.165938406629716,1,pair_likelihood_gap,WEAK_M1,100,67,0.67,0.573053437950905,0.754368772658719,3,0.03,0.0102545240240389,0.0845193642905274,97,89,1.3,70,30,0,0
on_grid,0.001,0.165938406629716,1,pair_likelihood_gap,WEAK_M3,100,65,0.65,0.55254443296888,0.736357517569025,1,0.01,0.00176743206414065,0.0544861961787052,99,91,1.34,66,34,0,0
on_grid,0.001,0.165938406629716,4,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,183,189,1.64,0,145,38,17
on_grid,0.001,0.165938406629716,4,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,94,96,1.58,0,64,30,6
on_grid,0.001,0.165938406629716,4,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,89,93,1.7,0,81,8,11
on_grid,0.001,0.165938406629716,4,pair_likelihood_gap,ALL,200,189,0.945,0.904213001227692,0.969014658296541,11,0.055,0.0309853417034589,0.0957869987723083,189,189,1,200,0,0,0
on_grid,0.001,0.165938406629716,4,pair_likelihood_gap,WEAK_M1,100,96,0.96,0.901629285641121,0.984336696008452,4,0.04,0.0156633039915476,0.098370714358879,96,96,1,100,0,0,0
on_grid,0.001,0.165938406629716,4,pair_likelihood_gap,WEAK_M3,100,93,0.93,0.862504852609265,0.965680738932727,7,0.07,0.0343192610672727,0.137495147390735,93,93,1,100,0,0,0
on_grid,0.001,0.165938406629716,16,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,195,200,1.085,0,22,173,5
on_grid,0.001,0.165938406629716,16,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,100,1.11,0,14,83,3
on_grid,0.001,0.165938406629716,16,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,100,1.06,0,8,90,2
on_grid,0.001,0.165938406629716,16,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.001,0.165938406629716,16,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,16,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,64,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,183,200,0.915,0,0,181,19
on_grid,0.001,0.165938406629716,64,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,100,0.98,0,0,96,4
on_grid,0.001,0.165938406629716,64,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,85,100,0.85,0,0,85,15
on_grid,0.001,0.165938406629716,64,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.001,0.165938406629716,64,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,64,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,256,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,188,200,0.94,0,0,188,12
on_grid,0.001,0.165938406629716,256,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,90,100,0.9,0,0,90,10
on_grid,0.001,0.165938406629716,256,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,100,0.98,0,0,98,2
on_grid,0.001,0.165938406629716,256,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.001,0.165938406629716,256,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,256,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,1024,stage7a4_four_state,ALL,200,196,0.98,0.949712913094174,0.992195573583651,0,0,0,0.0188453263772665,197,200,0.985,196,0,0,4
on_grid,0.001,0.165938406629716,1024,stage7a4_four_state,WEAK_M1,100,97,0.97,0.915480635709472,0.989745475975961,0,0,0,0.0369934982069855,98,100,0.98,97,0,0,3
on_grid,0.001,0.165938406629716,1024,stage7a4_four_state,WEAK_M3,100,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,100,0.99,99,0,0,1
on_grid,0.001,0.165938406629716,1024,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.001,0.165938406629716,1024,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.001,0.165938406629716,1024,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.002,0.331879075992818,1,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,191,196,1.81,0,171,15,14
on_grid,0.002,0.331879075992818,1,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,99,1.89,0,91,5,4
on_grid,0.002,0.331879075992818,1,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,93,97,1.73,0,80,10,10
on_grid,0.002,0.331879075992818,1,pair_likelihood_gap,ALL,200,189,0.945,0.904213001227692,0.969014658296541,3,0.015,0.00511423779325832,0.0431657287926902,197,196,1.04,192,8,0,0
on_grid,0.002,0.331879075992818,1,pair_likelihood_gap,WEAK_M1,100,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,100,99,1.01,99,1,0,0
