method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M3_frozen,in_domain_interior,average_candidate_set_size,298,210,1.41904761904762,NaN,NaN,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,topology_set_accuracy,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,accepted_coverage,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,topology_selective_risk,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,unique_output_precision,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,singleton_rate,3,7,0.428571428571429,0.15821985525147,0.749541635472343,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,ambiguous_set_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,equivalence_class_rate,4,7,0.571428571428571,0.250458364527657,0.84178014474853,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,rejection_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,false_unique_unconditional,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,symmetry_preserving_nominal,average_candidate_set_size,11,7,1.57142857142857,NaN,NaN,7,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,topology_set_accuracy,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,accepted_coverage,22,73,0.301369863013699,0.208225905791261,0.414373659013071,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,topology_selective_risk,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,unique_output_precision,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,singleton_rate,18,73,0.246575342465753,0.162044646480518,0.35644445344225,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,ambiguous_set_rate,0,73,0,0,0.0499920079557311,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,equivalence_class_rate,4,73,0.0547945205479452,0.0215124974156973,0.132589975421598,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,rejection_rate,51,73,0.698630136986301,0.585626340986929,0.791774094208739,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,false_unique_unconditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,structure_ood_false_acceptance,22,73,0.301369863013699,0.208225905791261,0.414373659013071,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,structure_out,average_candidate_set_size,26,73,0.356164383561644,NaN,NaN,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,topology_set_accuracy,144,210,0.685714285714286,0.620067862137868,0.744688347580113,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,accepted_coverage,144,210,0.685714285714286,0.620067862137868,0.744688347580113,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,topology_selective_risk,0,144,0,0,0.0259836371430367,144,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,unique_output_precision,51,51,1,0.929953380101469,1,51,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,singleton_rate,51,210,0.242857142857143,0.189817786156499,0.305135154233989,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,equivalence_class_rate,93,210,0.442857142857143,0.377299815888621,0.510467504198154,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,rejection_rate,66,210,0.314285714285714,0.255311652419887,0.379932137862132,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,false_unique_unconditional,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,parameter_ood_false_acceptance,144,210,0.685714285714286,0.620067862137868,0.744688347580113,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,average_candidate_set_size,237,210,1.12857142857143,NaN,NaN,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,topology_set_accuracy,374,427,0.875878220140515,0.841212943026696,0.903840703571396,427,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,accepted_coverage,457,500,0.914,0.886160188501443,0.935526857596392,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,topology_selective_risk,10,384,0.0260416666666667,0.0142056378609487,0.047266539180641,384,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,unique_output_precision,145,147,0.986394557823129,0.951754295438952,0.996260932721793,147,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,singleton_rate,210,500,0.42,0.377509351277402,0.463710543196446,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,ambiguous_set_rate,0,500,0,4.33680868994202e-19,0.00762434046155224,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,equivalence_class_rate,247,500,0.494,0.450390130919032,0.537701361166507,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,rejection_rate,43,500,0.086,0.0644731424036077,0.113839811498558,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,false_unique_unconditional,0,427,0,0,0.00891617726671204,427,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,parameter_ood_false_acceptance,177,210,0.842857142857143,0.787532454788261,0.885863624691088,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,structure_ood_false_acceptance,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,average_candidate_set_size,704,500,1.408,NaN,NaN,500,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,topology_set_accuracy,200,210,0.952380952380952,0.914577132446397,0.973931583533299,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,accepted_coverage,200,210,0.952380952380952,0.914577132446397,0.973931583533299,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,topology_selective_risk,0,200,0,1.73472347597681e-18,0.0188453263772666,200,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,unique_output_precision,80,80,1,0.954181870464473,1,80,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,singleton_rate,80,210,0.380952380952381,0.317968046577666,0.448213870269782,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,equivalence_class_rate,120,210,0.571428571428571,0.503805347808964,0.636485502082567,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,rejection_rate,10,210,0.0476190476190476,0.026068416466701,0.0854228675536029,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,false_unique_unconditional,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,in_domain_interior,average_candidate_set_size,320,210,1.52380952380952,NaN,NaN,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,topology_set_accuracy,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,symmetry_preserving_nominal,accepted_coverage,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
