sample_id,truth_set,truth_member_count,accepted_set,set_size,false_unique,hit,parameter_vector_hash,noiseless_cfr_hash
r1_nonunique_061,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,52d6fdad3a1ef297d1319d784df4c24fcf603085e8ee9c18acd822100f58e95a,e69737f483f47172309e6c683c0c02c24645134c291b992bafacb3a5be75c7e8
r1_nonunique_062,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,43c8b78ea1ea45ef30f8e47c57a5bd09dd4ef0a0bc40fb7e095bf8f9f2d6731f,f6016d2e9a890555988d07af9b2e1f643bdfb6e292ff64ed82276583ee763162
r1_nonunique_063,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,db670f778f7400f72573cdb0cb79d9eeb30742af5baa3fafd34a2e29392e0548,1350c8af6cf2967b2805b3706ef171b39e2be7d5106e712739e621e27491d384
r1_nonunique_064,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,032ffd5ad12f61c418f8a6d97e43ae23398b3712e0b773da933bc20bcf10c5d0,8c0d667d91b9b39b9f1cf3d8ecf86b1d6220edfaa3a3f13aa64d351873585c7b
r1_nonunique_065,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4d0457d8b07753bd1b6739ab85abded81544b6b52765194bc05b02cb09439577,de5029396ab792a18a95e2f527f416523470ec2b69ed36919cc45319b1b04c90
r1_nonunique_066,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,e2847a47c30c00f6bce6110be718eea2b1b3a6d5fa3f4df8cc3265b0cb7ddb08,9edbee864a2b592613fb1258f7a791153289f72f9f97fba2956183417f9a77fb
r1_nonunique_067,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,d035cf91a179673029d7e5d44eff37584ccafbd6eee3aff609fbc214de12ff04,fcf115c0a68feb51d606472caf8fa249acb3d989c52bc22246f2969d75243c64
r1_nonunique_068,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6c84c6491e4324931bf9a447999f0664aba2565dbceb054880ae174ddf05ddd2,904f3e8d93c70fe5fa80db51466c00fcb091b689abbc6a5cd879a9f16a841e49
r1_nonunique_069,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,57ce1dee3f1b3dc08296e3a9b72476b20ecb8543ba4c406d91484fa10dcb5397,3a9451fd8ac3bfbf30d37ad8dc8e35a17a8c7ae91e5ea2e0ab22a8bb958cb1aa
r1_nonunique_070,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,096740dc0640aa50c81f994c6b3012545f1fbea3bfe6a0553b0625ad2337e052,4e917fe9a55651e5822f119520f1a5650e5148682fc6a975dae56f0187767eb0
r1_nonunique_071,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,a49249cae8714ae25911b4e32117a9255f5299c4940c37eec7c3edc4def08313,76f8168b625b24afd55d781a6b80e495016a405f53c44aebf65a7382c976f775
r1_nonunique_072,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,bb7073ac057b522cdbfc0231d3174338809401a70aa51e176fb0347e17205abc,d722708fc2fd658a0feb489b1c01eebb4b55f7b8a7e9027b2671ae5b322fd2f2
r1_nonunique_073,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,5d6cab7ab506bb024e3b008d730ef391586d5d28c1e6c1eef7c9fa30f4856ead,50dae08a800c5b36df7efb09612a30712fa139bb08376820f35c493c8bd4f0bb
r1_nonunique_074,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,98fc5a4e8b1f7690702472837154cd1fb1ca0d855b85591d1b1714bb798f8947,26a060a83a5fa2dd24eb00ab17817b424deb6b7f813645d5589465067d1e9679
r1_nonunique_075,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,882bc7177a3be657c28ca8597e762c0af13f71e7249e881b081fa3a853054c9c,8b9f93f1ac3ee11299a976ee133248341386ad15647606b8e7a2763bf58383af
r1_nonunique_076,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,988b6f9601994901c634231a2b07ca351d122ed0fb75e4972b27f42250668e82,6de1ddec928e3eeb8a945700aa3a2d73f582a9608bf177638b3e21c53531d557
r1_nonunique_077,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,1590b88d2d928e4c2687f2f195f213bee8c783bdf4ee24d154f08e5aa711eaa9,ede010581a0e151b64a1b98671de0aa1f89bd2fdfc041a9be5598b1bc3eb1ba2
r1_nonunique_078,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,bd5cd8f35f4f7002ffca010c03f55fa4599efdf14b41a5596851b288b4acc996,2b1aeb245ae42e41271548e5c7cfc34acd218bde676941985bef1c232489e08a
r1_nonunique_079,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,d2cb01833f770792979550f299dc6f48c3d5600897798a53bd66ef46f868ff1e,8317021b81283c39172721e921ffa6146309b6e23ac72bc16a7551f3036433d5
r1_nonunique_080,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,06a75e9e1963a996756f8de5db053278f51a126c2968fa815f12cb9d27a679f5,9f91169c515615a4908c9ba409a91d565482038f90c26305d377a93775c4def5
r1_nonunique_081,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,13b258f4e7c2aace64b4f54b5fc32cc96436604e369e3a81235490ada05fcbec,ff2a36fccf67537ff933e8bce4d6f80675390dcf64b65872f29923797034f2bc
r1_nonunique_082,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4c4b06e36992243c2884439679f253a213c0e851a417205ad588a91de0e0125b,e41aabd044f2b7ed09ee4eda221724774eec1b73abbe189e37905959a27843b7
r1_nonunique_083,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,37c329185ebb30cd065bd698f65e0fa9889f5ad176d8011dae6d5ce63e2abfaa,9189df087933490d4be73c04b269f086e78a0e3a23ee76a691936ff3609fbb91
r1_nonunique_084,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,a4db096f93c4986e244789e75ee6f767a23df09ceb7e12feeaf5c9fb30587a82,7ce3d38bb9b3dce6907ae990ea14951c97dac13db15c6e201ed9b7aa4835d502
r1_nonunique_085,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,f801a676267988078dd00a6691774ceb651e56051cb373d1a02c530ecadd9f69,9b756e5f728383e07ea5ddba20fb13a0deae17f39942f980bd481e55f0fbb34f
r1_nonunique_086,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4a7880e808e40c31841424d7503c0819e56fea7d49f64c7112abccccf7dcbcad,d0f04ff3645381b95b14226e900544f833b839ec658cc0da77b4c3719583f91a
r1_nonunique_087,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,709925a1ffa022cd68ae298f5d0e495db24247d393f43ed677dfecdccd604f64,7b7dc5076f2576412e8aeb2903b74342f68b9b2fede38060352590099f93cfd2
r1_nonunique_088,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6b329e81c4c694a8ccb37cc30660c2946e2b24e811a12b712c0077fffec7a191,33244dff37fb12bc367ee16d949986d0d09383c600697a7b94a4efb197efff05
