cluster_id,truth_set,generation_mechanism,parameter_hash,observation_hash,same_theta_distance,profile_distance,profile_equivalent,tau_exact,tau_profile,independent
stage4a7_2_nonunique_0039,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,40db4e48c0ccff0185787436d59d92d6199f873e92a989acbabc1078ee91192a,ab2584baf6bfa69709232d4a7d0c4a1bf3caa181084f78fae157304c796396d2,9.86673000198084e-17,6.66305282742435e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0040,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,847f4b608e2e33656192a18f7c09f23d06669c4b98d578df64f5e7ab961b6b62,f60eafa2cc6e6e3b70f7887195b76df0fe3421515604a3443f9ac603e9933acc,1.01133667694705e-16,8.71264273496398e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0041,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0aa5968f1dcc25a31d16cab1c093d95c1631b8d942fbf2ac02e8fa3fa941bee5,0997fe5aad6d8789e3a8e9c1a98b3988469f676c2a4beb98706be6b478e3923b,8.89959492452158e-17,8.40640086138458e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0042,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,3df6f92f9fa0162c247473b413cc8cb2f6fcc480537d5238d17aa4c8a1704830,13dda18c2b3b7bb5818720e255bf1f005df346164448e445af2e2307c6941c21,9.64809037526961e-17,9.16966206475764e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0043,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,6bf3590619251d5d9d614558a4ebcc4e751e031e1210d631d8652f9d6618ab38,c620804d72ddde314af0fe7c78e5a59117ce2c82e2f5fed22a65adc9500a76b7,8.79623594838433e-17,8.38765973715761e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0044,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,5b284e7df54c94673c55dc229d016963bfd959634963ee7ff7ed2d5732ce9b69,0bd894d3822d36066ffefcc176ec52588141beb66e9a63bd433ef42b333f1ce0,1.04662001087558e-16,9.78898873306107e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0045,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,724e7b581356ee2d456e7b63df8fe967986f6f39dffb36a35df110a7ffbd4f45,17058f8e850775fb36636117ca924f59c9999c790eb953d939a66abda2701697,1.19584188946084e-16,9.50495817032245e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0046,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,a0a90846b8483b9b1b554eb8fdf6594cbeddf58517cc05575f9aea5512d2bb1e,084537394b0245c132f445795cf1343cedab9113ca951157b5412905113d8907,1.39739927749082e-16,1.05473008700291e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0047,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0f7c84098b98a1ed4c9ea9a7d1ebf01759061f0dc7b9f67df3f2b0c63fa6b690,4f9f953ccba530ba4bcde3902422e22c03e073fca14e95ce71a74c829c526786,1.0902631707571e-16,1.04818249741102e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0048,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,2631767d1f2abf953c6d453ce4539b1bfa09824e1fca16783709fadb646c1636,3b886fffd1a6bbd61e1d86d03c3460b889e674dc2000ba7c1221da586970895c,9.12095902262492e-17,8.18499929182437e-17,1,1e-10,1e-08,1
