method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,calibration_hash,scientific_hash
margin,structure_out,singleton_rate,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,structure_out,singleton_rate,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,structure_out,empty_set_rate,7,7,1,0.645669564933313,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,structure_out,empty_set_rate,7,7,1,0.645669564933313,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,structure_out,empty_set_rate,7,7,1,0.645669564933313,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,structure_out,empty_set_rate,7,7,1,0.645669564933313,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,structure_out,empty_set_rate,7,7,1,0.645669564933313,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,structure_out,average_set_size,0,7,0,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,structure_out,average_set_size,0,7,0,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,structure_out,average_set_size,0,7,0,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,structure_out,average_set_size,0,7,0,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,structure_out,average_set_size,0,7,0,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
