scenario,scheme,stage,library,truth_group,n,truth_in_library_n,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_k,ambiguous_k,low_confidence_k,rejected_k,nonempty_set_k,nonempty_set_rate,measurement_count,receiver_port_count,changes_termination
T20,A1_Zin_25,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_25,A1,diagnostic_pair,MIRROR_M3,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_Zin_25,A1,original_three,ALL,400,300,282,0.94,0.907160554847092,0.961713630475308,0.705,275,0.6875,0.640474450437718,0.730958439186921,0,0,0,0.00951229433429647,275,0,0,125,282,0.705,1,1,1
T20,A1_Zin_25,A1,original_three,G001,100,100,91,0.91,0.837737871472837,0.951927459997435,0.91,84,0.84,0.755797306107298,0.899047115111952,0,0,0,0.0369934982069855,84,0,0,16,91,0.91,1,1,1
T20,A1_Zin_25,A1,original_three,G002,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_Zin_25,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_25,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_Zin_25,A1,diagnostic_pair,ALL,200,200,191,0.955,0.916703295998181,0.976147456998507,0.955,191,0.955,0.916703295998181,0.976147456998507,0,0,0,0.0188453263772665,191,0,0,9,191,0.955,1,1,1
T20,A1_H_Zin_25,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_25,A1,diagnostic_pair,MIRROR_M3,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_H_Zin_25,A1,original_three,ALL,400,300,282,0.94,0.907160554847092,0.961713630475308,0.705,275,0.6875,0.640474450437718,0.730958439186921,0,0,0,0.00951229433429647,275,0,0,125,282,0.705,1,1,1
T20,A1_H_Zin_25,A1,original_three,G001,100,100,91,0.91,0.837737871472837,0.951927459997435,0.91,84,0.84,0.755797306107298,0.899047115111952,0,0,0,0.0369934982069855,84,0,0,16,91,0.91,1,1,1
T20,A1_H_Zin_25,A1,original_three,G002,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_H_Zin_25,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_25,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_100,A1,diagnostic_pair,ALL,200,200,181,0.905,0.856398388351801,0.938336897282613,1.81,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,176,10,14,186,0.93,1,1,1
T20,A1_H_100,A1,diagnostic_pair,G003,100,100,96,0.96,0.901629285641121,0.984336696008452,1.87,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,91,5,4,96,0.96,1,1,1
T20,A1_H_100,A1,diagnostic_pair,MIRROR_M3,100,100,85,0.85,0.767164404091677,0.906940147163434,1.75,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,85,5,10,90,0.9,1,1,1
T20,A1_H_100,A1,original_three,ALL,400,300,283,0.943333333333333,0.911134041977525,0.96432252353671,1.095,50,0.125,0.0961151232367639,0.161019097513958,0,0,0,0.00951229433429647,50,65,252,33,373,0.9325,1,1,1
T20,A1_H_100,A1,original_three,G001,100,100,91,0.91,0.837737871472837,0.951927459997435,0.91,50,0.5,0.403831530365996,0.596168469634004,0,0,0,0.0369934982069855,50,0,35,15,91,0.91,1,1,1
T20,A1_H_100,A1,original_three,G002,100,100,96,0.96,0.901629285641121,0.984336696008452,0.99,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,3,93,4,96,0.96,1,1,1
T20,A1_H_100,A1,original_three,G003,100,100,96,0.96,0.901629285641121,0.984336696008452,1.29,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,33,63,4,96,0.96,1,1,1
T20,A1_H_100,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,1.19,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,29,61,10,90,0.9,1,1,1
T20,A1_Zin_100,A1,diagnostic_pair,ALL,200,200,192,0.96,0.923067931799067,0.979594367933848,0.96,179,0.895,0.84481968008877,0.93029251207319,0,0,0,0.0188453263772665,179,0,0,21,192,0.96,1,1,1
T20,A1_Zin_100,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_100,A1,diagnostic_pair,MIRROR_M3,100,100,93,0.93,0.862504852609265,0.965680738932727,0.93,80,0.8,0.711170834406841,0.866633066668967,0,0,0,0.0369934982069855,80,0,0,20,93,0.93,1,1,1
T20,A1_Zin_100,A1,original_three,ALL,400,300,287,0.956666666666667,0.927282534365989,0.974503551915593,0.7175,281,0.7025,0.655945064886061,0.745202455908549,0,0,0,0.00951229433429647,281,0,0,119,287,0.7175,1,1,1
T20,A1_Zin_100,A1,original_three,G001,100,100,93,0.93,0.862504852609265,0.965680738932727,0.93,93,0.93,0.862504852609265,0.965680738932727,0,0,0,0.0369934982069855,93,0,0,7,93,0.93,1,1,1
T20,A1_Zin_100,A1,original_three,G002,100,100,95,0.95,0.888249530768081,0.978456320845632,0.95,89,0.89,0.813687034969197,0.937458036429354,0,0,0,0.0369934982069855,89,0,0,11,95,0.95,1,1,1
T20,A1_Zin_100,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_100,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_Zin_100,A1,diagnostic_pair,ALL,200,200,192,0.96,0.923067931799067,0.979594367933848,0.96,179,0.895,0.84481968008877,0.93029251207319,0,0,0,0.0188453263772665,179,0,0,21,192,0.96,1,1,1
T20,A1_H_Zin_100,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_100,A1,diagnostic_pair,MIRROR_M3,100,100,93,0.93,0.862504852609265,0.965680738932727,0.93,80,0.8,0.711170834406841,0.866633066668967,0,0,0,0.0369934982069855,80,0,0,20,93,0.93,1,1,1
T20,A1_H_Zin_100,A1,original_three,ALL,400,300,287,0.956666666666667,0.927282534365989,0.974503551915593,0.7175,281,0.7025,0.655945064886061,0.745202455908549,0,0,0,0.00951229433429647,281,0,0,119,287,0.7175,1,1,1
T20,A1_H_Zin_100,A1,original_three,G001,100,100,93,0.93,0.862504852609265,0.965680738932727,0.93,93,0.93,0.862504852609265,0.965680738932727,0,0,0,0.0369934982069855,93,0,0,7,93,0.93,1,1,1
T20,A1_H_Zin_100,A1,original_three,G002,100,100,95,0.95,0.888249530768081,0.978456320845632,0.95,89,0.89,0.813687034969197,0.937458036429354,0,0,0,0.0369934982069855,89,0,0,11,95,0.95,1,1,1
T20,A1_H_Zin_100,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_100,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_200,A1,diagnostic_pair,ALL,200,200,187,0.935,0.891980920700931,0.961623645350847,1.645,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,142,45,13,187,0.935,1,1,1
T20,A1_H_200,A1,diagnostic_pair,G003,100,100,95,0.95,0.888249530768081,0.978456320845632,1.75,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,80,15,5,95,0.95,1,1,1
T20,A1_H_200,A1,diagnostic_pair,MIRROR_M3,100,100,92,0.92,0.850018922990513,0.958906538515619,1.54,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,62,30,8,92,0.92,1,1,1
T20,A1_H_200,A1,original_three,ALL,400,300,281,0.936666666666667,0.903208687514478,0.959083117616085,1.25,43,0.1075,0.0807937204715945,0.141673430580828,0,0,0,0.00951229433429647,43,157,138,62,343,0.8575,1,1,1
T20,A1_H_200,A1,original_three,G001,100,100,89,0.89,0.813687034969197,0.937458036429354,0.89,43,0.43,0.337332985241101,0.527846104507877,0,0,0,0.0369934982069855,43,0,41,16,89,0.89,1,1,1
T20,A1_H_200,A1,original_three,G002,100,100,97,0.97,0.915480635709472,0.989745475975961,1.32,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,35,62,3,97,0.97,1,1,1
T20,A1_H_200,A1,original_three,G003,100,100,95,0.95,0.888249530768081,0.978456320845632,1.65,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,70,25,5,95,0.95,1,1,1
T20,A1_H_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,1.14,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,52,10,38,62,0.62,1,1,1
T20,A1_Zin_200,A1,diagnostic_pair,ALL,200,200,187,0.935,0.891980920700931,0.961623645350847,0.935,185,0.925,0.879956389763706,0.954025082815618,0,0,0,0.0188453263772665,185,0,0,15,187,0.935,1,1,1
T20,A1_Zin_200,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_200,A1,diagnostic_pair,MIRROR_M3,100,100,88,0.88,0.801879005732886,0.930005935629805,0.88,86,0.86,0.778628117890362,0.914736563400609,0,0,0,0.0369934982069855,86,0,0,14,88,0.88,1,1,1
T20,A1_Zin_200,A1,original_three,ALL,400,300,288,0.96,0.93139578796136,0.976972678512058,0.72,280,0.7,0.653362754222478,0.742832328043803,0,0,0,0.00951229433429647,280,0,0,120,288,0.72,1,1,1
T20,A1_Zin_200,A1,original_three,G001,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_Zin_200,A1,original_three,G002,100,100,97,0.97,0.915480635709472,0.989745475975961,0.97,89,0.89,0.813687034969197,0.937458036429354,0,0,0,0.0369934982069855,89,0,0,11,97,0.97,1,1,1
T20,A1_Zin_200,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_Zin_200,A1,diagnostic_pair,ALL,200,200,187,0.935,0.891980920700931,0.961623645350847,0.935,186,0.93,0.885945191143894,0.957847828171657,0,0,0,0.0188453263772665,186,0,0,14,187,0.935,1,1,1
T20,A1_H_Zin_200,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_200,A1,diagnostic_pair,MIRROR_M3,100,100,88,0.88,0.801879005732886,0.930005935629805,0.88,87,0.87,0.790196485599236,0.922428325727595,0,0,0,0.0369934982069855,87,0,0,13,88,0.88,1,1,1
T20,A1_H_Zin_200,A1,original_three,ALL,400,300,288,0.96,0.93139578796136,0.976972678512058,0.72,280,0.7,0.653362754222478,0.742832328043803,0,0,0,0.00951229433429647,280,0,0,120,288,0.72,1,1,1
T20,A1_H_Zin_200,A1,original_three,G001,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_H_Zin_200,A1,original_three,G002,100,100,97,0.97,0.915480635709472,0.989745475975961,0.97,89,0.89,0.813687034969197,0.937458036429354,0,0,0,0.0369934982069855,89,0,0,11,97,0.97,1,1,1
T20,A1_H_Zin_200,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,B_H50_repeat,B,diagnostic_pair,ALL,200,200,183,0.915,0.868104129284345,0.946254249822524,1.845,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,181,7,12,188,0.94,2,1,0
