frequency_hz,load5_HV_mag_dB,load5_HV_phase_deg,load5_Hport_mag_dB,load5_Hport_phase_deg,load50_HV_mag_dB,load50_HV_phase_deg,load50_Hport_mag_dB,load50_Hport_phase_deg,load150_HV_mag_dB,load150_HV_phase_deg,load150_Hport_mag_dB,load150_Hport_phase_deg,load1000_HV_mag_dB,load1000_HV_phase_deg,load1000_Hport_mag_dB,load1000_Hport_phase_deg,loadInf_HV_mag_dB,loadInf_HV_phase_deg,loadInf_Hport_mag_dB,loadInf_Hport_phase_deg
15856375.183194919,-13.592260171782971,-869.08596268556153,-7.5716602585033481,-869.08596268556153,-15.692878497443303,-882.07357180798238,-9.6722785841636778,-882.07357180798238,-18.480119875554365,-903.15813251281156,-12.45951996227474,-903.15813251281156,-21.221430152370374,-954.49016587966287,-15.200830239090751,-954.49016587966287,-20.847585871088196,-974.36545091575147,-14.826985957808571,-974.36545091575147
15870053.737176355,-13.467611605043889,-870.3675713841526,-7.4470116917642653,-870.3675713841526,-15.613767336643605,-883.15764812579835,-9.5931674233639797,-883.15764812579835,-18.453780689261848,-903.9380781151292,-12.433180775982224,-903.9380781151292,-21.286076308729349,-954.91744744479388,-15.265476395449724,-954.91744744479388,-20.932173965423758,-974.76842199149701,-14.911574052144134,-974.76842199149701
15883732.291157791,-13.344468283425686,-871.67758872059164,-7.3238683701460623,-871.67758872059164,-15.535980332403987,-884.25592962405722,-9.5153804191243641,-884.25592962405722,-18.427850589304832,-904.72084114563484,-12.40725067602521,-904.72084114563484,-21.349764528098095,-955.33953839487924,-15.329164614818474,-955.33953839487924,-21.015502167544003,-975.16713138211969,-14.99490225426438,-975.16713138211969
15897410.845139228,-13.223053147386771,-873.0161512544986,-7.2024532341071481,-873.0161512544986,-15.459612926868642,-885.36820599342843,-9.4390130135890189,-885.36820599342843,-18.402340906780957,-905.50630380469488,-12.381740993501335,-905.50630380469488,-21.412492190028189,-955.7565631586192,-15.391892276748562,-955.7565631586192,-21.097580853973916,-975.56172942928515,-15.076980940694291,-975.56172942928515
15911089.399120664,-13.103598170179566,-874.38330710900823,-7.0829982568999439,-874.38330710900823,-15.38476075271403,-886.49423020318648,-9.3641608394344047,-886.49423020318648,-18.377262339691924,-906.29434512727312,-12.356662426412301,-906.29434512727312,-21.474256924246845,-956.16864342344968,-15.453657010967222,-956.16864342344968,-21.178420318765326,-975.95236171379611,-15.157820405485703,-975.95236171379611
15924767.953102101,-12.986343619787078,-875.77900679206334,-6.965743706507455,-875.77900679206334,-15.311519254234236,-887.63371744635242,-9.2909193409546109,-887.63371744635242,-18.352624927379154,-907.08484114113924,-12.332025014099532,-907.08484114113924,-21.535056591495866,-956.57589819599514,-15.514456678216241,-956.57589819599514,-21.258030765533981,-976.33916926246036,-15.237430852254356,-976.33916926246036
15938446.507083537,-12.871537127119364,-877.2030940431506,-6.8509372138397389,-877.2030940431506,-15.239983282605344,-888.78634426984604,-9.219383369325719,-888.78634426984604,-18.328438026046733,-907.87766503550279,-12.307838112767111,-907.87766503550279,-21.594889265338288,-956.97844386330519,-15.574289352058663,-956.97844386330519,-21.336422300486451,-976.72228874604934,-15.315822387206826,-976.72228874604934
15952125.061064973,-12.759432548539586,-878.65529687915739,-6.7388326352599623,-878.65529687915739,-15.170246667376473,-889.95174791429361,-9.1496467540968478,-889.95174791429361,-18.304710285484759,-908.67268733967262,-12.284110372205134,-908.67268733967262,-21.653753214885597,-957.37639425465625,-15.633153301605972,-957.37639425465625,-21.413604926349802,-977.10185266872998,-15.393005013070177,-977.10185266872998
15965803.61504641,-12.650288614149826,-880.13521903822084,-6.6296887008702008,-880.13521903822084,-15.102401766782382,-891.1295258874552,-9.0818018535027587,-891.1295258874552,-18.281449627102042,-909.4697761113016,-12.26084971382242,-909.4697761113016,-21.711646888401013,-957.76986070373289,-15.69104697512139,-957.76986070373289,-21.489588537126096,-977.47798954935627,-15.468988623846469,-977.47798954935627
15979482.169027846,-12.544367357611623,-881.64233204338677,-6.5237674443319991,-881.64233204338677,-15.036539000031087,-892.31923579395345,-9.0159390867514659,-892.31923579395345,-18.258663223373226,-910.26879713369681,-12.238063310093601,-910.26879713369681,-21.768568897734617,-958.15895211101019,-15.747968984454994,-958.15895211101019,-21.5643829135986,-977.8508240949825,-15.543783000318976,-977.8508240949825
