candidate_id,nearest_pair_key,same_theta_nearest_candidate,same_theta_distance,same_theta_template_i,same_theta_template_j,same_theta_numerically_equivalent,numerical_tolerance,noise_resolution_threshold,cross_theta_scope,cross_theta_profile_distance,cross_theta_template_i,cross_theta_template_j,same_theta_complex_distance,same_theta_magnitude_distance,same_theta_phase_distance_rad,cross_theta_complex_distance,cross_theta_magnitude_distance,cross_theta_phase_distance_rad,cross_theta_numerically_equivalent,source_formal_experiment_hash
R21C_029,R21C_029|R21C_085,R21C_085,0.00724579406567745,142,142,0,1e-10,NaN,nearest_same_theta_pairs_only,2.55575808573487,9,3,0.00724579406567745,0.00211583676342205,0.02341874500609,0.00306074441759851,0.00174970913361614,0.00739095385889431,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_030,R21C_030|R21C_032,R21C_032,0.00553967470831299,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,0.758710732670407,36,3,0.00553967470831299,0.000591445454189844,0.0879816171039795,0.00464606515849618,0.002033531128879,0.104549558870749,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_031,R21C_031|R21C_087,R21C_087,0.0289247332915138,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.86195146506408,3,3,0.0289247332915138,0.0285355995858597,0.0166957417412557,0.0399292258692462,0.0391434644222238,0.025059221703666,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_032,R21C_030|R21C_032,R21C_030,0.00553967470831299,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,0.758710732670407,36,3,0.00553967470831299,0.000591445454189844,0.0879816171039795,0.00464606515849618,0.002033531128879,0.104549558870749,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_033,R21C_033|R21C_051,R21C_051,0.0284901289116258,19,19,0,1e-10,NaN,nearest_same_theta_pairs_only,1.37567050839623,3,9,0.0284901289116258,0.00618166616743207,0.243605990488684,0.0347759694245809,0.0101281768168055,0.371305790509405,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_034,R21C_034|R21C_055,R21C_055,0.0706728764025417,3,3,0,1e-10,NaN,nearest_same_theta_pairs_only,3.70255341766694,55,3,0.0706728764025418,0.0514021019429223,0.107098906410721,0.0136858119970265,0.0105931306024425,0.0231963158759432,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_035,R21C_035|R21C_050,R21C_050,0.029060103546294,19,19,0,1e-10,NaN,nearest_same_theta_pairs_only,1.63791386153393,88,2,0.029060103546294,0.00823030558605962,0.136419190253074,0.0323619626653849,0.0183102850184136,0.15892583494393,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_036,R21C_036|R21C_052,R21C_052,0.000924948714858588,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,1.823812499753,1,1,0.000924948714858588,0.000675547715650711,0.0024281296730268,0.000924948714858588,0.000675547715650711,0.0024281296730268,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_037,R21C_037|R21C_053,R21C_053,0.0374132641546347,55,55,0,1e-10,NaN,nearest_same_theta_pairs_only,3.69731918742859,28,1,0.0374132641546347,0.0190644041145088,0.0471543422653844,0.0351848654142619,0.0207035242824971,0.0420642204518917,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_038,R21C_020|R21C_038,R21C_020,0.0031920077969053,61,61,0,1e-10,NaN,nearest_same_theta_pairs_only,2.27321156846546,3,3,0.0031920077969053,0.00139573977951619,0.0113099253790074,0.00914842936921343,0.0074815046392465,0.0145094128328563,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_039,R21C_016|R21C_039,R21C_016,0.00372149335471022,57,57,0,1e-10,NaN,nearest_same_theta_pairs_only,1.60288275784331,3,3,0.00372149335471022,0.00288516464248593,0.0145867143954279,0.00809293476016787,0.00673014884919304,0.0137942027743797,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_040,R21C_017|R21C_040,R21C_017,0.00245675859922012,64,64,0,1e-10,NaN,nearest_same_theta_pairs_only,2.35310813689862,6,3,0.00245675859922012,0.00159982754702056,0.00888615123661736,0.0088066467101016,0.00742008089153431,0.0175842241080449,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_041,R21C_020|R21C_041,R21C_020,0.0137044639913178,46,46,0,1e-10,NaN,nearest_same_theta_pairs_only,2.26698867282433,3,9,0.0137044639913178,0.0115490605611311,0.0277304645517892,0.0202265112951646,0.0111149368094218,0.0917629006881142,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_042,R21C_042|R21C_044,R21C_044,0.00473002546644772,164,164,0,1e-10,NaN,nearest_same_theta_pairs_only,2.33363289717634,6,3,0.00473002546644772,0.00281279035220676,0.0187058772620503,0.00717109348106418,0.00520881163822172,0.0276541291758914,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_043,R21C_043|R21C_065,R21C_065,0.00311212288144443,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,3.97359636312223,3,3,0.00311212288144443,0.000942366689507022,0.0070045684567053,0.00317901600304188,0.000943906799437065,0.00758173767297261,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_044,R21C_042|R21C_044,R21C_042,0.00473002546644772,164,164,0,1e-10,NaN,nearest_same_theta_pairs_only,2.33363289717634,6,3,0.00473002546644772,0.00281279035220676,0.0187058772620503,0.00717109348106418,0.00520881163822172,0.0276541291758914,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_045,R21C_045|R21C_056,R21C_056,0.00143137265043535,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,4.1141954306171,3,3,0.00143137265043535,0.000683061346033219,0.00303698420068219,0.00157768189732545,0.0008598566761124,0.00338860392152741,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_046,R21C_046|R21C_065,R21C_065,0.0146492922145546,3,3,0,1e-10,NaN,nearest_same_theta_pairs_only,3.97359546527848,2,3,0.0146492922145546,0.0103064378250454,0.0200783111726415,0.00172360268743424,0.000841102359438323,0.00367583616977906,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_047,R21C_042|R21C_047,R21C_042,0.0116873139825755,75,75,0,1e-10,NaN,nearest_same_theta_pairs_only,2.20985515733712,3,3,0.0116873139825755,0.00971502680957939,0.0140706237596219,0.0153702810467715,0.0116657294948333,0.034717162999064,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_048,R21C_048|R21C_086,R21C_086,0.00404146884560975,79,79,0,1e-10,NaN,nearest_same_theta_pairs_only,2.36449183151768,6,3,0.00404146884560975,0.00271029508651753,0.0112757412003718,0.00349466374006052,0.00292874802886281,0.00699337487352269,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_049,R21C_049|R21C_063,R21C_063,0.0214659035991303,9,9,0,1e-10,NaN,nearest_same_theta_pairs_only,2.26492100662711,8,9,0.0214659035991303,0.0104179979902398,0.0946034506691929,0.0114434719216591,0.00508399604298175,0.0578037992000973,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_050,R21C_050|R21C_080,R21C_080,0.0140984070863562,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,1.600261461509,2,3,0.0140984070863562,0.0130591163536937,0.0250677262526864,0.00957304561379071,0.00826721177742503,0.030238763115458,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
