dataset,scenario,sample,observation_seed,candidate_count,true_main_scale_audit_only,baseline_truth_distance,baseline_truth_best_main_scale,baseline_truth_best_load_scale,stage7a_coarse_truth_distance,stage7a_coarse_truth_best_main_scale,stage7a_coarse_truth_best_load_scale,stage7a_exhaustive_truth_distance,stage7a_exhaustive_truth_best_main_scale,stage7a_exhaustive_truth_best_load_scale,exhaustive_minus_baseline_truth_distance,max_distance_error,truth_distance_error,top1_changed,candidate_set_changed,state_changed,coarse_state,exhaustive_state,coarse_set,exhaustive_set,global_outside_local_count,coarse_template_comparisons,exhaustive_template_comparisons,exhaustive_runtime_s
independent_test,scale_large,diagnostic_r045,402671145,23,0.989895973172988,0.101006671960352,0.98,1,0.105822712107658,1,1.1,0.105822712107658,1,1.1,0.00481604014730612,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000906
independent_test,scale_large,diagnostic_r046,402671146,23,1.01979049762918,0.0285988084836574,1.02,1,0.0579607810769147,1.025,1.1,0.0574554042850289,1.025,1,0.0288565958013715,0.000505376791885774,0.000505376791885774,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",1,575,1380,0.000876
independent_test,scale_large,diagnostic_r047,402671147,23,0.98300702689471,0.0432405700333617,0.98,1,0.0863015592108991,0.975,1.2,0.0863015592108991,0.975,1.2,0.0430609891775374,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.001104
independent_test,scale_large,diagnostic_r048,402671148,23,1.01677962212625,0.0423496440083448,1.02,1,0.0846385856259707,1.025,1.1,0.0846385856259707,1.025,1.1,0.0422889416176259,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000874
independent_test,scale_large,diagnostic_r049,402671149,23,0.996697747422049,0.044497886694031,1,1,0.0444541553066453,1,1.1,0.0444541553066453,1,1.1,-4.37313873857051e-05,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000927
independent_test,scale_large,diagnostic_r050,402671150,23,0.982514511448749,0.0379514708411975,0.98,1,0.0810514560295818,0.975,1.1,0.0810514560295818,0.975,1.1,0.0430999851883843,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000954
independent_test,scale_large,diagnostic_r051,402671151,23,1.00977193607483,0.0957387523683167,1.02,1,0.105211957722981,1,1.1,0.105211957722981,1,1.1,0.00947320535466462,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,580,1380,0.00093
independent_test,scale_large,diagnostic_r052,402671152,23,0.982260667569803,0.0359957384159761,0.98,1,0.0789273634758678,0.975,1.1,0.0789273634758678,0.975,1.1,0.0429316250598917,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000892
independent_test,scale_large,diagnostic_r053,402671153,23,1.01153781454598,0.0866694018711081,1.02,1,0.115376205281853,1,1.2,0.115376205281853,1,1.2,0.0287068034107447,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000929
independent_test,scale_large,diagnostic_r054,402671154,23,1.00179112891378,0.0304686589841173,1,1,0.0304686589841173,1,1,0.0304686589841173,1,1,0,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000926
