branch_length_m,fixed_rms_difference_ohm,domain,repeat_count,method,truth_group,n,correct_unique_k,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_low95,false_unique_high95,best_is_truth_k,truth_covered_k,unique_k,ambiguous_k,low_confidence_k,rejected_k,mean_true_distance_grid,mean_true_distance_continuous,optimizer_failure_k
0.0001,0.0165960714530399,off_grid,256,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,109,192,0,186,0,14,1313.05109261805,0.990615791251089,0
0.0001,0.0165960714530399,off_grid,256,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,35,95,0,92,0,8,1311.78917397662,1.00013184049391,0
0.0001,0.0165960714530399,off_grid,256,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,74,97,0,94,0,6,1314.31301125948,0.981099742008271,0
0.0001,0.0165960714530399,off_grid,256,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,188,198,0,181,14,5,1313.05109261805,0.990615791251089,0
0.0001,0.0165960714530399,off_grid,256,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,91,99,0,84,12,4,1311.78917397662,1.00013184049391,0
0.0001,0.0165960714530399,off_grid,256,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,97,99,0,97,2,1,1314.31301125948,0.981099742008271,0
0.0001,0.0165960714530399,off_grid,256,grid_pair_gap,ALL,200,11,0.0309853417034589,0.0957869987723083,8,0.0204056320661523,0.0769320682009329,109,192,19,181,0,0,1313.05109261805,0.990615791251089,0
0.0001,0.0165960714530399,off_grid,256,grid_pair_gap,WEAK_M1,100,3,0.0102545240240389,0.0845193642905274,7,0.0343192610672727,0.137495147390735,35,93,10,90,0,0,1311.78917397662,1.00013184049391,0
0.0001,0.0165960714530399,off_grid,256,grid_pair_gap,WEAK_M3,100,8,0.0410934614843807,0.149981077009487,1,0.00176743206414065,0.0544861961787052,74,99,9,91,0,0,1314.31301125948,0.981099742008271,0
0.0001,0.0165960714530399,off_grid,256,continuous_pair_gap,ALL,200,185,0.879956389763706,0.954025082815618,8,0.0204056320661523,0.0769320682009329,188,192,193,7,0,0,1313.05109261805,0.990615791251089,0
0.0001,0.0165960714530399,off_grid,256,continuous_pair_gap,WEAK_M1,100,91,0.837737871472837,0.951927459997435,5,0.021543679154368,0.111750469231919,91,95,96,4,0,0,1311.78917397662,1.00013184049391,0
0.0001,0.0165960714530399,off_grid,256,continuous_pair_gap,WEAK_M3,100,94,0.875231845541041,0.972213876036812,3,0.0102545240240389,0.0845193642905274,97,97,97,3,0,0,1314.31301125948,0.981099742008271,0
0.002,0.331879075992818,on_grid,1,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,193,187,0,166,21,13,0.99052358656118,0.986813978914529,0
0.002,0.331879075992818,on_grid,1,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,97,91,0,83,8,9,0.997582364141432,0.99426802154039,0
0.002,0.331879075992818,on_grid,1,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,96,96,0,83,13,4,0.983464808980928,0.979359936288668,0
0.002,0.331879075992818,on_grid,1,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,193,187,0,166,21,13,0.99052358656118,0.986813978914529,0
0.002,0.331879075992818,on_grid,1,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,97,91,0,83,8,9,0.997582364141432,0.99426802154039,0
0.002,0.331879075992818,on_grid,1,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,96,96,0,83,13,4,0.983464808980928,0.979359936288668,0
0.002,0.331879075992818,on_grid,1,grid_pair_gap,ALL,200,153,0.701586311172375,0.818425665847674,4,0.00780442641634949,0.0502870869058264,193,196,157,43,0,0,0.99052358656118,0.986813978914529,0
0.002,0.331879075992818,on_grid,1,grid_pair_gap,WEAK_M1,100,97,0.915480635709472,0.989745475975961,0,0,0.0369934982069855,97,100,97,3,0,0,0.997582364141432,0.99426802154039,0
0.002,0.331879075992818,on_grid,1,grid_pair_gap,WEAK_M3,100,56,0.46228104651677,0.653279733698392,4,0.0156633039915476,0.098370714358879,96,96,60,40,0,0,0.983464808980928,0.979359936288668,0
0.002,0.331879075992818,on_grid,1,continuous_pair_gap,ALL,200,153,0.701586311172375,0.818425665847674,4,0.00780442641634949,0.0502870869058264,193,196,157,43,0,0,0.99052358656118,0.986813978914529,0
0.002,0.331879075992818,on_grid,1,continuous_pair_gap,WEAK_M1,100,97,0.915480635709472,0.989745475975961,0,0,0.0369934982069855,97,100,97,3,0,0,0.997582364141432,0.99426802154039,0
0.002,0.331879075992818,on_grid,1,continuous_pair_gap,WEAK_M3,100,56,0.46228104651677,0.653279733698392,4,0.0156633039915476,0.098370714358879,96,96,60,40,0,0,0.983464808980928,0.979359936288668,0
0.002,0.331879075992818,on_grid,256,grid_four_state,ALL,200,187,0.891980920700931,0.961623645350847,0,0,0.0188453263772665,200,187,187,0,0,13,1.00087560854572,0.996369888501329,0
0.002,0.331879075992818,on_grid,256,grid_four_state,WEAK_M1,100,99,0.945513803821295,0.998232567935859,0,0,0.0369934982069855,100,99,99,0,0,1,0.990524638836193,0.986363796183228,0
0.002,0.331879075992818,on_grid,256,grid_four_state,WEAK_M3,100,88,0.801879005732886,0.930005935629805,0,0,0.0369934982069855,100,88,88,0,0,12,1.01122657825526,1.00637598081943,0
0.002,0.331879075992818,on_grid,256,continuous_four_state,ALL,200,189,0.904213001227692,0.969014658296541,0,0,0.0188453263772665,200,189,189,0,0,11,1.00087560854572,0.996369888501329,0
0.002,0.331879075992818,on_grid,256,continuous_four_state,WEAK_M1,100,100,0.963006501793014,1,0,0,0.0369934982069855,100,100,100,0,0,0,0.990524638836193,0.986363796183228,0
0.002,0.331879075992818,on_grid,256,continuous_four_state,WEAK_M3,100,89,0.813687034969197,0.937458036429354,0,0,0.0369934982069855,100,89,89,0,0,11,1.01122657825526,1.00637598081943,0
0.002,0.331879075992818,on_grid,256,grid_pair_gap,ALL,200,200,0.981154673622734,1,0,0,0.0188453263772665,200,200,200,0,0,0,1.00087560854572,0.996369888501329,0
0.002,0.331879075992818,on_grid,256,grid_pair_gap,WEAK_M1,100,100,0.963006501793014,1,0,0,0.0369934982069855,100,100,100,0,0,0,0.990524638836193,0.986363796183228,0
0.002,0.331879075992818,on_grid,256,grid_pair_gap,WEAK_M3,100,100,0.963006501793014,1,0,0,0.0369934982069855,100,100,100,0,0,0,1.01122657825526,1.00637598081943,0
0.002,0.331879075992818,on_grid,256,continuous_pair_gap,ALL,200,200,0.981154673622734,1,0,0,0.0188453263772665,200,200,200,0,0,0,1.00087560854572,0.996369888501329,0
0.002,0.331879075992818,on_grid,256,continuous_pair_gap,WEAK_M1,100,100,0.963006501793014,1,0,0,0.0369934982069855,100,100,100,0,0,0,0.990524638836193,0.986363796183228,0
0.002,0.331879075992818,on_grid,256,continuous_pair_gap,WEAK_M3,100,100,0.963006501793014,1,0,0,0.0369934982069855,100,100,100,0,0,0,1.01122657825526,1.00637598081943,0
0.002,0.331879075992818,off_grid,1,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,97,189,0,186,7,7,80.6516262133217,0.994824912415709,0
0.002,0.331879075992818,off_grid,1,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,30,98,0,95,3,2,78.6929870933088,0.993752163886369,0
0.002,0.331879075992818,off_grid,1,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,67,91,0,91,4,5,82.6102653333347,0.995897660945048,0
0.002,0.331879075992818,off_grid,1,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,194,195,0,179,15,6,80.6516262133217,0.994824912415709,0
0.002,0.331879075992818,off_grid,1,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,97,97,0,88,8,4,78.6929870933088,0.993752163886369,0
0.002,0.331879075992818,off_grid,1,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,97,98,0,91,7,2,82.6102653333347,0.995897660945048,0
0.002,0.331879075992818,off_grid,1,grid_pair_gap,ALL,200,8,0.0204056320661523,0.0769320682009329,8,0.0204056320661523,0.0769320682009329,97,192,16,184,0,0,80.6516262133217,0.994824912415709,0
0.002,0.331879075992818,off_grid,1,grid_pair_gap,WEAK_M1,100,6,0.0277861239631882,0.124768154458959,2,0.00550196755016236,0.0700117907285438,30,98,8,92,0,0,78.6929870933088,0.993752163886369,0
0.002,0.331879075992818,off_grid,1,grid_pair_gap,WEAK_M3,100,2,0.00550196755016236,0.0700117907285438,6,0.0277861239631882,0.124768154458959,67,94,8,92,0,0,82.6102653333347,0.995897660945048,0
