regime,snr_db,scheme,profile,library,E_seed,A_seed,F_seed,class_thresholds,fit_threshold,calibration_identity,bank_identity,actual_views
on_on,20,H50,continuous,original_three,910000000,920000000,930000000,[1.346271338767236 1.078589555025881 0.9642320581812354],1.24926867381641,35745ba8d4053b549cea26904c187514da9a43a0dee316fe22368037bb94926b,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,5
on_on,20,Zin50,continuous,original_three,910000000,920000000,930000000,[1.064456701185579 1.086359049842684 1.102622310820085],1.09538516220273,17ae01ca44b6f243fbe799f52894eb0aab44bb3eb398abefce295c076676763f,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,6
on_on,20,H50_Zin50,continuous,original_three,910000000,920000000,930000000,[1.16476110685761 1.057751452665106 0.9948450072685141],1.14621266941546,621e7d462e63a962bf001b3daf5208c4b971963d88b8b2551b6443f4a73b5279,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[5 6]
on_on,20,H25,continuous,original_three,910000000,920000000,930000000,[1.330639888731909 1.07728430064741 0.9995994645355812],1.38057706804287,3f1499415a75c3ea4bdd84ba58061510f335701f9c57e4664607f1b5566c2560,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,3
on_on,20,Zin25,continuous,original_three,910000000,920000000,930000000,[1.105150805447014 1.052008456074401 1.102300431806474],1.06849773972171,b10ab91b39a5e47f61d600ec9d48ac9577dec54f248824ecc6964532a880cc8e,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,4
on_on,20,H25_Zin25,continuous,original_three,910000000,920000000,930000000,[1.188382886667405 1.02679293066215 1.01827538098905],1.2177999989386,ad1a29baff35527c80d6ffca21c6c0b27ed4c9d9d42cb4813bdeca5134b4b975,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[3 4]
on_on,20,M2_node,continuous,original_three,910000000,920000000,930000000,[1.252576417034966 0.8445176748954055 0.8843370810393164],1.22232152100661,e460c15a3e088bd5fc8484f020226f98026528f57c650ce917250a465a064915,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,14
on_on,20,M2_direct_joint,continuous,original_three,910000000,920000000,930000000,[1.257713333103106 0.9377853570839098 0.9014837583407996],1.24533198387754,d58ef73b31cf026547eefb21a280eb8e83028f4ec88a3e1bcbdbf8fa155755ac,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[13 14]
on_on,20,M2_node_dominance,continuous,original_three,910000000,920000000,930000000,[1.257713333103106 0.9377853570839098 0.9014837583407996],1.24533198387754,f0709d84412ca329c1a9192b8814fb035da8d2eadae31d954cec8cedcad46775,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[13 14]
on_on,10,H50,grid45,pair,910000000,920000000,930000000,[0.9778425514323348 1.006415596239167],1.01886211522427,b0b556e3874b327a2555f18439ec091fba1cf0de952f97951b94114b74c6dbcc,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,5
