sample_id,paired_case_id,category,replicate,candidate_id,truth_topology_id,accepted_set,set_size,hit,empty,experiment_hash,calibration_hash,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r211_paired_boundary_upper_C002_R02,paired_C002_R02,boundary_upper,2,R21C_002,R21C_002,"R21C_002,R21C_025,R21C_075,R21C_081",4,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,17693f1a2eeab3a2f479c93cda27a742c28fe50dca908726c717a8dcfee19a05,1252e95ceb6abe352e7d17bb3e86de692ceccd814f9297e8e107e90ebe7cecc2,50299daddb3e9cf4dcc12f34954fd6d49784c9015479ebda7ab3941d372a84bc
r211_paired_parameter_ood_near_C002_R02,paired_C002_R02,parameter_ood_near,2,R21C_002,R21C_002,"R21C_025,R21C_075,R21C_081",3,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,ac35898c1b3334db2c3b8e5d506debecdbdbf87bd464f1bc894ad8bf30f3728a,b63b880c812fc9ce257ff4f2436870f8670b35f7777f814dbb11a779a1c02236,e22cf142f74c109c31b4a929e458e8fed74eb08b4e3e6013f594eb53f12964d0
r211_paired_parameter_ood_medium_C002_R02,paired_C002_R02,parameter_ood_medium,2,R21C_002,R21C_002,"R21C_021,R21C_025,R21C_061",3,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,6a7e6433c565d517ca280dcb746685884752a5314698d6dd23c3a03086c05cb6,1d3bfa5bc6c4985683cb292eeacbf17f76c294da12dae651d314d96848d3c7e8,ae05c5b53dbbf920168dbceb721263137deeaadb9010800b663d8cc6e6399b85
r211_paired_parameter_ood_far_C002_R02,paired_C002_R02,parameter_ood_far,2,R21C_002,R21C_002,"R21C_060",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,88ec4689b4973970e86dc6b63805de8c6a4cb47326584e92e5d1bdda0c2441a6,59dbb9e45b08eccc9ce683059fa65fb9d984322a429939fb291a1edf08e6439e,f418ab46c5355a11001aa2c8e985bab17b30faa8364a18544602e0a572949ce2
r211_paired_in_domain_C003_R01,paired_C003_R01,in_domain,1,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_020,R21C_029,R21C_040,R21C_059,R21C_071,R21C_073,R21C_074",10,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,da51ca8d7b80f93ee204f3445ae3505f23d9ce99d7f0a358e88a770cd3aaf27c,24f127ae72fdd207bc2e31feba544e4e00e832cdadcf56f018163e3c2a70ecc8,a661943149c5555e951c76ccc804384d599ec473839569eaf3319ba7dc757677
r211_paired_boundary_lower_C003_R01,paired_C003_R01,boundary_lower,1,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_029,R21C_040,R21C_059,R21C_071,R21C_073,R21C_074,R21C_085",9,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,10a5626651562713613edd1af76dde68fe944527269b4edcbd64b6bfc8caae76,4b529df6f65d86110112608c6ade6255165aa07877bbd5e31dcac903294d4035,649c38ab45291df87b25ac95ee6ec8725b45d6345b8b5e7c8a54d73826827a1e
r211_paired_boundary_upper_C003_R01,paired_C003_R01,boundary_upper,1,R21C_003,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_020,R21C_029,R21C_038,R21C_040,R21C_059,R21C_062,R21C_071,R21C_073,R21C_074",12,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,41cee932fdf190c265d91ec734fe7ac0cc7c8b1496e8673d8034b0c3ccb2e7e6,af0b2eeb68e7b79b12f8ef3119af88a395c941ca184ec8aeb7f671e3745a5af1,323be94bb2a1baf09e4864fbe3aee5520328634e57d2c262117e0838d3a36bc8
r211_paired_parameter_ood_near_C003_R01,paired_C003_R01,parameter_ood_near,1,R21C_003,R21C_003,"R21C_003,R21C_019,R21C_020,R21C_026,R21C_029,R21C_038,R21C_040,R21C_059,R21C_062,R21C_071,R21C_074",11,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,5cab943e8ef8037f0e64018a4ff36da02817e8af1724a23bce31e61068030e55,9f97fe3988411547e5aa47ba2ff563b3d352d49af7533b3e32c9ff05bfd71794,72f21ecd7ba10ca55543110b4ecebafece3d8949e35f67fbc47b213cf5948767
r211_paired_parameter_ood_medium_C003_R01,paired_C003_R01,parameter_ood_medium,1,R21C_003,R21C_003,"R21C_026,R21C_038,R21C_062",3,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,c44dac93125e5f9a53ee3eac4d0722fa0ee49fa5b8768d8aa0caedb5783d3e46,35174e1986b34e5b67fd7af6578b44dc31681ab63dca585c801e083b3d6d4f49,1674a277c257acb314b340328f06aba5f2a155b1c795f359d374062f6261c3b7
r211_paired_parameter_ood_far_C003_R01,paired_C003_R01,parameter_ood_far,1,R21C_003,R21C_003,"R21C_049",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,fd6c0e87d39442df001d75671354d5dd406ce58f56ea341713c5a78365f5fc40,3abb9fb6bf0099bec782132dc42ab9646acb987a2547f5f9c841402295e1ba16,e320238e25ae9fd26e7ef017a60fe7345d1bc0cd7c476a5fa4766154101ff039
